measured_on,"Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed"
2021-10-01,12.66,224.0,224.0
2021-11-01,10.413,185.0,185.0
2021-12-01,10.927,194.0,194.0
2022-01-01,22.667,328.0,328.0
2022-02-01,20.179,290.0,290.0
2022-03-01,16.069,232.0,232.0
2022-04-01,16.751,241.0,241.0
2022-05-01,24.746,356.0,356.0
2022-06-01,30.123,434.0,434.0
2022-07-01,35.496,511.0,511.0
2022-08-01,35.681,514.0,514.0
2022-09-01,30.077,433.0,433.0
2022-10-01,23.245,335.0,335.0
2022-11-01,21.787,314.0,314.0
2022-12-01,24.179,348.0,348.0
2023-01-01,23.939,343.0,343.0
2023-02-01,22.579,325.0,325.0
2023-03-01,22.284,320.0,320.0
2023-04-01,21.521,310.0,310.0
2023-05-01,30.726,443.0,443.0
2023-06-01,35.494,511.0,511.0
2023-07-01,38.926,560.0,560.0
2023-08-01,42.845,617.0,617.0
2023-09-01,36.094,520.0,520.0
2023-10-01,26.642,384.0,384.0
2023-11-01,24.702,355.0,355.0
2023-12-01,26.248,378.0,378.0
2024-01-01,20.737,259.0,259.0
2024-02-01,14.317,179.0,179.0
2024-03-01,16.247,203.0,203.0
2024-04-01,15.265,191.0,191.0
2024-05-01,20.395,256.0,256.0
2024-06-01,23.009,288.0,288.0
2024-07-01,24.871,311.0,311.0
2024-08-01,28.103,352.0,352.0
2024-09-01,23.318,292.0,292.0
2024-10-01,20.198,253.0,253.0
2024-11-01,16.181,203.0,203.0
2024-12-01,17.359,217.0,217.0
