measured_on,"Geothermal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Geothermal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Geothermal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,11695.0,119768.5,119768.5
2003-02-01,5673.0,58097.19,58097.19
2003-03-01,7356.0,75332.8,75332.8
2003-04-01,7213.0,73868.33,73868.33
2003-05-01,9033.0,92506.95,92506.95
2003-06-01,11535.0,118129.94,118129.94
2003-07-01,9760.0,99952.16,99952.16
2003-08-01,9643.0,98753.96,98753.96
2003-09-01,11067.0,113337.15,113337.15
2003-10-01,12079.0,123701.04,123701.04
2003-11-01,11284.0,115559.44,115559.44
2003-12-01,11818.0,121028.14,121028.14
2005-01-01,10701.54,107004.7,107004.7
2005-02-01,9036.091,90351.87,90351.87
2005-03-01,10229.663,102286.4,102286.4
2005-04-01,10235.225,102342.01,102342.01
2005-05-01,10868.787,108677.0,108677.0
2005-06-01,10732.879,107318.06,107318.06
2005-07-01,10977.993,109768.95,109768.95
2005-08-01,10843.342,108422.58,108422.58
2005-09-01,10610.865,106098.04,106098.04
2005-10-01,10868.163,108670.76,108670.76
2005-11-01,10549.182,105481.27,105481.27
2005-12-01,10844.269,108431.85,108431.85
2006-01-01,10837.315,107495.33,107495.33
2006-02-01,9822.798,97432.33,97432.33
2006-03-01,11103.122,110131.87,110131.87
2006-04-01,9933.9,98534.35,98534.35
2006-05-01,9662.837000000001,95845.68,95845.68
2006-06-01,10488.413,104034.57,104034.57
2006-07-01,11019.039,109297.85,109297.85
2006-08-01,11251.547,111604.09,111604.09
2006-09-01,10648.166,105619.16,105619.16
2006-10-01,11097.666,110077.75,110077.75
2006-11-01,10748.574,106615.11,106615.11
2006-12-01,11214.623,111237.85,111237.85
2007-01-01,11203.472,110735.12,110735.12
2007-02-01,9769.081,96557.6,96557.6
2007-03-01,10419.815,102989.45,102989.45
2007-04-01,10134.001,100164.47,100164.47
2007-05-01,10217.206,100986.86,100986.86
2007-06-01,10922.77,107960.66,107960.66
2007-07-01,10979.739,108523.74,108523.74
2007-08-01,10948.689,108216.84,108216.84
2007-09-01,10732.533,106080.36,106080.36
