measured_on,Jet Fuel-Combustion (Gas) Turbine (including jet engine design) Generation,Jet Fuel-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Jet Fuel-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,140406.0,1457182.0,1457182.0,0.0,0.0,0.0
2003-02-01,0.0,0.0,0.0,126486.0,1309309.0,1309309.0,0.0,0.0,0.0
2003-03-01,61.0,906.0,906.0,83696.0,920642.0,920642.0,0.0,0.0,0.0
2003-04-01,18.0,308.0,308.0,61703.0,692416.0,692416.0,0.0,0.0,0.0
2003-05-01,28.0,377.0,377.0,70885.0,802728.0,802728.0,0.0,0.0,0.0
2003-06-01,63.0,929.0,929.0,81943.0,898101.0,898101.0,0.0,0.0,0.0
2003-07-01,0.0,0.0,0.0,113510.0,1270559.0,1270559.0,0.0,0.0,0.0
2003-08-01,858.0,12130.0,12130.0,168049.0,1842932.0,1842932.0,0.0,0.0,0.0
2003-09-01,92.0,1300.0,1300.0,133763.0,1446723.0,1446723.0,0.0,0.0,0.0
2003-10-01,194.0,2853.0,2853.0,149069.0,1463806.0,1463806.0,0.0,0.0,0.0
2003-11-01,0.0,0.0,0.0,97738.0,1043356.0,1043356.0,0.0,0.0,0.0
2003-12-01,182.0,2769.0,2769.0,101494.0,1071291.0,1071291.0,0.0,0.0,0.0
2004-01-01,187.0,2755.0,2755.0,117654.0,1340893.0,1340893.0,0.0,0.0,0.0
2004-02-01,131.0,1932.0,1932.0,129540.0,1371632.0,1371632.0,0.0,0.0,0.0
2004-03-01,82.0,1170.0,1170.0,141951.0,1508884.0,1508884.0,0.0,0.0,0.0
2004-04-01,0.0,0.0,0.0,131916.0,1424301.0,1424301.0,0.0,0.0,0.0
2004-05-01,101.0,1170.0,1170.0,171463.0,1886880.0,1886880.0,0.0,0.0,0.0
2004-06-01,0.0,0.0,0.0,125032.0,1400646.0,1400646.0,0.0,0.0,0.0
2004-07-01,61.0,818.0,818.0,150482.0,1669231.0,1669231.0,0.0,0.0,0.0
2004-08-01,46.0,709.0,709.0,185544.0,1985476.0,1985476.0,0.0,0.0,0.0
2004-09-01,137.0,2050.0,2050.0,212419.0,2301775.0,2301775.0,0.0,0.0,0.0
2004-10-01,244.0,3529.0,3529.0,199191.0,2060704.0,2060704.0,0.0,0.0,0.0
2004-11-01,275.0,4002.0,4002.0,170461.0,1783851.0,1783851.0,0.0,0.0,0.0
2004-12-01,319.0,4956.0,4956.0,177523.0,1780976.0,1780976.0,0.0,0.0,0.0
2005-01-01,0.0,0.0,0.0,163967.0,1680335.93,1680335.93,0.0,0.0,0.0
2005-02-01,246.0,3708.85,3708.85,198065.0,2055810.87,2055810.87,954.0,9175.42,9175.42
2005-03-01,172.0,2414.41,2414.41,174454.0,1884658.09,1884658.09,298.0,5605.08,5605.08
2005-04-01,0.0,0.0,0.0,183420.0,1953050.82,1953050.82,0.0,0.0,0.0
2005-05-01,25.0,410.84,410.84,133857.0,1448384.36,1448384.36,0.0,0.0,0.0
2005-06-01,0.0,0.0,0.0,72318.0,803479.18,803479.18,0.0,0.0,0.0
2005-07-01,177.0,2650.79,2650.79,111525.0,1259370.39,1259370.39,0.0,0.0,0.0
2005-08-01,16.0,236.38,236.38,115658.0,1290126.4,1290126.4,0.0,0.0,0.0
2005-09-01,0.0,0.0,0.0,71518.0,835633.34,835633.34,0.0,0.0,0.0
2005-10-01,35.0,590.94,590.94,91939.0,998448.28,998448.28,0.0,0.0,0.0
2005-11-01,0.0,0.0,0.0,86204.0,941899.53,941899.53,0.0,0.0,0.0
2005-12-01,21.0,354.56,354.56,129788.0,1386662.89,1386662.89,0.0,0.0,0.0
2006-01-01,0.0,0.0,0.0,115690.0,1224542.0,1224542.0,261.0,2764.0,2764.0
2006-02-01,0.0,0.0,0.0,113077.0,1179312.0,1179312.0,0.0,0.0,0.0
2006-03-01,0.0,0.0,0.0,157371.0,1615920.0,1615920.0,0.0,0.0,0.0
2006-04-01,65.0,940.0,940.0,78278.0,897641.0,897641.0,0.0,0.0,0.0
2006-05-01,0.0,0.0,0.0,22253.0,270409.0,270409.0,0.0,0.0,0.0
2006-06-01,0.0,0.0,0.0,71113.0,871566.0,871566.0,0.0,0.0,0.0
2006-07-01,239.0,3472.0,3472.0,116146.0,1386827.0,1386827.0,0.0,0.0,0.0
2006-08-01,40.0,644.0,644.0,66392.0,799050.0,799050.0,0.0,0.0,0.0
2006-09-01,77.0,1120.0,1120.0,53628.0,636565.0,636565.0,0.0,0.0,0.0
2006-10-01,0.0,0.0,0.0,50296.0,577575.0,577575.0,0.0,0.0,0.0
2006-11-01,0.0,118.0,118.0,47671.0,545773.0,545773.0,0.0,0.0,0.0
2006-12-01,2.0,174.0,174.0,63927.0,723035.0,723035.0,53.0,596.0,596.0
2007-01-01,0.0,0.0,0.0,26112.0,319818.0,319818.0,0.0,0.0,0.0
2007-02-01,0.0,0.0,0.0,13551.0,185617.0,185617.0,0.0,0.0,0.0
2007-03-01,67.0,1058.0,1058.0,9867.0,185618.0,185618.0,0.0,0.0,0.0
2007-04-01,0.0,0.0,0.0,-932.0,1088.0,1088.0,0.0,0.0,0.0
2007-05-01,46.0,644.0,644.0,13634.999,172769.0,172769.0,0.0,0.0,0.0
2007-07-01,218.0,3338.0,3338.0,52742.001000000004,633649.0,633649.0,0.0,0.0,0.0
2007-08-01,298.0,4626.0,4626.0,85315.999,984951.0,984951.0,0.0,0.0,0.0
2007-09-01,140.0,2296.0,2296.0,55556.0,639264.0,639264.0,0.0,0.0,0.0
2007-10-01,863.0,12146.0,12146.0,150050.0,1632668.0,1632668.0,0.0,0.0,0.0
2007-11-01,178.0,2811.0,2811.0,135995.489,1509456.0,1509456.0,543.5110000000001,6033.0,6033.0
2007-12-01,72.0,1232.0,1232.0,167454.0,1510936.0,1510936.0,0.0,0.0,0.0
2008-01-01,15.0,529.0,529.0,172877.0,1946510.0,1946510.0,0.0,0.0,0.0
2008-02-01,0.0,0.0,0.0,72093.0,835854.0,835854.0,0.0,0.0,0.0
2008-03-01,26.0,411.0,411.0,26446.0,332237.0,332237.0,0.0,0.0,0.0
2008-04-01,221.0,3298.0,3298.0,59060.0,692530.0,692530.0,0.0,0.0,0.0
2008-05-01,69.0,991.0,991.0,61517.0,736474.0,736474.0,0.0,0.0,0.0
2008-06-01,11.0,236.0,236.0,38858.0,481204.0,481204.0,0.0,0.0,0.0
2008-07-01,0.0,0.0,0.0,42467.0,526777.0,526777.0,0.0,0.0,0.0
2008-08-01,43.0,704.0,704.0,56454.0,674722.0,674722.0,0.0,0.0,0.0
2008-09-01,22.0,355.0,355.0,118777.0,1350833.0,1350833.0,0.0,0.0,0.0
2008-10-01,113.0,1823.0,1823.0,148283.0,1697198.0,1697198.0,0.0,0.0,0.0
2008-11-01,15.0,236.0,236.0,107190.0,1232092.0,1232092.0,0.0,0.0,0.0
2008-12-01,0.0,0.0,0.0,111218.0,1221025.0,1221025.0,0.0,0.0,0.0
2009-01-01,94.0,1469.0,1469.0,83220.0,934190.0,934190.0,0.0,0.0,0.0
2009-02-01,11.0,174.0,174.0,55293.0,619987.0,619987.0,0.0,0.0,0.0
2009-03-01,43.0,768.0,768.0,9296.0,129397.0,129397.0,0.0,0.0,0.0
2009-04-01,40.0,593.0,593.0,54151.0,641253.0,641253.0,0.0,0.0,0.0
2009-05-01,8.0,118.0,118.0,58211.0,682545.0,682545.0,0.0,0.0,0.0
2009-06-01,2.0,355.0,355.0,9206.0,129627.0,129627.0,0.0,0.0,0.0
2009-07-01,123.0,1885.0,1885.0,63251.0,751189.0,751189.0,0.0,0.0,0.0
2009-08-01,0.0,0.0,0.0,88447.0,1045083.0,1045083.0,0.0,0.0,0.0
2009-09-01,10.0,174.0,174.0,99467.0,1178220.0,1178220.0,0.0,0.0,0.0
2009-10-01,0.0,0.0,0.0,31517.0,384806.0,384806.0,0.0,0.0,0.0
2009-11-01,0.0,0.0,0.0,20354.0,246916.0,246916.0,0.0,0.0,0.0
2009-12-01,0.0,0.0,0.0,18578.0,216546.0,216546.0,0.0,0.0,0.0
2010-01-01,0.0,6.0,6.0,8431.0,101797.0,101797.0,0.0,0.0,0.0
2010-02-01,0.0,39.0,39.0,-160.0,5418.0,5418.0,0.0,0.0,0.0
2010-03-01,0.0,39.0,39.0,4695.0,65217.0,65217.0,0.0,0.0,0.0
2010-04-01,65.0,1047.0,1047.0,7538.0,86438.0,86438.0,0.0,0.0,0.0
2010-05-01,0.0,11.0,11.0,-409.0,1024.0,1024.0,0.0,0.0,0.0
2010-06-01,0.0,28.0,28.0,-353.0,0.0,0.0,0.0,0.0,0.0
2010-07-01,0.0,56.0,56.0,11138.0,128254.0,128254.0,0.0,0.0,0.0
2010-08-01,0.0,23.0,23.0,8329.0,98767.0,98767.0,0.0,0.0,0.0
2010-09-01,0.0,23.0,23.0,14390.0,159477.0,159477.0,0.0,0.0,0.0
