measured_on,Natural Gas-Fuel Cell Generation,Natural Gas-Fuel Cell Quantity Consumed For Electricity,Natural Gas-Fuel Cell Total Fuel Consumed
2011-01-01,0.0,0.0,0.0
2011-02-01,0.0,0.0,0.0
2011-03-01,0.0,0.0,0.0
2011-04-01,0.0,0.0,0.0
2011-05-01,0.0,0.0,0.0
2011-06-01,0.0,0.0,0.0
2011-07-01,0.0,0.0,0.0
2011-08-01,0.0,0.0,0.0
2011-09-01,0.0,0.0,0.0
2011-10-01,0.0,0.0,0.0
2011-11-01,324.198,1978.0,1978.0
2011-12-01,421.802,2574.0,2574.0
2012-01-01,656.959,4429.0,4429.0
2012-02-01,656.909,4430.0,4430.0
2012-03-01,624.799,4214.0,4214.0
2012-04-01,578.893,3904.0,3904.0
2012-05-01,574.852,3876.0,3876.0
2012-06-01,608.578,4104.0,4104.0
2012-07-01,719.755,4854.0,4854.0
2012-08-01,947.757,6391.0,6391.0
2012-09-01,860.982,5806.0,5806.0
2012-10-01,796.701,5372.0,5372.0
2012-11-01,687.886,4639.0,4639.0
2012-12-01,648.929,4376.0,4376.0
2013-01-01,498.385,3788.0,3788.0
2013-02-01,459.094,3490.0,3490.0
2013-03-01,442.768,3366.0,3366.0
2013-04-01,381.004,2896.0,2896.0
2013-05-01,402.37,3059.0,3059.0
2013-06-01,476.032,3619.0,3619.0
2013-07-01,604.031,4592.0,4592.0
2013-08-01,616.028,4684.0,4684.0
2013-09-01,614.488,4671.0,4671.0
2013-10-01,533.179,4054.0,4054.0
2013-11-01,525.912,3998.0,3998.0
2013-12-01,612.429,4656.0,4656.0
2014-01-01,630.482,4593.0,4593.0
2014-02-01,588.76,4289.0,4289.0
2014-03-01,510.914,3722.0,3722.0
2014-04-01,485.81,3539.0,3539.0
2014-05-01,489.861,3568.0,3568.0
2014-06-01,482.917,3517.0,3517.0
2014-07-01,683.27,4977.0,4977.0
2014-08-01,705.305,5138.0,5138.0
2014-09-01,737.763,5374.0,5374.0
2014-10-01,727.796,5301.0,5301.0
2014-11-01,525.978,3831.0,3831.0
2014-12-01,572.144,4168.0,4168.0
2015-01-01,561.833,4168.0,4168.0
2015-02-01,416.021,3087.0,3087.0
2015-03-01,487.381,3616.0,3616.0
2015-04-01,467.7,3470.0,3470.0
2015-05-01,456.598,3387.0,3387.0
2015-06-01,642.056,4763.0,4763.0
2015-07-01,724.157,5373.0,5373.0
2015-08-01,763.852,5666.0,5666.0
2015-09-01,758.575,5628.0,5628.0
2015-10-01,730.734,5421.0,5421.0
2015-11-01,538.788,3997.0,3997.0
2015-12-01,576.305,4275.0,4275.0
2016-01-01,662.197,4982.0,4982.0
2016-02-01,525.537,3955.0,3955.0
2016-03-01,408.727,3076.0,3076.0
2016-04-01,390.876,2942.0,2942.0
2016-05-01,421.93,3175.0,3175.0
2016-06-01,641.894,4830.0,4830.0
2016-07-01,757.124,5698.0,5698.0
2016-08-01,837.407,6302.0,6302.0
2016-09-01,693.243,5217.0,5217.0
2016-10-01,683.833,5146.0,5146.0
2016-11-01,525.809,3957.0,3957.0
2016-12-01,595.423,4481.0,4481.0
2017-01-01,656.206,4742.0,4742.0
2017-02-01,500.869,3618.0,3618.0
2017-03-01,414.788,2997.0,2997.0
2017-04-01,370.531,2677.0,2677.0
2017-05-01,459.679,3321.0,3321.0
2017-06-01,604.776,4369.0,4369.0
2017-07-01,824.716,5959.0,5959.0
2017-08-01,930.99,6726.0,6726.0
2017-09-01,766.031,5534.0,5534.0
2017-10-01,725.483,5242.0,5242.0
2017-11-01,630.5,4556.0,4556.0
2017-12-01,668.431,4830.0,4830.0
2018-01-01,570.366,4875.0,4875.0
2018-02-01,500.794,4280.0,4280.0
2018-03-01,520.844,4451.0,4451.0
2018-04-01,391.979,3350.0,3350.0
2018-05-01,357.821,3057.0,3057.0
2018-06-01,489.485,4183.0,4183.0
2018-07-01,854.148,7299.0,7299.0
2018-08-01,790.163,6752.0,6752.0
2018-09-01,635.925,5434.0,5434.0
2018-10-01,710.819,6075.0,6075.0
2018-11-01,635.445,5430.0,5430.0
2018-12-01,640.211,5470.0,5470.0
2019-01-01,57.607,4937.0,4937.0
2019-02-01,53.414,4577.0,4577.0
2019-03-01,46.579,3992.0,3992.0
2019-04-01,32.685,2801.0,2801.0
2019-05-01,28.165,2413.0,2413.0
2019-06-01,37.661,3227.0,3227.0
2019-07-01,59.37,5088.0,5088.0
2019-08-01,69.737,5977.0,5977.0
2019-09-01,61.363,5258.0,5258.0
2019-10-01,62.849,5386.0,5386.0
2019-11-01,61.639,5282.0,5282.0
2019-12-01,63.931,5479.0,5479.0
2020-01-01,522.731,3993.0,3993.0
2020-02-01,461.622,3526.0,3526.0
2020-03-01,512.431,3914.0,3914.0
2020-04-01,362.391,2768.0,2768.0
2020-05-01,340.746,2603.0,2603.0
2020-06-01,479.331,3662.0,3662.0
2020-07-01,670.533,5121.0,5121.0
2020-08-01,833.855,6369.0,6369.0
2020-09-01,726.158,5547.0,5547.0
2020-10-01,754.133,5760.0,5760.0
2020-11-01,602.375,4601.0,4601.0
2020-12-01,667.694,5100.0,5100.0
2021-01-01,560.529,4135.0,4135.0
2021-02-01,475.346,3507.0,3507.0
2021-03-01,511.089,3770.0,3770.0
2021-04-01,453.507,3346.0,3346.0
2021-05-01,473.973,3497.0,3497.0
2021-06-01,648.131,4782.0,4782.0
2021-07-01,894.408,6598.0,6598.0
2021-08-01,816.625,6024.0,6024.0
2021-09-01,694.852,5126.0,5126.0
2021-10-01,662.407,4887.0,4887.0
2021-11-01,608.785,4491.0,4491.0
2021-12-01,628.348,4635.0,4635.0
2022-01-01,182.997,1419.0,1419.0
2022-02-01,151.937,1179.0,1179.0
2022-03-01,140.582,1090.0,1090.0
2022-04-01,144.003,1117.0,1117.0
2022-05-01,132.147,1025.0,1025.0
2022-06-01,179.729,1394.0,1394.0
2022-07-01,240.1,1863.0,1863.0
2022-08-01,289.712,2248.0,2248.0
2022-09-01,265.52,2060.0,2060.0
2022-10-01,243.84,1892.0,1892.0
2022-11-01,223.925,1737.0,1737.0
2022-12-01,247.508,1921.0,1921.0
2023-01-01,348.029,2201.0,2201.0
2023-02-01,296.453,1877.0,1877.0
2023-03-01,284.929,1804.0,1804.0
2023-04-01,222.589,1410.0,1410.0
2023-05-01,144.17,913.0,913.0
2023-06-01,189.661,1201.0,1201.0
2023-07-01,439.028,2780.0,2780.0
2023-08-01,442.988,2805.0,2805.0
2023-09-01,313.559,1985.0,1985.0
2023-10-01,382.914,2425.0,2425.0
2023-11-01,359.705,2278.0,2278.0
2023-12-01,404.975,2564.0,2564.0
2024-01-01,785.0,4931.0,4931.0
2024-02-01,727.0,4577.0,4577.0
2024-03-01,781.0,4925.0,4925.0
2024-04-01,765.0,4856.0,4856.0
2024-05-01,791.0,5055.0,5055.0
2024-06-01,768.0,4948.0,4948.0
2024-07-01,788.0,5114.0,5114.0
2024-08-01,793.0,5164.0,5164.0
2024-09-01,769.0,5036.0,5036.0
2024-10-01,793.0,5215.0,5215.0
2024-11-01,749.0,4949.0,4949.0
2024-12-01,766.0,5077.0,5077.0
