measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed",Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Generation,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Quantity Consumed For Electricity,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Total Fuel Consumed
2003-01-01,42.625,459.0,459.0,,,
2003-02-01,37.761,407.0,407.0,,,
2003-03-01,39.001000000000005,420.0,420.0,,,
2003-04-01,34.248000000000005,369.0,369.0,,,
2003-05-01,33.611000000000004,362.0,362.0,,,
2003-06-01,31.982000000000003,345.0,345.0,,,
2003-07-01,34.229,369.0,369.0,,,
2003-08-01,32.771,353.0,353.0,,,
2003-09-01,35.053000000000004,378.0,378.0,,,
2003-10-01,37.787,407.0,407.0,,,
2003-11-01,39.649,427.0,427.0,,,
2003-12-01,44.283,477.0,477.0,,,
2004-01-01,43.933,503.0,503.0,,,
2004-02-01,56.829,651.0,651.0,,,
2004-03-01,51.002,584.0,584.0,,,
2004-04-01,34.582,396.0,396.0,,,
2004-05-01,37.503,429.0,429.0,,,
2004-06-01,36.024,412.0,412.0,,,
2004-07-01,57.37,657.0,657.0,,,
2004-08-01,60.734,695.0,695.0,,,
2004-09-01,49.46,566.0,566.0,,,
2004-10-01,36.175,414.0,414.0,,,
2004-11-01,21.025,241.0,241.0,,,
2004-12-01,20.365,233.0,233.0,,,
2005-01-01,6.126,79.05,79.05,,,
2005-02-01,2.105,27.16,27.16,,,
2005-03-01,2.333,30.1,30.1,,,
2005-04-01,2.826,36.47,36.47,,,
2005-05-01,2.624,33.87,33.87,,,
2005-06-01,3.406,43.96,43.96,,,
2005-07-01,3.467,44.74,44.74,,,
2005-08-01,4.073,52.56,52.56,,,
2005-09-01,2.666,34.41,34.41,,,
