measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2009-08-01,23528.809,315286.0,315286.0,2.1910000000000003,29.0,29.0
2009-09-01,19810.489,263865.0,263865.0,5.511,73.0,73.0
2009-10-01,21156.231,270289.0,270289.0,36.769,470.0,470.0
2009-11-01,20434.0,263297.0,263297.0,0.0,0.0,0.0
2009-12-01,23888.0,310277.0,310277.0,0.0,0.0,0.0
2010-01-01,23722.0,314761.0,314761.0,0.0,0.0,0.0
2010-02-01,21970.874,281330.0,281330.0,40.126000000000005,514.0,514.0
2010-03-01,24877.943,332322.0,332322.0,45.057,602.0,602.0
2010-04-01,17018.226000000002,226201.0,226201.0,92.774,1233.0,1233.0
2010-05-01,18987.215,283260.0,283260.0,74.785,1116.0,1116.0
2010-06-01,18181.219,237879.0,237879.0,1638.7810000000002,21441.0,21441.0
2010-07-01,21706.873,280920.0,280920.0,74.12700000000001,959.0,959.0
2010-08-01,21913.747,290224.0,290224.0,33.253,440.0,440.0
2010-09-01,21935.0,285750.0,285750.0,0.0,0.0,0.0
2010-10-01,21802.103,275385.0,275385.0,113.897,1439.0,1439.0
2010-11-01,21139.852,269702.0,269702.0,85.14800000000001,1086.0,1086.0
2010-12-01,21873.115,279817.0,279817.0,6.885000000000001,88.0,88.0
2011-01-01,15227.0,290702.0,290702.0,0.0,0.0,0.0
2011-02-01,14834.0,188770.0,188770.0,0.0,0.0,0.0
2011-03-01,19753.0,251528.0,251528.0,0.0,0.0,0.0
2011-04-01,24051.0,307769.0,307769.0,0.0,0.0,0.0
2011-05-01,24024.078,316228.0,316228.0,8.922,117.0,117.0
2011-06-01,23377.373,296655.0,296655.0,4.627,59.0,59.0
2011-07-01,20891.014,275710.0,275710.0,88.986,1174.0,1174.0
2011-08-01,24664.405,332965.0,332965.0,69.595,940.0,940.0
2011-09-01,23086.0,305694.0,305694.0,0.0,0.0,0.0
2011-10-01,23078.0,305129.0,305129.0,0.0,0.0,0.0
2011-11-01,20555.0,265584.0,265584.0,0.0,0.0,0.0
2011-12-01,22393.0,320671.0,320671.0,0.0,0.0,0.0
2012-01-01,22585.0,290968.0,290968.0,0.0,0.0,0.0
2012-02-01,14624.0,191137.0,191137.0,0.0,0.0,0.0
2012-03-01,20449.0,259880.0,259880.0,0.0,0.0,0.0
2012-04-01,16988.0,221367.0,221367.0,0.0,0.0,0.0
2012-05-01,21257.0,273748.0,273748.0,0.0,0.0,0.0
2012-06-01,20535.0,273563.0,273563.0,0.0,0.0,0.0
2012-07-01,20825.0,284643.0,284643.0,0.0,0.0,0.0
2012-08-01,21189.0,279846.0,279846.0,0.0,0.0,0.0
2012-09-01,19814.0,267670.0,267670.0,0.0,0.0,0.0
2012-10-01,18700.0,241336.0,241336.0,0.0,0.0,0.0
2012-11-01,18576.0,244484.0,244484.0,0.0,0.0,0.0
2012-12-01,8105.0,94327.0,94327.0,0.0,0.0,0.0
2013-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-01,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-01,0.0,0.0,0.0,0.0,0.0,0.0
