measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2003-01-01,24586.0,313881.0,313881.0,0.0,0.0,0.0
2003-02-01,24058.0,303623.0,303623.0,0.0,0.0,0.0
2003-03-01,25749.0,339204.0,339204.0,0.0,0.0,0.0
2003-04-01,14515.0,181447.0,181447.0,0.0,0.0,0.0
2003-05-01,3067.0,50025.0,50025.0,0.0,0.0,0.0
2003-06-01,24425.0,319976.0,319976.0,0.0,0.0,0.0
2003-07-01,25097.0,336053.0,336053.0,0.0,0.0,0.0
2003-08-01,24638.0,322851.0,322851.0,0.0,0.0,0.0
2003-09-01,24118.0,319102.0,319102.0,0.0,0.0,0.0
2003-10-01,27124.0,354269.0,354269.0,0.0,0.0,0.0
2003-11-01,24538.0,315445.0,315445.0,0.0,0.0,0.0
2003-12-01,25627.0,324875.0,324875.0,0.0,0.0,0.0
2004-01-01,28346.0,369219.0,369219.0,0.0,0.0,0.0
2004-02-01,25271.0,330924.0,330924.0,0.0,0.0,0.0
2004-03-01,16480.0,226090.0,226090.0,0.0,0.0,0.0
2004-04-01,14971.0,202216.0,202216.0,0.0,0.0,0.0
2004-05-01,28093.0,373727.0,373727.0,0.0,0.0,0.0
2004-06-01,23705.0,302565.0,302565.0,0.0,0.0,0.0
2004-07-01,21329.0,277334.0,277334.0,0.0,0.0,0.0
2004-08-01,23443.0,302841.0,302841.0,0.0,0.0,0.0
2004-09-01,26395.0,338882.0,338882.0,0.0,0.0,0.0
2004-10-01,24366.0,313490.0,313490.0,0.0,0.0,0.0
2004-11-01,25800.0,336697.0,336697.0,87.0,1452.0,1452.0
2004-12-01,27092.0,350428.0,350428.0,0.0,0.0,0.0
2005-01-01,28877.0,387665.0,387665.0,0.0,0.0,0.0
2005-02-01,24326.0,314226.0,314226.0,59.0,984.0,984.0
2005-03-01,14218.0,192625.0,192625.0,72.0,1260.0,1260.0
2005-04-01,16738.0,219121.0,219121.0,108.0,1824.0,1824.0
2005-05-01,20272.0,266363.0,266363.0,116.0,1956.0,1956.0
2005-06-01,27763.0,370461.0,370461.0,93.0,1596.0,1596.0
2005-07-01,28104.0,381363.0,381363.0,0.0,0.0,0.0
2005-08-01,25216.0,347507.0,347507.0,0.0,0.0,0.0
2005-09-01,23802.0,341366.0,341366.0,0.0,0.0,0.0
2005-10-01,29219.0,408181.0,408181.0,0.0,0.0,0.0
2005-11-01,24011.0,318412.0,318412.0,0.0,0.0,0.0
2005-12-01,27849.0,371151.0,371151.0,0.0,0.0,0.0
2006-01-01,28613.0,382237.0,382237.0,0.0,0.0,0.0
2006-02-01,20223.0,272642.0,272642.0,0.0,0.0,0.0
2006-03-01,19371.0,268640.0,268640.0,0.0,0.0,0.0
2006-04-01,27726.0,396773.0,396773.0,0.0,0.0,0.0
2006-05-01,23886.0,337571.0,337571.0,0.0,0.0,0.0
2006-06-01,24078.0,317538.0,317538.0,0.0,0.0,0.0
2006-07-01,23797.0,311213.0,311213.0,0.0,0.0,0.0
2006-08-01,25540.0,358731.0,358731.0,0.0,0.0,0.0
2006-09-01,18824.0,268893.0,268893.0,0.0,0.0,0.0
2006-10-01,11501.0,158378.0,158378.0,0.0,0.0,0.0
2006-11-01,12327.0,261763.0,261763.0,0.0,0.0,0.0
2006-12-01,22427.0,299782.0,299782.0,0.0,0.0,0.0
2007-01-01,21466.0,286062.0,286062.0,0.0,0.0,0.0
2007-02-01,7365.0,101947.0,101947.0,0.0,0.0,0.0
2007-03-01,11872.0,166082.0,166082.0,0.0,0.0,0.0
2007-04-01,18102.0,225729.0,225729.0,0.0,0.0,0.0
2007-05-01,20280.0,271808.0,271808.0,0.0,0.0,0.0
2007-06-01,22330.0,290350.0,290350.0,0.0,0.0,0.0
2007-07-01,24934.0,338904.0,338904.0,0.0,0.0,0.0
2007-08-01,24162.0,322704.0,322704.0,0.0,0.0,0.0
2007-09-01,20158.0,271874.0,271874.0,0.0,0.0,0.0
2007-10-01,23073.0,306328.0,306328.0,0.0,0.0,0.0
2007-11-01,22596.0,284825.0,284825.0,0.0,0.0,0.0
2007-12-01,23726.0,317931.0,317931.0,0.0,0.0,0.0
2008-01-01,23506.0,337445.0,337445.0,0.0,0.0,0.0
2008-02-01,19612.0,257457.0,257457.0,0.0,0.0,0.0
2008-03-01,23426.0,304219.0,304219.0,0.0,0.0,0.0
2008-04-01,8750.0,116465.0,116465.0,0.0,0.0,0.0
2008-05-01,19904.0,257662.0,257662.0,0.0,0.0,0.0
2008-06-01,22734.0,287795.0,287795.0,0.0,0.0,0.0
2008-07-01,25101.0,324083.0,324083.0,0.0,0.0,0.0
2008-08-01,26318.378,349145.0,349145.0,4.622,61.0,61.0
2008-09-01,25587.798000000003,335559.0,335559.0,38.202000000000005,501.0,501.0
2008-10-01,23495.867,305107.0,305107.0,53.133,690.0,690.0
2008-11-01,23879.974000000002,314439.0,314439.0,39.026,514.0,514.0
2008-12-01,24433.0,320212.0,320212.0,0.0,0.0,0.0
2009-01-01,24482.519,323248.0,323248.0,54.481,719.0,719.0
2009-02-01,21579.262,283814.0,283814.0,64.738,851.0,851.0
2009-03-01,22603.012,311977.0,311977.0,49.988,690.0,690.0
2009-04-01,16734.378,218685.0,218685.0,87.622,1145.0,1145.0
2009-05-01,15563.418000000001,200805.0,200805.0,29.582,382.0,382.0
2009-06-01,22121.037,292626.0,292626.0,29.963,396.0,396.0
2009-07-01,22437.747,309006.0,309006.0,20.253,279.0,279.0
