measured_on,Other Biomass Gas Generation,Other Biomass Gas Quantity Consumed For Electricity,Other Biomass Gas Total Fuel Consumed
2016-01-01,2014.705,21719.0,21719.0
2016-02-01,2035.311,21941.0,21941.0
2016-03-01,2183.891,23543.0,23543.0
2016-04-01,2151.31,23191.0,23191.0
2016-05-01,2279.292,24571.0,24571.0
2016-06-01,1925.502,20757.0,20757.0
2016-07-01,2162.271,23309.0,23309.0
2016-08-01,1994.699,21503.0,21503.0
2016-09-01,1857.381,20023.0,20023.0
2016-10-01,1763.01,19005.0,19005.0
2016-11-01,2034.198,21929.0,21929.0
2016-12-01,2045.43,22050.0,22050.0
2017-01-01,2229.649,23672.0,23672.0
2017-02-01,2013.516,21377.0,21377.0
2017-03-01,2195.55,23310.0,23310.0
2017-04-01,2091.047,22200.0,22200.0
2017-05-01,2255.198,23943.0,23943.0
2017-06-01,2072.715,22006.0,22006.0
2017-07-01,1992.51,21154.0,21154.0
2017-08-01,2005.329,21290.0,21290.0
2017-09-01,1912.143,20300.0,20300.0
2017-10-01,2061.689,21888.0,21888.0
2017-11-01,1979.859,21020.0,21020.0
2017-12-01,2136.795,22686.0,22686.0
2018-01-01,2072.478,23582.0,23582.0
2018-02-01,1826.676,20786.0,20786.0
2018-03-01,1967.027,22383.0,22383.0
2018-04-01,1957.966,22279.0,22279.0
2018-05-01,2057.454,23411.0,23411.0
2018-06-01,1846.184,21007.0,21007.0
2018-07-01,1896.885,21584.0,21584.0
2018-08-01,1807.997,20573.0,20573.0
2018-09-01,1722.222,19597.0,19597.0
2018-10-01,1995.1,22702.0,22702.0
2018-11-01,1940.318,22079.0,22079.0
2018-12-01,2004.693,22811.0,22811.0
2019-01-01,1954.586,22402.0,22402.0
2019-02-01,1758.799,20159.0,20159.0
2019-03-01,1998.533,22907.0,22907.0
2019-04-01,1849.388,21197.0,21197.0
2019-05-01,1961.541,22482.0,22482.0
2019-06-01,1811.233,20759.0,20759.0
2019-07-01,1819.824,20858.0,20858.0
2019-08-01,1772.728,20318.0,20318.0
2019-09-01,1666.159,19097.0,19097.0
2019-10-01,1729.516,19823.0,19823.0
2019-11-01,1703.012,19519.0,19519.0
2019-12-01,1889.681,21658.0,21658.0
2020-01-01,2000.39,23641.0,23641.0
2020-02-01,1791.828,21176.0,21176.0
2020-03-01,2038.814,24094.0,24094.0
2020-04-01,1958.612,23147.0,23147.0
2020-05-01,1926.203,22764.0,22764.0
2020-06-01,1800.648,21280.0,21280.0
2020-07-01,1762.44,20828.0,20828.0
2020-08-01,1744.186,20613.0,20613.0
2020-09-01,1744.359,20615.0,20615.0
2020-10-01,1896.383,22411.0,22411.0
2020-11-01,1795.554,21220.0,21220.0
2020-12-01,1980.583,23406.0,23406.0
2021-01-01,2328.398,27810.0,27810.0
2021-02-01,1961.325,23425.0,23425.0
2021-03-01,2117.155,25287.0,25287.0
2021-04-01,2009.624,24003.0,24003.0
2021-05-01,2112.85,25235.0,25235.0
2021-06-01,1956.696,23370.0,23370.0
2021-07-01,2015.611,24074.0,24074.0
2021-08-01,1880.41,22460.0,22460.0
2021-09-01,1912.551,22843.0,22843.0
2021-10-01,1824.603,21792.0,21792.0
2021-11-01,1655.445,19772.0,19772.0
2021-12-01,2030.332,24250.0,24250.0
2022-01-01,917.083,12551.0,12551.0
2022-02-01,867.598,11874.0,11874.0
2022-03-01,959.742,13135.0,13135.0
2022-04-01,896.09,12264.0,12264.0
2022-05-01,890.091,12182.0,12182.0
2022-06-01,816.05,11169.0,11169.0
2022-07-01,817.527,11189.0,11189.0
2022-08-01,791.911,10838.0,10838.0
2022-09-01,838.995,11482.0,11482.0
2022-10-01,832.694,11396.0,11396.0
2022-11-01,835.629,11437.0,11437.0
2022-12-01,691.59,9465.0,9465.0
2023-01-01,1209.606,16494.0,16494.0
2023-02-01,1009.75,13769.0,13769.0
2023-03-01,1162.538,15853.0,15853.0
2023-04-01,1088.445,14842.0,14842.0
2023-05-01,1146.473,15633.0,15633.0
2023-06-01,1142.363,15578.0,15578.0
2023-07-01,1120.024,15273.0,15273.0
2023-08-01,1054.419,14378.0,14378.0
2023-09-01,911.993,12436.0,12436.0
2023-10-01,1012.267,13804.0,13804.0
2023-11-01,998.239,13612.0,13612.0
2023-12-01,989.883,13498.0,13498.0
2024-01-01,1173.602,14770.0,14770.0
2024-02-01,1163.623,14644.0,14644.0
2024-03-01,1228.469,15460.0,15460.0
2024-04-01,1114.71,14028.0,14028.0
2024-05-01,1172.083,14750.0,14750.0
2024-06-01,1126.921,14182.0,14182.0
2024-07-01,1144.628,14404.0,14404.0
2024-08-01,1171.763,14746.0,14746.0
2024-09-01,1027.143,12926.0,12926.0
2024-10-01,1145.658,14417.0,14417.0
2024-11-01,1064.862,13401.0,13401.0
2024-12-01,921.538,11597.0,11597.0
