measured_on,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Waste heat not directly attributed to a fuel source-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Waste heat not directly attributed to a fuel source-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Waste heat not directly attributed to a fuel source-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2004-01-01,40.8819,214.36,1478.96,5788.3621,30349.97,209402.1,,,
2004-02-01,42.214259999999996,221.34,1527.16,5722.61874,30005.27,207023.76,,,
2004-03-01,41.14505,215.73,1488.48,5745.03095,30122.78,207834.57,,,
2004-04-01,44.991209999999995,235.9,1627.62,3635.28179,19060.79,131511.42,,,
2004-05-01,57.90042,303.59,2094.63,3506.78458,18387.04,126862.92,,,
2004-06-01,72.58323,380.57,2625.8,5722.61877,30005.27,207023.76,,,
2004-07-01,95.44368999999999,500.44,3452.81,3140.71731,16467.64,113619.87,,,
2004-08-01,90.884,476.53,3287.87,0.0,0.0,0.0,,,
2004-09-01,64.15149,336.36,2320.77,3614.36451,18951.11,130754.7,,,
2004-10-01,58.93924,309.03,2132.21,4861.98476,25492.72,175889.16,,,
2004-11-01,31.51557,165.24,1140.12,5507.46043,28877.13,199240.11,,,
2004-12-01,35.45322,185.89,1282.57,5573.20278,29221.84,201618.45,,,
2005-01-01,80.01624,419.55,2318.72,4962.67976,26020.7,143809.11,,,
2005-02-01,72.22314,378.69,2092.89,4976.58886,26093.63,144212.13,,,
2005-03-01,77.94328999999999,408.68,2258.65,6064.53971,31798.05,175738.95,,,
2005-04-01,78.31773,410.64,2269.5,5512.33427,28902.68,159737.04,,,
2005-05-01,86.01664,451.01,2492.6,5830.46036,30570.71,168955.74,,,
2005-06-01,110.48337,579.29,3201.6,5584.71063,29282.18,161834.4,,,
2005-07-01,141.47609,741.8,4099.71,6607.76591,34646.34,191480.58,,,
2005-08-01,146.61406,768.74,4248.6,6383.26494,33469.22,184975.02,,,
2005-09-01,110.5783,579.79,3204.35,5528.7117,28988.56,160211.61,,,
2005-10-01,85.83028999999999,450.03,2487.2,4616.39671,24205.04,133774.47,,,
2005-11-01,76.58089,401.53,2219.17,5409.78911,28365.02,156765.51,,,
2005-12-01,87.37665,458.14,2532.01,5144.17135,26972.31,149068.35,,,
