measured_on,Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2004-01-01,,,,,,,0.0,0.0,0.0
2004-02-01,,,,,,,0.0,0.0,0.0
2004-03-01,,,,,,,0.0,0.0,0.0
2004-04-01,,,,,,,0.0,0.0,0.0
2004-05-01,,,,,,,0.0,0.0,0.0
2004-06-01,,,,,,,0.0,0.0,0.0
2004-07-01,,,,,,,0.0,0.0,0.0
2004-08-01,,,,,,,0.0,0.0,0.0
2004-09-01,,,,,,,0.0,0.0,0.0
2004-10-01,,,,,,,0.0,0.0,0.0
2004-11-01,,,,,,,0.0,0.0,0.0
2004-12-01,,,,,,,0.0,0.0,0.0
2009-05-01,12387.0,167073.0,167073.0,6000.0,0.0,0.0,,,
2009-06-01,40095.0,506616.0,506616.0,22217.0,0.0,0.0,,,
2009-07-01,45346.0,567391.0,567391.0,24349.0,0.0,0.0,,,
2009-08-01,44641.0,547120.0,547120.0,22486.0,0.0,0.0,,,
2009-09-01,18455.0,230879.0,230879.0,9070.0,0.0,0.0,,,
2009-10-01,7265.0,88892.0,88892.0,3470.0,0.0,0.0,,,
2009-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-12-01,2099.0,27020.0,27020.0,851.0,0.0,0.0,,,
2010-01-01,9365.0,103054.0,103054.0,3967.0,0.0,0.0,,,
2010-02-01,1681.0,21824.0,21824.0,665.0,0.0,0.0,,,
2010-03-01,54844.0,646881.0,646881.0,28280.0,0.0,0.0,,,
2010-04-01,103834.0,1189914.0,1189914.0,55703.0,0.0,0.0,,,
2010-05-01,60223.0,708728.0,708728.0,29847.0,0.0,0.0,,,
2010-06-01,92013.0,1032434.0,1032434.0,49303.0,0.0,0.0,,,
2010-07-01,98750.0,1193062.0,1193062.0,53853.0,0.0,0.0,,,
2010-08-01,97181.0,1179648.0,1179648.0,54265.0,0.0,0.0,,,
2010-09-01,94650.0,1102808.0,1102808.0,49924.0,13171.0,13171.0,,,
2010-10-01,8446.0,99775.0,99775.0,4402.0,1345.0,1345.0,,,
2010-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2011-01-01,11000.0,118705.0,118705.0,5076.0,8261.0,8261.0,,,
2011-02-01,18487.0,205080.0,205080.0,8145.0,5731.0,5731.0,,,
2011-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2011-04-01,27465.0,315673.0,315673.0,15254.0,20418.0,20418.0,,,
2011-05-01,26040.0,330407.0,330407.0,13499.0,6090.0,6090.0,,,
2011-06-01,39349.0,453277.0,453277.0,19656.0,8792.0,8792.0,,,
2011-07-01,90233.0,1077312.0,1077312.0,48911.0,32821.0,32821.0,,,
2011-08-01,97190.0,1086816.0,1086816.0,54786.0,88052.0,88052.0,,,
2011-09-01,42143.0,516821.0,516821.0,23837.0,22113.0,22113.0,,,
2011-10-01,32307.0,391356.0,391356.0,16626.0,770.0,770.0,,,
2011-11-01,3281.0,45765.0,45765.0,1440.0,0.0,0.0,,,
2011-12-01,8042.0,95051.0,95051.0,3696.0,12.0,12.0,,,
