measured_on,Jet Fuel - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Generation,Jet Fuel - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Quantity Consumed For Electricity,Jet Fuel - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Total Fuel Consumed,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Generation,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Quantity Consumed For Electricity,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Generation,Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Quantity Consumed For Electricity,Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Total Fuel Consumed
2003-01-01,105.0,2667.0,2667.0,,,,30.0,778.0,778.0,,,
2003-02-01,841.0,12641.0,12641.0,,,,49.0,737.0,737.0,,,
2003-03-01,126.0,2533.0,2533.0,,,,1.0,25.0,25.0,,,
2003-04-01,792.0,11541.0,11541.0,,,,715.0,10411.0,10411.0,,,
2003-05-01,1.0,17.0,17.0,,,,220.0,3809.0,3809.0,,,
2003-06-01,0.0,0.0,0.0,,,,177.0,3481.0,3481.0,0.0,0.0,0.0
2003-07-01,12.0,207.0,207.0,,,,109.0,1831.0,1831.0,,,
2003-08-01,284.0,3995.0,3995.0,,,,515.0,7243.0,7243.0,,,
2003-09-01,-23.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2003-10-01,0.0,0.0,0.0,,,,-24.0,0.0,0.0,,,
2003-11-01,0.0,0.0,0.0,,,,10.0,200.0,200.0,,,
2003-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2004-01-01,0.07100000000000001,15.0,15.0,,,,0.41100000000000003,162.0,162.0,0.0,0.0,0.0
2004-02-01,0.07100000000000001,15.0,15.0,,,,0.323,127.0,127.0,0.0,0.0,0.0
2004-03-01,0.0,0.0,0.0,,,,0.503,198.0,198.0,0.0,0.0,0.0
2004-04-01,0.064,13.0,13.0,,,,0.552,217.0,217.0,0.0,0.0,0.0
2004-05-01,0.14800000000000002,30.0,30.0,,,,1.08,425.0,425.0,0.0,0.0,0.0
2004-06-01,0.258,53.0,53.0,,,,1.489,586.0,586.0,0.0,0.0,0.0
2004-07-01,0.036000000000000004,7.0,7.0,,,,1.693,667.0,667.0,0.0,0.0,0.0
2004-08-01,0.036000000000000004,7.0,7.0,,,,2.0020000000000002,788.0,788.0,0.0,0.0,0.0
2004-09-01,0.058,12.0,12.0,,,,1.385,545.0,545.0,0.0,0.0,0.0
2004-10-01,0.127,26.0,26.0,,,,0.773,304.0,304.0,0.0,0.0,0.0
2004-11-01,0.0,0.0,0.0,,,,0.804,316.0,316.0,0.0,0.0,0.0
