measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed",Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Generation,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Quantity Consumed For Electricity,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Total Fuel Consumed
2003-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2003-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2003-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2003-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2003-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2003-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2003-08-01,0.0,0.0,0.0,0.0,0.0,0.0
2003-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2003-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2003-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2003-12-01,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-01,10.875,180.0,180.0,130.332,1306.19,1306.19
2004-02-01,14.067,232.0,232.0,121.066,1213.32,1213.32
2004-03-01,12.624,209.0,209.0,135.23600000000002,1355.34,1355.34
2004-04-01,8.56,141.0,141.0,116.164,1164.2,1164.2
2004-05-01,9.283000000000001,153.0,153.0,101.501,1017.24,1017.24
2004-06-01,8.917,147.0,147.0,107.402,1076.38,1076.38
2004-07-01,14.2,235.0,235.0,144.592,1449.1,1449.1
2004-08-01,15.033000000000001,248.0,248.0,168.151,1685.21,1685.21
2004-09-01,12.243,202.0,202.0,153.19400000000002,1535.31,1535.31
2004-10-01,8.954,148.0,148.0,131.078,1313.66,1313.66
2004-11-01,5.204000000000001,86.0,86.0,138.043,1383.47,1383.47
2004-12-01,5.041,83.0,83.0,129.24200000000002,1295.26,1295.26
2005-01-01,21.747,321.87,321.87,128.515,1285.02,1285.02
2005-02-01,7.472,110.58,110.58,117.753,1177.42,1177.42
2005-03-01,8.281,122.57,122.57,122.70200000000001,1226.9,1226.9
2005-04-01,10.031,148.47,148.47,122.613,1226.01,1226.01
2005-05-01,9.316,137.89,137.89,172.936,1729.18,1729.18
2005-06-01,12.092,178.96,178.96,161.24200000000002,1612.26,1612.26
2005-07-01,12.308,182.16,182.16,149.886,1498.71,1498.71
2005-08-01,14.459000000000001,214.0,214.0,124.384,1243.72,1243.72
2005-09-01,9.465,140.09,140.09,98.583,985.73,985.73
2005-10-01,10.511000000000001,155.57,155.57,106.391,1063.8,1063.8
2005-11-01,8.45,125.06,125.06,114.649,1146.37,1146.37
2005-12-01,17.867,264.44,264.44,128.347,1283.35,1283.35
2006-01-01,63.933,813.0,813.0,139.327,1382.0,1382.0
2006-02-01,33.454,425.0,425.0,122.23700000000001,1212.0,1212.0
2006-03-01,28.102,357.0,357.0,131.37900000000002,1303.0,1303.0
2006-04-01,53.83,684.0,684.0,158.608,1573.0,1573.0
2006-05-01,50.318000000000005,640.0,640.0,171.15900000000002,1698.0,1698.0
2006-06-01,45.735,581.0,581.0,176.78300000000002,1754.0,1754.0
2006-07-01,66.24900000000001,842.0,842.0,144.454,1433.0,1433.0
2006-08-01,64.26100000000001,817.0,817.0,118.44600000000001,1175.0,1175.0
2006-09-01,29.523,375.0,375.0,86.83200000000001,861.0,861.0
2006-10-01,31.185,396.0,396.0,82.12100000000001,815.0,815.0
2006-11-01,36.722,467.0,467.0,95.28800000000001,945.0,945.0
2006-12-01,40.688,517.0,517.0,103.366,1025.0,1025.0
2007-01-01,33.355,512.0,512.0,167.24800000000002,1653.0,1653.0
2007-02-01,25.831,400.0,400.0,174.335,1723.0,1723.0
2007-03-01,51.082,788.0,788.0,180.669,1786.0,1786.0
2007-04-01,31.071,476.0,476.0,171.219,1692.0,1692.0
2007-05-01,28.666,441.0,441.0,161.709,1598.0,1598.0
2007-06-01,28.025,429.0,429.0,158.942,1571.0,1571.0
2007-07-01,41.382000000000005,635.0,635.0,160.59,1587.0,1587.0
2007-08-01,52.235,806.0,806.0,141.47400000000002,1398.0,1398.0
2007-09-01,43.392,670.0,670.0,105.82100000000001,1046.0,1046.0
2007-10-01,52.402,806.0,806.0,108.921,1077.0,1077.0
2007-11-01,38.443000000000005,594.0,594.0,116.035,1147.0,1147.0
2007-12-01,55.116,847.0,847.0,129.037,1275.0,1275.0
2008-01-01,37.938,529.0,529.0,119.11800000000001,1174.0,1174.0
2008-02-01,34.727000000000004,482.0,482.0,129.389,1275.0,1275.0
2008-03-01,23.237000000000002,323.0,323.0,124.947,1231.0,1231.0
2008-04-01,23.449,329.0,329.0,119.73400000000001,1180.0,1180.0
2008-05-01,24.529,341.0,341.0,88.53800000000001,872.0,872.0
2008-06-01,16.432000000000002,229.0,229.0,113.177,1115.0,1115.0
2008-07-01,17.074,235.0,235.0,81.911,807.0,807.0
2008-08-01,16.897000000000002,235.0,235.0,98.91600000000001,975.0,975.0
2008-09-01,17.63,247.0,247.0,107.688,1061.0,1061.0
2008-10-01,20.07,282.0,282.0,114.34700000000001,1127.0,1127.0
2008-11-01,24.477,341.0,341.0,95.065,937.0,937.0
2008-12-01,41.54,576.0,576.0,147.17000000000002,1450.0,1450.0
2009-01-01,91.435,1035.0,1035.0,43.913000000000004,429.0,429.0
2009-02-01,67.107,764.0,764.0,47.538000000000004,464.0,464.0
2009-03-01,69.70100000000001,794.0,794.0,50.245,490.0,490.0
2009-04-01,71.616,817.0,817.0,51.466,502.0,502.0
2009-05-01,42.936,488.0,488.0,38.829,379.0,379.0
2009-06-01,42.163000000000004,482.0,482.0,51.012,498.0,498.0
2009-07-01,47.535,541.0,541.0,50.594,494.0,494.0
2009-08-01,47.288000000000004,541.0,541.0,55.454,541.0,541.0
2009-09-01,31.5,359.0,359.0,41.592,406.0,406.0
2009-10-01,31.211000000000002,353.0,353.0,66.351,648.0,648.0
2009-11-01,59.328,676.0,676.0,61.93,604.0,604.0
2009-12-01,60.18,688.0,688.0,72.07600000000001,703.0,703.0
2010-01-01,106.58200000000001,1264.0,1264.0,0.0,0.0,0.0
2010-02-01,84.682,1005.0,1005.0,0.0,0.0,0.0
2010-03-01,74.953,894.0,894.0,0.0,0.0,0.0
2010-04-01,66.35900000000001,788.0,788.0,0.0,0.0,0.0
2010-05-01,55.181000000000004,659.0,659.0,0.0,0.0,0.0
2010-06-01,43.316,517.0,517.0,0.0,0.0,0.0
2010-07-01,49.697,594.0,594.0,0.0,0.0,0.0
2010-08-01,50.667,606.0,606.0,0.0,0.0,0.0
2010-09-01,46.393,553.0,553.0,0.0,0.0,0.0
2010-10-01,55.612,664.0,664.0,0.0,0.0,0.0
2010-11-01,63.341,753.0,753.0,0.0,0.0,0.0
2010-12-01,115.217,1370.0,1370.0,0.0,0.0,0.0
2011-01-01,90.913,1117.0,1117.0,0.0,0.0,0.0
2011-02-01,81.191,1000.0,1000.0,0.0,0.0,0.0
2011-03-01,71.082,870.0,870.0,0.0,0.0,0.0
2011-04-01,46.055,564.0,564.0,0.0,0.0,0.0
2011-05-01,48.269,594.0,594.0,0.0,0.0,0.0
2011-06-01,44.846,553.0,553.0,0.0,0.0,0.0
2011-07-01,47.391,582.0,582.0,0.0,0.0,0.0
2011-08-01,42.774,523.0,523.0,0.0,0.0,0.0
2011-09-01,47.403,582.0,582.0,0.0,0.0,0.0
2011-10-01,83.803,1029.0,1029.0,0.0,0.0,0.0
2011-11-01,77.59,953.0,953.0,0.0,0.0,0.0
2011-12-01,76.683,941.0,941.0,0.0,0.0,0.0
2012-01-01,67.59,1000.0,1000.0,0.0,0.0,0.0
2012-02-01,39.865,594.0,594.0,0.0,0.0,0.0
2012-03-01,60.462,900.0,900.0,0.0,0.0,0.0
2012-04-01,38.284,570.0,570.0,0.0,0.0,0.0
2012-05-01,47.907,711.0,711.0,0.0,0.0,0.0
2012-06-01,39.094,582.0,582.0,0.0,0.0,0.0
2012-07-01,61.126,906.0,906.0,0.0,0.0,0.0
2012-08-01,56.957,847.0,847.0,0.0,0.0,0.0
2012-09-01,53.025,788.0,788.0,0.0,0.0,0.0
2012-10-01,39.386,588.0,588.0,0.0,0.0,0.0
2012-11-01,42.242,629.0,629.0,0.0,0.0,0.0
2012-12-01,65.062,964.0,964.0,0.0,0.0,0.0
2013-01-01,56.686,1035.0,1035.0,,,
2013-02-01,39.111,711.0,711.0,,,
2013-03-01,39.561,723.0,723.0,,,
2013-04-01,45.632,835.0,835.0,,,
2013-05-01,45.989,841.0,841.0,,,
2013-06-01,33.027,600.0,600.0,,,
2013-07-01,31.271,570.0,570.0,,,
2013-08-01,30.854,564.0,564.0,,,
2013-09-01,36.21,659.0,659.0,,,
2013-10-01,34.844,635.0,635.0,,,
2013-11-01,45.417,829.0,829.0,,,
2013-12-01,51.398,935.0,935.0,,,
2014-01-01,0.0,0.0,0.0,100.791,959.0,959.0
2014-02-01,0.0,0.0,0.0,90.966,865.0,865.0
2014-03-01,0.0,0.0,0.0,82.285,783.0,783.0
2014-04-01,0.0,0.0,0.0,88.2,839.0,839.0
2014-05-01,0.0,0.0,0.0,77.119,733.0,733.0
2014-06-01,0.0,0.0,0.0,71.615,681.0,681.0
2014-07-01,0.0,0.0,0.0,67.724,644.0,644.0
2014-08-01,0.0,0.0,0.0,84.206,801.0,801.0
2014-09-01,0.0,0.0,0.0,130.216,1238.0,1238.0
2014-10-01,0.0,0.0,0.0,94.82,902.0,902.0
2014-11-01,0.0,0.0,0.0,97.636,929.0,929.0
2014-12-01,3.0,30.0,30.0,111.422,1060.0,1060.0
2015-01-01,0.0,0.0,0.0,109.34,1019.0,1019.0
2015-02-01,0.0,0.0,0.0,91.93,857.0,857.0
2015-03-01,0.0,0.0,0.0,75.992,708.0,708.0
2015-04-01,0.0,0.0,0.0,92.029,858.0,858.0
2015-05-01,0.0,0.0,0.0,89.34,833.0,833.0
2015-06-01,0.0,0.0,0.0,77.376,721.0,721.0
2015-07-01,0.0,0.0,0.0,68.155,635.0,635.0
2015-08-01,0.0,0.0,0.0,79.673,742.0,742.0
2015-09-01,0.0,0.0,0.0,97.26,906.0,906.0
2015-10-01,0.0,0.0,0.0,98.092,914.0,914.0
2015-11-01,0.0,0.0,0.0,122.52,1142.0,1142.0
2015-12-01,0.0,0.0,0.0,127.293,1186.0,1186.0
2016-01-01,0.0,0.0,0.0,74.839,691.0,691.0
2016-02-01,0.0,0.0,0.0,61.733,570.0,570.0
2016-03-01,0.0,0.0,0.0,78.849,728.0,728.0
2016-04-01,0.0,0.0,0.0,49.523,457.0,457.0
2016-05-01,0.0,0.0,0.0,32.836,303.0,303.0
