measured_on,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,21.0,232.0,232.0,59257.0,649733.0,649733.0
2003-02-01,13864.0,135656.0,135656.0,30433.0,293475.0,293475.0
2003-03-01,0.0,0.0,0.0,60067.0,557064.0,557064.0
2003-04-01,0.0,0.0,0.0,42596.0,507447.0,507447.0
2003-05-01,6.0,64.0,64.0,62910.0,696983.0,696983.0
2003-06-01,2583.0,27863.0,27863.0,107464.0,1211141.0,1211141.0
2003-07-01,1.0,12.0,12.0,147793.0,1686448.0,1686448.0
2003-08-01,0.0,0.0,0.0,108609.0,1237270.0,1237270.0
2003-09-01,44.0,481.0,481.0,53066.0,599185.0,599185.0
2003-10-01,39.0,458.0,458.0,41498.0,502372.0,502372.0
2003-11-01,23.0,302.0,302.0,11118.0,145077.0,145077.0
2003-12-01,-324.0,0.0,0.0,-1193.0,0.0,0.0
2004-01-01,35.0,423.0,423.0,19104.0,233093.0,233093.0
2004-02-01,1411.0,17983.0,17983.0,15794.0,197969.0,197969.0
2004-03-01,0.0,0.0,0.0,1247.0,47851.0,47851.0
2004-04-01,0.0,0.0,0.0,50389.0,541991.0,541991.0
2004-05-01,12.0,139.0,139.0,56976.0,650918.0,650918.0
2004-06-01,11.0,106.0,106.0,124670.0,1350108.0,1350108.0
2004-07-01,3.0,29.0,29.0,72217.0,815468.0,815468.0
2004-08-01,0.0,0.0,0.0,103792.0,1176008.0,1176008.0
2004-09-01,32.0,359.0,359.0,89531.0,988345.0,988345.0
2004-10-01,398.0,4497.0,4497.0,93814.0,1038777.0,1038777.0
2004-11-01,0.0,0.0,0.0,11637.0,171491.0,171491.0
2004-12-01,31.0,641.0,641.0,2910.0,59884.0,59884.0
2005-01-01,18.0,529.2,529.2,1617.0,47144.05,47144.05
2005-02-01,0.0,0.0,0.0,-1503.0,0.0,0.0
2005-03-01,0.0,0.0,0.0,19782.0,240234.15,240234.15
2005-04-01,0.0,0.0,0.0,-1075.0,0.0,0.0
2005-05-01,0.0,0.0,0.0,21489.0,234419.52,234419.52
2005-06-01,2.0,29.4,29.4,81459.0,1029650.59,1029650.59
2005-07-01,34.0,364.56,364.56,172972.0,1851025.33,1851025.33
2005-08-01,15.0,158.76,158.76,180729.0,1930130.69,1930130.69
2005-09-01,37.0,405.72,405.72,146675.0,1585202.99,1585202.99
2005-10-01,36.0,393.96,393.96,84922.0,926533.36,926533.36
2005-11-01,0.0,0.0,0.0,179629.0,1887343.91,1887343.91
2005-12-01,32.0,364.56,364.56,79813.0,910810.66,910810.66
2006-01-01,38.0,465.0,465.0,31554.0,385990.0,385990.0
2006-02-01,20.0,218.0,218.0,92674.0,1010556.0,1010556.0
2006-03-01,0.0,0.0,0.0,53774.0,657845.0,657845.0
2006-04-01,52.0,582.0,582.0,142031.0,1595275.0,1595275.0
2006-05-01,39.0,441.0,441.0,97542.0,1115388.0,1115388.0
2006-06-01,31.0,341.0,341.0,199436.0,2186686.0,2186686.0
2006-07-01,21.0,229.0,229.0,195878.0,2157680.0,2157680.0
2006-08-01,0.0,0.0,0.0,274629.0,2970019.0,2970019.0
2006-09-01,107.0,1235.0,1235.0,119017.0,1364511.0,1364511.0
