measured_on,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Total Fuel Consumed,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed
2003-01-01,,,,302.0,5292.0,5292.0
2003-02-01,,,,962.0,15252.0,15252.0
2003-03-01,,,,986.0,22398.0,22398.0
2003-04-01,,,,1221.0,19566.0,19566.0
2003-05-01,,,,887.0,14838.0,14838.0
2003-06-01,,,,1045.0,16566.0,16566.0
2003-07-01,,,,2299.0,36612.0,36612.0
2003-08-01,,,,996.0,15648.0,15648.0
2003-09-01,,,,475.0,6978.0,6978.0
2003-10-01,,,,501.0,9108.0,9108.0
2003-11-01,,,,298.0,5148.0,5148.0
2003-12-01,,,,796.0,12222.0,12222.0
2004-01-01,,,,588.417,7930.0,7930.0
2004-02-01,,,,588.417,7930.0,7930.0
2004-03-01,,,,588.417,7930.0,7930.0
2004-04-01,,,,588.417,7930.0,7930.0
2004-05-01,,,,588.417,7930.0,7930.0
2004-06-01,,,,588.417,7930.0,7930.0
2004-07-01,,,,588.417,7930.0,7930.0
2004-08-01,,,,588.417,7930.0,7930.0
2004-09-01,,,,588.417,7930.0,7930.0
2004-10-01,,,,588.417,7930.0,7930.0
2004-11-01,,,,588.417,7930.0,7930.0
2004-12-01,,,,588.417,7930.0,7930.0
2005-01-01,,,,918.7520000000001,17790.01,17790.01
2005-02-01,,,,315.654,6112.07,6112.07
2005-03-01,,,,349.863,6774.47,6774.47
2005-04-01,,,,423.783,8205.82,8205.82
2005-05-01,,,,393.58700000000005,7621.12,7621.12
2005-06-01,,,,510.838,9891.47,9891.47
2005-07-01,,,,519.97,10068.29,10068.29
2005-08-01,,,,610.839,11827.81,11827.81
2005-09-01,,,,399.86100000000005,7742.6,7742.6
2005-10-01,,,,444.052,8598.28,8598.28
2005-11-01,,,,356.97900000000004,6912.26,6912.26
2005-12-01,,,,754.8230000000001,14615.8,14615.8
2006-01-01,,,,367.733,7736.0,7736.0
2006-02-01,,,,192.423,4048.0,4048.0
2006-03-01,,,,161.637,3400.0,3400.0
2006-04-01,,,,309.623,6514.0,6514.0
2006-05-01,,,,289.42,6089.0,6089.0
2006-06-01,,,,263.062,5534.0,5534.0
2006-07-01,,,,381.052,8016.0,8016.0
2006-08-01,,,,369.619,7776.0,7776.0
2006-09-01,,,,169.809,3572.0,3572.0
2006-10-01,,,,179.37300000000002,3774.0,3774.0
2006-11-01,,,,211.217,4443.0,4443.0
2006-12-01,,,,234.031,4923.0,4923.0
2007-01-01,548.6940000000001,11322.0,11322.0,,,
2007-02-01,415.283,8568.0,8568.0,,,
2007-03-01,359.16400000000004,7410.0,7410.0,,,
2007-04-01,150.981,3114.0,3114.0,,,
2007-05-01,307.156,6336.0,6336.0,,,
2007-06-01,527.71,10890.0,10890.0,,,
2007-07-01,307.391,6342.0,6342.0,,,
2007-08-01,193.42700000000002,3990.0,3990.0,,,
2007-09-01,280.426,5784.0,5784.0,,,
2007-10-01,92.763,1914.0,1914.0,,,
2007-11-01,345.38800000000003,7128.0,7128.0,,,
2007-12-01,692.6170000000001,14292.0,14292.0,,,
2008-01-01,,,,124.16600000000001,2664.0,2664.0
2008-02-01,,,,68.172,1458.0,1458.0
2008-03-01,,,,225.419,4824.0,4824.0
2008-04-01,,,,68.50200000000001,1464.0,1464.0
2008-05-01,,,,136.643,2922.0,2922.0
2008-06-01,,,,143.282,3066.0,3066.0
2008-07-01,,,,138.832,2970.0,2970.0
2008-08-01,,,,85.35300000000001,1830.0,1830.0
2008-09-01,,,,49.531000000000006,1062.0,1062.0
2008-10-01,,,,84.795,1818.0,1818.0
2008-11-01,,,,60.841,1302.0,1302.0
2008-12-01,,,,100.464,2148.0,2148.0
2009-01-01,,,,102.95400000000001,2094.0,2094.0
2009-02-01,,,,81.822,1668.0,1668.0
2009-03-01,,,,123.79700000000001,2526.0,2526.0
2009-04-01,,,,52.778000000000006,1074.0,1074.0
2009-05-01,,,,120.29,2454.0,2454.0
2009-06-01,,,,83.272,1698.0,1698.0
2009-07-01,,,,85.29,1740.0,1740.0
2009-08-01,,,,64.361,1314.0,1314.0
2009-09-01,,,,71.056,1452.0,1452.0
2009-10-01,,,,106.405,2172.0,2172.0
2009-11-01,,,,99.866,2034.0,2034.0
2009-12-01,,,,134.109,2736.0,2736.0
2010-01-01,,,,22.788,792.0,792.0
2010-02-01,,,,20.66,720.0,720.0
2010-03-01,,,,16.244,564.0,564.0
2010-04-01,,,,14.624,510.0,510.0
2010-05-01,,,,22.892,798.0,798.0
2010-06-01,,,,16.088,558.0,558.0
2010-07-01,,,,9.892000000000001,342.0,342.0
2010-08-01,,,,16.102,558.0,558.0
2010-09-01,,,,12.038,420.0,420.0
2010-10-01,,,,12.268,426.0,426.0
2010-11-01,,,,14.367,498.0,498.0
2010-12-01,,,,14.037,486.0,486.0
2011-01-01,,,,175.621,3900.0,3900.0
2011-02-01,,,,68.584,1524.0,1524.0
2011-03-01,,,,70.954,1572.0,1572.0
2011-04-01,,,,84.261,1872.0,1872.0
2011-05-01,,,,193.157,4284.0,4284.0
2011-06-01,,,,119.938,2658.0,2658.0
2011-07-01,,,,116.294,2580.0,2580.0
2011-08-01,,,,159.169,3528.0,3528.0
