measured_on,"Electricity used for energy storage - Energy Storage, Battery - Other - Generation","Electricity used for energy storage - Energy Storage, Battery - Other - Quantity Consumed For Electricity","Electricity used for energy storage - Energy Storage, Battery - Other - Total Fuel Consumed",Solar - Photovoltaic - Solar - Generation,Solar - Photovoltaic - Solar - Quantity Consumed For Electricity,Solar - Photovoltaic - Solar - Total Fuel Consumed
2020-03-01,-0.646,0.0,0.0,135.52,1188.0,1188.0
2020-04-01,-0.572,0.0,0.0,170.794,1497.0,1497.0
2020-05-01,-0.554,0.0,0.0,223.526,1960.0,1960.0
2020-06-01,-0.492,0.0,0.0,222.588,1951.0,1951.0
2020-07-01,-0.582,0.0,0.0,251.417,2204.0,2204.0
2020-08-01,-0.58,0.0,0.0,208.292,1826.0,1826.0
2020-09-01,-0.627,0.0,0.0,163.55,1434.0,1434.0
2020-10-01,-0.67,0.0,0.0,151.174,1325.0,1325.0
2020-11-01,-0.66,0.0,0.0,119.514,1048.0,1048.0
2020-12-01,-0.617,0.0,0.0,94.625,830.0,830.0
2021-01-01,-1.033,0.0,0.0,106.635,943.0,943.0
2021-02-01,-1.102,0.0,0.0,139.688,1235.0,1235.0
2021-03-01,-1.24,0.0,0.0,180.361,1595.0,1595.0
2021-04-01,-1.204,0.0,0.0,225.765,1997.0,1997.0
2021-05-01,-1.019,0.0,0.0,246.08,2176.0,2176.0
2021-06-01,-1.176,0.0,0.0,239.04,2114.0,2114.0
2021-07-01,-1.177,0.0,0.0,228.955,2025.0,2025.0
2021-08-01,-1.181,0.0,0.0,225.201,1992.0,1992.0
2021-09-01,-1.312,0.0,0.0,194.181,1717.0,1717.0
2021-10-01,-1.133,0.0,0.0,161.622,1429.0,1429.0
2021-11-01,-1.216,0.0,0.0,128.601,1137.0,1137.0
2021-12-01,-1.207,0.0,0.0,87.871,777.0,777.0
2022-01-01,-1.011,0.0,0.0,117.389,401.0,401.0
2022-02-01,-1.06,0.0,0.0,140.024,478.0,478.0
2022-03-01,-0.981,0.0,0.0,185.642,633.0,633.0
2022-04-01,-1.028,0.0,0.0,209.41,715.0,715.0
2022-05-01,-1.089,0.0,0.0,245.435,837.0,837.0
2022-06-01,-1.1,0.0,0.0,255.559,872.0,872.0
2022-07-01,-1.143,0.0,0.0,246.483,841.0,841.0
2022-08-01,-1.174,0.0,0.0,228.858,781.0,781.0
2022-09-01,-1.053,0.0,0.0,193.137,659.0,659.0
2022-10-01,-1.175,0.0,0.0,177.935,607.0,607.0
2022-11-01,-1.088,0.0,0.0,131.909,450.0,450.0
2022-12-01,-1.098,0.0,0.0,92.219,315.0,315.0
2023-01-01,-2.0,0.0,0.0,94.0,321.0,321.0
2023-02-01,-1.0,0.0,0.0,124.0,423.0,423.0
2023-03-01,-2.0,0.0,0.0,167.0,570.0,570.0
2023-04-01,-1.0,0.0,0.0,246.0,839.0,839.0
2023-05-01,-1.0,0.0,0.0,260.0,887.0,887.0
2023-06-01,-1.0,0.0,0.0,244.0,833.0,833.0
2023-07-01,-1.0,0.0,0.0,251.0,856.0,856.0
2023-08-01,-1.0,0.0,0.0,234.0,798.0,798.0
2023-09-01,0.0,0.0,0.0,187.0,638.0,638.0
2023-10-01,0.0,0.0,0.0,159.0,543.0,543.0
2023-11-01,0.0,0.0,0.0,117.0,399.0,399.0
2023-12-01,1.0,0.0,0.0,79.0,270.0,270.0
2024-01-01,-1.0,0.0,0.0,84.0,287.0,287.0
2024-02-01,-1.0,0.0,0.0,120.0,409.0,409.0
2024-03-01,-1.0,0.0,0.0,180.0,614.0,614.0
2024-04-01,-1.0,0.0,0.0,219.0,747.0,747.0
2024-05-01,-1.0,0.0,0.0,273.0,931.0,931.0
2024-06-01,-1.0,0.0,0.0,261.0,891.0,891.0
2024-07-01,-1.0,0.0,0.0,245.0,836.0,836.0
2024-08-01,-1.0,0.0,0.0,243.0,829.0,829.0
2024-09-01,-1.0,0.0,0.0,186.0,635.0,635.0
2024-10-01,-1.0,0.0,0.0,130.0,444.0,444.0
2024-11-01,-1.0,0.0,0.0,104.0,355.0,355.0
2024-12-01,-1.0,0.0,0.0,81.0,276.0,276.0
