measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed"
2004-01-01,401.02868,4702.1,53731.98,599.04132,7023.81,80262.78,,,
2004-02-01,165.61149,1941.81,32038.3,395.04850999999996,4631.98,76423.94,,,
2004-03-01,0.0,0.0,0.0,0.0,0.0,84326.46,,,
2004-04-01,0.0,0.0,0.0,0.0,0.0,68164.56,,,
2004-05-01,0.0,0.0,0.0,0.0,0.0,60551.64,,,
2004-06-01,0.0,0.0,0.0,0.0,0.0,46924.74,,,
2004-07-01,0.0,0.0,0.0,0.0,0.0,39777.96,,,
2004-08-01,0.0,0.0,0.0,0.0,0.0,38374.44,,,
2004-09-01,0.0,0.0,0.0,0.0,0.0,48384.72,,,
2004-10-01,0.0,0.0,0.0,0.0,0.0,68600.1,,,
2004-11-01,0.0,0.0,0.0,0.0,0.0,69270.24,,,
2004-12-01,0.0,0.0,0.0,0.0,0.0,98654.4,,,
2005-01-01,0.0,0.0,0.0,0.0,0.0,70461.75,0.0,0.0,0.0
2005-02-01,0.0,0.0,0.0,0.0,0.0,62466.17,0.0,0.0,0.0
2005-03-01,0.0,0.0,0.0,0.0,0.0,74542.42,0.0,0.0,0.0
2005-04-01,0.0,0.0,0.0,0.0,0.0,76424.27,0.0,0.0,0.0
2005-05-01,0.0,0.0,0.0,0.0,0.0,61998.38,0.0,0.0,0.0
2005-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
