measured_on,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,,,,10360.0,115462.0,115462.0,,,
2003-02-01,,,,48378.0,530554.0,530554.0,,,
2003-03-01,,,,35515.0,372897.0,372897.0,,,
2003-04-01,,,,28924.0,337699.0,337699.0,,,
2003-05-01,,,,72884.0,799379.0,799379.0,,,
2003-06-01,,,,50751.0,564054.0,564054.0,,,
2003-07-01,,,,49314.0,543065.0,543065.0,,,
2003-08-01,,,,95343.0,1056379.0,1056379.0,,,
2003-09-01,,,,23686.0,266950.0,266950.0,,,
2003-10-01,,,,16486.0,191393.0,191393.0,,,
2003-11-01,,,,14799.0,172905.0,172905.0,,,
2003-12-01,,,,5874.0,71581.0,71581.0,,,
2004-01-01,,,,27549.0,302351.0,302351.0,,,
2004-02-01,,,,831.0,9524.0,9524.0,,,
2004-03-01,,,,69463.0,730994.0,730994.0,,,
2004-04-01,,,,19530.0,209601.0,209601.0,,,
2004-05-01,,,,33912.0,383459.0,383459.0,,,
2004-06-01,,,,40058.0,445437.0,445437.0,,,
2004-07-01,,,,71961.0,799801.0,799801.0,,,
2004-08-01,,,,40109.0,469475.0,469475.0,,,
2004-09-01,,,,35675.0,412859.0,412859.0,,,
2004-10-01,,,,41861.0,475264.0,475264.0,,,
2004-11-01,,,,7460.0,91144.0,91144.0,,,
2004-12-01,,,,7216.0,90319.0,90319.0,,,
2005-01-01,0.0,0.0,0.0,12087.0,146546.34,146546.34,0.0,0.0,0.0
2005-02-01,0.0,0.0,0.0,24332.0,269507.74,269507.74,0.0,0.0,0.0
2005-03-01,0.0,0.0,0.0,5237.0,65711.63,65711.63,0.0,0.0,0.0
2005-04-01,0.0,0.0,0.0,29298.0,336660.9,336660.9,0.0,0.0,0.0
2005-05-01,0.0,0.0,0.0,48065.0,554759.64,554759.64,0.0,0.0,0.0
2005-06-01,0.0,0.0,0.0,60277.0,666136.68,666136.68,0.0,0.0,0.0
2005-07-01,0.0,0.0,0.0,50759.0,574338.8,574338.8,0.0,0.0,0.0
2005-08-01,0.0,0.0,0.0,43253.0,494445.8,494445.8,0.0,0.0,0.0
2005-09-01,0.0,0.0,0.0,62046.0,708091.6,708091.6,0.0,0.0,0.0
2005-10-01,0.0,0.0,0.0,26629.0,308728.99,308728.99,0.0,0.0,0.0
2005-11-01,0.0,0.0,0.0,8514.0,104056.59,104056.59,0.0,0.0,0.0
2005-12-01,0.0,0.0,0.0,6855.0,92272.73,92272.73,0.0,0.0,0.0
2006-01-01,0.0,0.0,0.0,-465.0,0.0,0.0,0.0,0.0,0.0
2006-02-01,0.0,0.0,0.0,13792.0,159502.0,159502.0,0.0,0.0,0.0
2006-03-01,0.0,0.0,0.0,40057.0,473411.0,473411.0,0.0,0.0,0.0
2006-04-01,0.0,0.0,0.0,47551.0,534325.0,534325.0,0.0,0.0,0.0
2006-05-01,0.0,0.0,0.0,37637.0,437674.0,437674.0,0.0,0.0,0.0
2006-06-01,0.0,0.0,0.0,49666.0,565567.0,565567.0,0.0,0.0,0.0
2006-07-01,0.0,0.0,0.0,76539.0,856976.0,856976.0,0.0,0.0,0.0
2006-08-01,0.0,0.0,0.0,81835.0,914376.0,914376.0,0.0,0.0,0.0
2006-09-01,0.0,0.0,0.0,57032.0,662645.0,662645.0,0.0,0.0,0.0
2006-10-01,0.0,0.0,0.0,44613.0,518417.0,518417.0,0.0,0.0,0.0
2006-11-01,0.0,0.0,0.0,14718.0,194766.0,194766.0,0.0,0.0,0.0
2006-12-01,0.0,0.0,0.0,9605.0,110343.0,110343.0,0.0,0.0,0.0
2007-01-01,0.0,0.0,0.0,52757.0,587413.0,587413.0,0.0,0.0,0.0
2007-02-01,0.0,0.0,0.0,20642.0,223964.0,223964.0,0.0,0.0,0.0
2007-03-01,0.0,0.0,0.0,24372.0,285091.0,285091.0,0.0,0.0,0.0
2007-04-01,0.0,0.0,0.0,54690.0,628909.0,628909.0,0.0,0.0,0.0
2007-05-01,0.0,0.0,0.0,57598.0,662350.0,662350.0,0.0,0.0,0.0
2007-06-01,0.0,0.0,0.0,50519.0,587869.0,587869.0,0.0,0.0,0.0
2007-07-01,0.0,0.0,0.0,23915.0,299233.0,299233.0,0.0,0.0,0.0
2007-08-01,0.0,0.0,0.0,51807.0,611632.0,611632.0,0.0,0.0,0.0
2007-09-01,0.0,0.0,0.0,42259.0,509840.0,509840.0,0.0,0.0,0.0
2007-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
