measured_on,Natural Gas - Fuel Cell - Natural Gas - Generation,Natural Gas - Fuel Cell - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Fuel Cell - Natural Gas - Total Fuel Consumed,Other Biomass Gas - Fuel Cell - Other Renewables - Generation,Other Biomass Gas - Fuel Cell - Other Renewables - Quantity Consumed For Electricity,Other Biomass Gas - Fuel Cell - Other Renewables - Total Fuel Consumed
2021-06-01,39.02,453.0,453.0,624.561,7261.0,7261.0
2021-07-01,53.846,626.0,626.0,606.942,7056.0,7056.0
2021-08-01,49.163,572.0,572.0,603.052,7011.0,7011.0
2021-09-01,41.832,486.0,486.0,612.012,7115.0,7115.0
2021-10-01,39.879,464.0,464.0,599.559,6970.0,6970.0
2021-11-01,36.651,426.0,426.0,590.718,6868.0,6868.0
2021-12-01,37.828,440.0,440.0,591.937,6881.0,6881.0
2022-01-01,27.064,287.0,287.0,885.731,9402.0,9402.0
2022-02-01,22.469,239.0,239.0,784.395,8327.0,8327.0
2022-03-01,20.79,220.0,220.0,846.345,8984.0,8984.0
2022-04-01,21.296,226.0,226.0,658.682,6992.0,6992.0
2022-05-01,19.543,207.0,207.0,679.911,7217.0,7217.0
2022-06-01,26.579,282.0,282.0,755.107,8016.0,8016.0
2022-07-01,35.507,377.0,377.0,811.876,8618.0,8618.0
2022-08-01,42.844,455.0,455.0,854.072,9067.0,9067.0
2022-09-01,39.267,417.0,417.0,827.872,8788.0,8788.0
2022-10-01,36.061,383.0,383.0,833.361,8846.0,8846.0
2022-11-01,33.115,351.0,351.0,707.684,7513.0,7513.0
2022-12-01,36.603,388.0,388.0,806.826,8565.0,8565.0
2023-01-01,49.145,581.0,925.0,79.855,943.0,1504.0
2023-02-01,10.005,116.0,116.0,616.995,7133.0,7133.0
2023-03-01,0.0,0.0,0.0,931.0,10238.0,10238.0
2023-04-01,86.291,1021.0,1039.0,788.709,9329.0,9498.0
2023-05-01,0.0,0.0,0.0,922.0,10082.0,10082.0
2023-06-01,6.056,67.0,67.0,850.944,9417.0,9417.0
2023-07-01,17.396,194.0,194.0,878.604,9783.0,9783.0
2023-08-01,44.506,523.0,523.0,769.494,9047.0,9047.0
2023-09-01,46.488,545.0,545.0,834.512,9789.0,9789.0
2023-10-01,37.822,439.0,439.0,869.178,10084.0,10084.0
2023-11-01,2.412,28.0,28.0,705.588,8055.0,8055.0
2023-12-01,1.686,19.0,19.0,904.314,10343.0,10343.0
2024-01-01,13.54,158.0,158.0,886.46,10337.0,10337.0
2024-02-01,34.896,409.0,417.0,814.104,9532.0,9723.0
2024-03-01,24.185,283.0,284.0,891.815,10442.0,10460.0
2024-04-01,95.153,1115.0,1138.0,773.847,9065.0,9258.0
2024-05-01,51.097,589.0,589.0,637.903,7358.0,7358.0
2024-06-01,90.347,922.0,922.0,612.653,6250.0,6250.0
2024-07-01,115.822,1356.0,1515.0,636.178,7447.0,8320.0
2024-08-01,46.04,526.0,526.0,757.96,8660.0,8660.0
2024-09-01,89.557,844.0,844.0,661.443,6231.0,6231.0
2024-10-01,58.774,548.0,548.0,737.226,6874.0,6874.0
2024-11-01,61.922,569.0,569.0,665.078,6113.0,6113.0
2024-12-01,98.564,897.0,897.0,567.436,5163.0,5163.0
