measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed
2003-01-01,0.0,0.0,0.0,0.0,0.0,0.0,-46.0,0.0,0.0
2003-02-01,0.0,0.0,0.0,0.0,0.0,0.0,-66.0,0.0,0.0
2003-03-01,0.0,0.0,0.0,0.0,0.0,0.0,-54.0,0.0,0.0
2003-04-01,0.0,0.0,0.0,0.0,0.0,0.0,-37.0,0.0,0.0
2003-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-07-01,0.0,0.0,0.0,0.0,0.0,0.0,1355.0,28593.0,28593.0
2003-08-01,0.0,0.0,0.0,0.0,0.0,0.0,2915.0,59610.0,59610.0
2003-09-01,0.0,0.0,0.0,0.0,0.0,0.0,-27.0,0.0,0.0
2003-10-01,0.0,0.0,0.0,0.0,0.0,0.0,68.0,1521.0,1521.0
2003-11-01,0.0,0.0,0.0,0.0,0.0,0.0,72.0,1948.0,1948.0
2003-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-01-01,0.0,0.0,0.0,0.0,0.0,0.0,11.165,427.0,427.0
2004-02-01,0.0,0.0,0.0,0.0,0.0,0.0,14.972000000000001,573.0,573.0
