measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed",Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed,"Residual Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Residual Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Residual Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2003-01-01,364.0,3619.0,3619.0,,,,,,,8353.0,83551.0,83551.0
2003-02-01,285.0,2842.0,2842.0,,,,,,,6200.0,62206.0,62206.0
2003-03-01,334.0,3300.0,3300.0,,,,,,,10050.0,100025.0,100025.0
2003-04-01,27.0,423.0,423.0,,,,,,,654.0,10200.0,10200.0
2003-05-01,250.0,3173.0,3173.0,,,,,,,8044.0,80955.0,80955.0
2003-06-01,365.0,3167.0,3167.0,,,,,,,9273.0,94298.0,94298.0
2003-07-01,359.0,3613.0,3613.0,,,,,,,11488.0,116462.0,116462.0
2003-08-01,378.0,3248.0,3248.0,,,,,,,10262.0,103370.0,103370.0
2003-09-01,399.0,3434.0,3434.0,,,,,,,11298.0,113898.0,113898.0
2003-10-01,,,,,,,,,,11112.0,109878.0,109878.0
2003-11-01,266.0,2633.0,2633.0,,,,,,,7744.0,77011.0,77011.0
2003-12-01,251.0,2552.0,2552.0,,,,,,,5457.0,55868.0,55868.0
2004-01-01,13.468,138.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,5182.167,53117.0,53117.0
2004-02-01,7.644,78.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,5182.167,53117.0,53117.0
2004-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5182.167,53117.0,53117.0
2004-04-01,15.652000000000001,160.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,5182.167,53117.0,53117.0
2004-05-01,60.789,622.0,622.0,0.0,0.0,0.0,0.0,0.0,0.0,5182.167,53117.0,53117.0
2004-06-01,950.058,9717.0,9717.0,0.0,0.0,0.0,0.0,0.0,0.0,5182.167,53117.0,53117.0
2004-07-01,1387.594,14192.0,14192.0,0.0,0.0,0.0,0.0,0.0,0.0,5182.167,53117.0,53117.0
2004-08-01,15.288,156.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,5182.167,53117.0,53117.0
2004-09-01,95.73400000000001,979.0,979.0,0.0,0.0,0.0,0.0,0.0,0.0,5182.167,53117.0,53117.0
2004-10-01,14.56,149.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,5182.167,53117.0,53117.0
2004-11-01,20.748,212.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0,5182.167,53117.0,53117.0
2004-12-01,9.464,97.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,5182.167,53117.0,53117.0
2005-01-01,249.477,2521.14,2521.14,,,,,,,4439.86,44974.79,44974.79
