measured_on,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Total Fuel Consumed,Kerosene - Combined Cycle Combustion Turbine Part - Waste Oil - Generation,Kerosene - Combined Cycle Combustion Turbine Part - Waste Oil - Quantity Consumed For Electricity,Kerosene - Combined Cycle Combustion Turbine Part - Waste Oil - Total Fuel Consumed,Kerosene - Combined Cycle Steam Part - Waste Oil - Generation,Kerosene - Combined Cycle Steam Part - Waste Oil - Quantity Consumed For Electricity,Kerosene - Combined Cycle Steam Part - Waste Oil - Total Fuel Consumed,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed
2003-01-01,0.0,0.0,0.0,,,,,,,612.0,4706.0,4706.0,216.0,0.0,0.0
2003-02-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2003-03-01,691.0,7254.0,7254.0,,,,,,,1448.0,15188.0,15188.0,733.0,-2153.0,177.0
2003-04-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2003-06-01,0.0,0.0,0.0,,,,,,,1532.0,16101.0,16101.0,626.0,0.0,0.0
2003-07-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2003-08-01,0.0,0.0,0.0,,,,,,,5365.0,62617.0,62617.0,2189.0,0.0,0.0
2003-09-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2003-10-01,0.0,0.0,0.0,,,,,,,528.0,3190.0,3190.0,185.0,0.0,0.0
2003-11-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2003-12-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-01,,,,70.2,990.11,990.11,27.0272,0.0,0.0,109.661,1546.68,1546.68,42.8588,23.41,23.41
2004-02-01,,,,70.20016,990.11,990.11,25.13156,0.0,0.0,113.83984,1605.61,1605.61,41.31944,22.26,22.26
2004-03-01,,,,70.19969,990.11,990.11,26.66218,0.0,0.0,108.45931,1529.73,1529.73,41.81082,22.93,22.93
2004-04-01,,,,70.19981,990.11,990.11,25.22259,0.0,0.0,102.63419,1447.57,1447.57,37.41041,20.97,20.97
2004-05-01,,,,70.19995999999999,990.11,990.11,32.716139999999996,0.0,0.0,141.96004,2002.23,2002.23,67.26586,33.49,33.49
2004-06-01,,,,70.19991,990.11,990.11,30.3658,0.0,0.0,117.39609,1655.78,1655.78,51.623200000000004,27.46,27.46
2004-07-01,,,,70.19979,990.11,990.11,30.67157,0.0,0.0,111.27121,1569.39,1569.39,49.44743,26.83,26.83
2004-08-01,,,,70.19979,990.11,990.11,31.59717,0.0,0.0,120.21921,1695.6,1695.6,55.036829999999995,29.01,29.01
2004-09-01,,,,70.20004999999999,990.11,990.11,35.48905,0.0,0.0,140.22095,1977.7,1977.7,72.17994999999999,36.06,36.06
2004-10-01,,,,70.1996,990.11,990.11,22.39619,0.0,0.0,88.5954,1249.57,1249.57,28.651809999999998,17.1,17.1
2004-11-01,,,,70.19988,990.11,990.11,26.233259999999998,0.0,0.0,117.75112,1660.78,1660.78,44.63174,23.74,23.74
2004-12-01,,,,70.19984,990.11,990.11,24.45197,0.0,0.0,123.38616,1740.26,1740.26,43.54003,22.77,22.77
2005-01-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,1711.1560000000002,20458.4,20458.4,657.214,347.24,347.24
2005-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,1516.985,18136.9,18136.9,582.6370000000001,307.84,307.84
2005-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,1810.255,21643.21,21643.21,695.275,367.34,367.34
2005-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,1855.9560000000001,22189.6,22189.6,712.8280000000001,376.62,376.62
2005-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,1505.624,18001.07,18001.07,578.274,305.53,305.53
2005-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,2561.512,30625.14,30625.14,983.815,519.79,519.79
2005-07-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,3300.868,39464.81,39464.81,1267.784,669.83,669.83
2005-08-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,3529.1220000000003,42193.78,42193.78,1355.451,716.15,716.15
2005-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,2334.547,27911.58,27911.58,896.643,473.74,473.74
2005-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,1614.461,19302.31,19302.31,620.075,327.61,327.61
2005-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,1449.161,17326.0,17326.0,556.5880000000001,294.08,294.08
2005-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,1565.7230000000002,18719.61,18719.61,601.356,317.73,317.73
