measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,229077.0,2153232.0,2153232.0,5.0,122.0,122.0,784.0,7530.0,7530.0,391892.0,3768364.0,3768364.0
2003-02-01,192752.0,1816104.0,1816104.0,227.0,2204.0,2204.0,1127.0,10780.0,10780.0,303064.0,2959135.0,2959135.0
2003-03-01,192338.0,1828056.0,1828056.0,64.0,626.0,626.0,3110.0,30600.0,30600.0,240832.0,2372063.0,2372063.0
2003-04-01,143734.0,1352928.0,1352928.0,725.0,7975.0,7975.0,4055.0,37093.0,37093.0,242308.0,2376083.0,2376083.0
2003-05-01,151941.0,1488984.0,1488984.0,114.0,2082.0,2082.0,2104.0,32976.0,32976.0,62033.0,627896.0,627896.0
2003-06-01,190943.0,1838112.0,1838112.0,18.0,180.0,180.0,3780.0,37672.0,37672.0,285555.0,2848690.0,2848690.0
2003-07-01,197483.0,1920720.0,1920720.0,179.0,1792.0,1792.0,6071.0,61120.0,61120.0,393445.0,3965579.0,3965579.0
2003-08-01,202346.0,1992552.0,1992552.0,183.0,1856.0,1856.0,3685.0,37560.0,37560.0,399577.0,4077593.0,4077593.0
2003-09-01,169924.0,1743480.0,1743480.0,245.0,2593.0,2593.0,2538.0,26958.0,26958.0,193748.0,2060094.0,2060094.0
2003-10-01,106971.0,1097544.0,1097544.0,116.0,2100.0,2100.0,751.0,15642.0,15642.0,131057.0,1334214.0,1334214.0
2003-11-01,86097.0,867000.0,867000.0,402.0,4170.0,4170.0,2226.0,23205.0,23205.0,2768.0,28886.0,28886.0
2003-12-01,206977.0,1954848.0,1954848.0,123.0,1195.0,1195.0,1136.0,11108.0,11108.0,307231.0,3007059.0,3007059.0
2004-01-01,223417.0,2121096.0,2121096.0,0.0,0.0,0.0,1118.0,10985.0,10985.0,329772.0,3244481.0,3244481.0
2004-02-01,201750.0,1951200.0,1951200.0,142.0,1415.0,1415.0,124.0,1244.0,1244.0,389393.0,3902686.0,3902686.0
2004-03-01,171790.0,1628664.0,1628664.0,390.0,3805.0,3805.0,1227.0,12046.0,12046.0,311327.0,3058719.0,3058719.0
2004-04-01,208570.0,2019456.0,2019456.0,16.0,157.0,157.0,1413.0,14165.0,14165.0,271070.0,2719899.0,2719899.0
2004-05-01,195384.0,1893696.0,1893696.0,48.0,481.0,481.0,1026.0,10297.0,10297.0,394032.0,3957673.0,3957673.0
2004-06-01,164620.0,1608072.0,1608072.0,342.0,3439.0,3439.0,740.0,7479.0,7479.0,243611.0,2466078.0,2466078.0
2004-07-01,186857.0,1842864.0,1842864.0,176.0,1786.0,1786.0,733.0,7364.0,7364.0,397576.0,4063412.0,4063412.0
2004-08-01,160429.0,1582224.0,1582224.0,48.0,563.0,563.0,3239.0,38510.0,38510.0,341344.0,3488694.0,3488694.0
2004-09-01,184768.0,1854528.0,1854528.0,288.0,2981.0,2981.0,3706.0,38510.0,38510.0,150254.0,1562860.0,1562860.0
2004-10-01,178218.0,1758072.0,1758072.0,110.0,1177.0,1177.0,189.0,2040.0,2040.0,0.0,0.0,0.0
2004-11-01,182675.0,1736160.0,1736160.0,1021.0,9988.0,9988.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-12-01,207271.0,1946400.0,1946400.0,64.0,615.0,615.0,0.0,0.0,0.0,253166.0,2463697.0,2463697.0
2005-01-01,216297.0,2063832.0,2063832.0,0.0,0.0,0.0,0.0,0.0,0.0,285676.0,2746333.8,2746333.8
2005-02-01,171260.0,1624728.0,1624728.0,268.0,2621.6,2621.6,0.0,0.0,0.0,338165.0,3324604.5,3324604.5
2005-03-01,211052.0,2192261.1,2192261.1,0.0,0.0,0.0,0.0,0.0,0.0,98074.0,979401.58,979401.58
2005-04-01,133080.0,1337069.36,1337069.36,421.0,4100.6,4100.6,0.0,0.0,0.0,0.0,0.0,0.0
2005-05-01,71857.0,803173.4,803173.4,754.0,7928.6,7928.6,0.0,0.0,0.0,0.0,0.0,0.0
2005-06-01,145949.0,1532881.5,1532881.5,1136.0,12064.0,12064.0,0.0,0.0,0.0,140808.0,1416160.0,1416160.0
2005-07-01,183735.0,1961893.5,1961893.5,4.0,34.8,34.8,2613.0,26907.6,26907.6,213403.0,2198681.1,2198681.1
2005-08-01,183268.0,2053413.0,2053413.0,82.0,846.8,846.8,1627.0,16976.88,16976.88,254644.0,2669738.4,2669738.4
2005-09-01,180559.0,1920685.5,1920685.5,0.0,0.0,0.0,2272.0,23547.72,23547.72,163353.0,1694819.7,1694819.7
2005-10-01,173852.0,1842145.5,1842145.5,286.0,2884.2,2884.2,822.0,8489.46,8489.46,81199.0,839172.6,839172.6
2005-11-01,185539.0,1926295.5,1926295.5,69.0,684.0,684.0,9.0,93.84,93.84,0.0,0.0,0.0
2005-12-01,195664.0,2052622.5,2052622.5,193.0,1932.3,1932.3,626.0,6402.54,6402.54,195367.0,2030707.2,2030707.2
2006-01-01,174526.0,1765926.0,1765926.0,334.0,3221.0,3221.0,402.0,3959.0,3959.0,0.0,0.0,0.0
2006-02-01,193605.0,1933410.0,1933410.0,146.0,1385.0,1385.0,37.0,360.0,360.0,0.0,0.0,0.0
2006-03-01,180677.0,1851071.0,1851071.0,249.0,2428.0,2428.0,335.0,3339.0,3339.0,0.0,0.0,0.0
2006-04-01,66663.0,682992.0,682992.0,315.0,3072.0,3072.0,209.0,2083.0,2083.0,0.0,0.0,0.0
2006-05-01,156426.0,1665635.0,1665635.0,504.0,5113.0,5113.0,1278.0,13258.0,13258.0,0.0,0.0,0.0
2006-06-01,168527.0,1790559.0,1790559.0,322.0,3260.0,3260.0,1662.0,17209.0,17209.0,5825.0,60360.0,60360.0
2006-07-01,195522.0,2087728.0,2087728.0,9.0,91.0,91.0,4913.0,51310.0,51310.0,99581.0,1041163.0,1041163.0
2006-08-01,212043.0,2187050.0,2187050.0,4.0,40.0,40.0,2641.0,27068.0,27068.0,141690.0,1453895.0,1453895.0
2006-09-01,95592.0,980000.0,980000.0,354.0,3523.0,3523.0,377.0,3838.0,3838.0,0.0,0.0,0.0
2006-10-01,119088.0,1148450.0,1148450.0,529.0,4959.0,4959.0,550.0,5267.0,5267.0,0.0,0.0,0.0
