measured_on,"Agricultural By-Products - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Agricultural By-Products - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Agricultural By-Products - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed"
2003-01-01,,,,9.0,99.0,99.0,,,,,,
2003-03-01,,,,2.0,17.0,17.0,,,,,,
2003-04-01,,,,5.0,52.0,52.0,,,,,,
2003-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2003-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2003-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2003-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2003-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2004-01-01,4494.966,26692.31,118078.15,0.0,0.0,0.0,,,,,,
2004-02-01,3901.8480000000004,23170.21,102497.54,0.0,0.0,0.0,,,,,,
2004-03-01,4889.8,29036.93,128450.03,0.0,0.0,0.0,,,,,,
2004-04-01,5194.6990000000005,30847.5,136459.41,0.0,0.0,0.0,,,,,,
2004-05-01,6194.28,36783.28,162717.39,0.0,0.0,0.0,,,,,,
2004-06-01,4452.849,26442.2,116971.76,0.0,0.0,0.0,,,,,,
2004-07-01,3015.1020000000003,17904.48,79203.62,0.0,0.0,0.0,,,,,,
2004-08-01,3635.625,21589.31,95504.14,0.0,0.0,0.0,,,,,,
2004-09-01,2126.4,12627.13,55858.36,0.0,0.0,0.0,,,,,,
2004-10-01,1663.962,9881.05,43710.58,0.0,0.0,0.0,,,,,,
2004-11-01,3601.2830000000004,21385.37,94602.0,0.0,0.0,0.0,,,,,,
