measured_on,Jet Fuel-Combustion (Gas) Turbine (including jet engine design) Generation,Jet Fuel-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Jet Fuel-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Kerosene-Combustion (Gas) Turbine (including jet engine design) Generation,Kerosene-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Kerosene-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,,,,31.794,470.0,470.0
2003-02-01,,,,29.332,433.0,433.0
2003-03-01,,,,26.852,397.0,397.0
2003-04-01,,,,28.321,418.0,418.0
2003-05-01,,,,28.174000000000003,416.0,416.0
2003-06-01,,,,28.068,415.0,415.0
2003-07-01,,,,30.875,456.0,456.0
2003-08-01,,,,32.445,479.0,479.0
2003-09-01,,,,29.028000000000002,429.0,429.0
2003-10-01,,,,24.368000000000002,360.0,360.0
2003-11-01,,,,21.492,318.0,318.0
2003-12-01,,,,31.27,462.0,462.0
2004-01-01,,,,322.344,4409.0,4409.0
2004-02-01,,,,0.0,0.0,0.0
2004-03-01,,,,0.0,0.0,0.0
2004-04-01,,,,0.0,0.0,0.0
2004-05-01,,,,21.882,299.0,299.0
2004-06-01,,,,21.041,288.0,288.0
2004-07-01,,,,15.149000000000001,207.0,207.0
2004-08-01,,,,0.0,0.0,0.0
2004-09-01,,,,92.57900000000001,1266.0,1266.0
2004-10-01,,,,0.0,0.0,0.0
2004-11-01,,,,0.0,0.0,0.0
2004-12-01,,,,85.005,1163.0,1163.0
2005-01-01,,,,35.409,538.65,538.65
2005-02-01,,,,8.15,123.98,123.98
2005-03-01,,,,6.994000000000001,106.4,106.4
2005-04-01,,,,6.998,106.45,106.45
2005-05-01,,,,7.056,107.33,107.33
2005-06-01,,,,8.547,130.02,130.02
2005-07-01,,,,16.187,246.24,246.24
2005-08-01,,,,14.337000000000002,218.1,218.1
2005-09-01,,,,7.977,121.36,121.36
2005-10-01,,,,11.184000000000001,170.14,170.14
2005-11-01,,,,7.531000000000001,114.57,114.57
2005-12-01,,,,20.63,313.82,313.82
2006-01-01,,,,22.212,345.0,345.0
2006-02-01,,,,11.623000000000001,181.0,181.0
2006-03-01,,,,9.763,152.0,152.0
2006-04-01,,,,18.702,291.0,291.0
2006-05-01,,,,17.482,272.0,272.0
2006-06-01,,,,15.89,247.0,247.0
2006-07-01,,,,23.017,358.0,358.0
2006-08-01,,,,22.326,347.0,347.0
2006-09-01,,,,10.257,159.0,159.0
2006-10-01,,,,10.835,168.0,168.0
2006-11-01,,,,12.758000000000001,198.0,198.0
2006-12-01,,,,14.136000000000001,220.0,220.0
2007-01-01,0.0,0.0,0.0,105.543,1418.0,1418.0
2007-02-01,0.0,0.0,0.0,124.26700000000001,1673.0,1673.0
2007-03-01,0.0,0.0,0.0,115.975,1559.0,1559.0
2007-04-01,0.0,0.0,0.0,37.933,510.0,510.0
2007-05-01,0.0,0.0,0.0,38.412,516.0,516.0
2007-06-01,0.0,0.0,0.0,52.428000000000004,703.0,703.0
2007-07-01,0.0,0.0,0.0,52.767,709.0,709.0
2007-08-01,0.0,0.0,0.0,62.515,839.0,839.0
2007-09-01,0.0,0.0,0.0,43.908,590.0,590.0
2007-10-01,0.0,0.0,0.0,55.266000000000005,743.0,743.0
2007-11-01,0.0,0.0,0.0,10.262,136.0,136.0
2007-12-01,0.0,0.0,0.0,107.725,1446.0,1446.0
2008-01-01,0.0,0.0,0.0,20.359,301.0,301.0
2008-02-01,0.0,0.0,0.0,24.305,346.0,346.0
2008-03-01,0.0,0.0,0.0,54.231,777.0,777.0
2008-04-01,0.0,0.0,0.0,23.401,335.0,335.0
2008-05-01,0.0,0.0,0.0,21.063000000000002,301.0,301.0
2008-06-01,0.0,0.0,0.0,48.277,692.0,692.0
2008-07-01,0.0,0.0,0.0,40.2,573.0,573.0
2008-08-01,0.0,0.0,0.0,10.287,147.0,147.0
2008-09-01,0.0,0.0,0.0,7.109,102.0,102.0
2008-10-01,0.0,0.0,0.0,8.093,113.0,113.0
2008-11-01,0.0,0.0,0.0,7.222,102.0,102.0
2008-12-01,0.0,0.0,0.0,56.453,805.0,805.0
2009-01-01,0.0,0.0,0.0,302.507,4248.0,4248.0
2009-02-01,0.0,0.0,0.0,5.9990000000000006,83.0,83.0
2009-03-01,0.0,0.0,0.0,24.94,348.0,348.0
2009-04-01,0.0,0.0,0.0,22.266000000000002,313.0,313.0
2009-05-01,0.0,0.0,0.0,5.824,83.0,83.0
2009-06-01,0.0,0.0,0.0,13.836,195.0,195.0
2009-07-01,0.0,0.0,0.0,42.894000000000005,602.0,602.0
2009-08-01,0.0,0.0,0.0,106.56400000000001,1499.0,1499.0
2009-09-01,0.0,0.0,0.0,10.979000000000001,153.0,153.0
2009-10-01,0.0,0.0,0.0,6.586,94.0,94.0
2009-11-01,0.0,0.0,0.0,10.511000000000001,148.0,148.0
2009-12-01,0.0,0.0,0.0,35.094,496.0,496.0
2010-01-01,0.0,0.0,0.0,23.207,348.0,348.0
2010-02-01,0.0,0.0,0.0,21.271,313.0,313.0
2010-03-01,0.0,0.0,0.0,33.358000000000004,490.0,490.0
2010-04-01,0.0,0.0,0.0,18.266000000000002,271.0,271.0
2010-05-01,0.0,0.0,0.0,81.355,1198.0,1198.0
2010-06-01,0.0,0.0,0.0,72.13,1062.0,1062.0
2010-07-01,0.0,0.0,0.0,244.788,3605.0,3605.0
2010-08-01,0.0,0.0,0.0,163.464,2407.0,2407.0
2010-09-01,0.0,0.0,0.0,129.234,1906.0,1906.0
2010-10-01,0.0,0.0,0.0,5.631,83.0,83.0
2010-11-01,0.0,0.0,0.0,15.72,230.0,230.0
2010-12-01,0.0,0.0,0.0,52.576,773.0,773.0
2011-01-01,0.0,0.0,0.0,77.895,1094.0,1094.0
2011-02-01,0.0,0.0,0.0,14.767,210.0,210.0
2011-03-01,0.0,0.0,0.0,8.551,119.0,119.0
2011-04-01,0.0,0.0,0.0,3.484,51.0,51.0
2011-05-01,0.0,0.0,0.0,0.959,11.0,11.0
2011-06-01,0.0,0.0,0.0,30.337,425.0,425.0
2011-07-01,0.0,0.0,0.0,51.175,720.0,720.0
2011-08-01,0.0,0.0,0.0,30.934,437.0,437.0
2011-09-01,0.0,0.0,0.0,17.166,244.0,244.0
2011-10-01,0.0,0.0,0.0,2.611,34.0,34.0
2011-11-01,0.0,0.0,0.0,9.953,142.0,142.0
2011-12-01,0.0,0.0,0.0,6.168,85.0,85.0
2012-01-01,0.0,0.0,0.0,4.166,51.0,51.0
2012-02-01,0.0,0.0,0.0,3.898,57.0,57.0
2012-03-01,0.0,0.0,0.0,8.967,136.0,136.0
2012-04-01,0.0,0.0,0.0,4.121,62.0,62.0
2012-05-01,0.0,0.0,0.0,10.877,164.0,164.0
2012-06-01,0.0,0.0,0.0,45.59,680.0,680.0
2012-07-01,0.0,0.0,0.0,36.599,544.0,544.0
2012-08-01,0.0,0.0,0.0,18.15,272.0,272.0
2012-09-01,0.0,0.0,0.0,3.36,51.0,51.0
2012-10-01,0.0,0.0,0.0,11.624,176.0,176.0
2012-11-01,0.0,0.0,0.0,6.748,102.0,102.0
2012-12-01,0.0,0.0,0.0,5.9,85.0,85.0
2013-01-01,0.0,0.0,0.0,75.218,1072.0,1072.0
2013-02-01,0.0,0.0,0.0,53.775,771.0,771.0
2013-03-01,0.0,0.0,0.0,2.293,34.0,34.0
2013-04-01,0.0,0.0,0.0,1.095,17.0,17.0
2013-05-01,0.0,0.0,0.0,1.015,17.0,17.0
2013-06-01,0.0,0.0,0.0,4.216,62.0,62.0
2013-07-01,0.0,0.0,0.0,31.162,448.0,448.0
