measured_on,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Generation","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Total Fuel Consumed","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed"
2015-08-01,0.0,0.0,0.0,,,,,,
2015-09-01,0.0,0.0,0.0,,,,,,
2015-10-01,0.0,0.0,0.0,,,,,,
2015-11-01,0.0,0.0,0.0,,,,,,
2015-12-01,0.0,0.0,0.0,,,,,,
2016-01-01,44.81,852.0,852.0,,,,,,
2016-02-01,39.123,798.0,798.0,,,,,,
2016-03-01,35.616,732.0,732.0,,,,,,
2016-04-01,7.794,156.0,156.0,,,,,,
2016-05-01,41.553,858.0,858.0,,,,,,
2016-06-01,23.038,450.0,450.0,,,,,,
2016-07-01,33.502,702.0,702.0,,,,,,
2016-08-01,60.681,1338.0,1338.0,,,,,,
2016-09-01,30.729,606.0,606.0,,,,,,
2016-10-01,76.945,1494.0,1494.0,,,,,,
2016-11-01,50.375,936.0,936.0,,,,,,
2016-12-01,39.01,786.0,786.0,,,,,,
2017-01-01,98.133,1758.0,1758.0,,,,,,
2017-02-01,46.371,1062.0,1062.0,,,,,,
2017-03-01,55.402,1236.0,1236.0,,,,,,
2017-04-01,88.649,1344.0,1344.0,,,,,,
2017-05-01,61.772,1080.0,1080.0,,,,,,
2017-06-01,68.514,1218.0,1218.0,,,,,,
2017-07-01,50.198,810.0,810.0,,,,,,
2017-08-01,146.502,2496.0,2496.0,,,,,,
2017-09-01,112.104,1884.0,1884.0,,,,,,
2017-10-01,94.4,1788.0,1788.0,,,,,,
2017-11-01,90.895,1398.0,1398.0,,,,,,
2017-12-01,57.476,972.0,972.0,,,,,,
2018-01-01,60.144,1056.0,1056.0,,,,,,
2018-02-01,123.199,1974.0,1974.0,,,,,,
2018-03-01,115.265,1908.0,1908.0,,,,,,
2018-04-01,190.767,3462.0,3462.0,,,,,,
2018-05-01,108.599,1854.0,1854.0,,,,,,
2018-06-01,84.557,1410.0,1410.0,,,,,,
2018-07-01,122.297,2136.0,2136.0,,,,,,
2018-08-01,100.956,1728.0,1728.0,,,,,,
2018-09-01,108.123,1890.0,1890.0,,,,,,
2018-10-01,102.783,1776.0,1776.0,,,,,,
2018-11-01,131.155,2190.0,2190.0,,,,,,
2018-12-01,93.898,1554.0,1554.0,,,,,,
2019-01-01,123.471,2520.0,2520.0,,,,,,
2019-02-01,176.499,4008.0,4008.0,,,,,,
2019-03-01,0.0,354.0,354.0,,,,,,
2019-04-01,0.0,0.0,0.0,,,,,,
2019-05-01,0.0,0.0,0.0,,,,,,
2019-06-01,0.0,0.0,0.0,,,,,,
2019-07-01,0.0,0.0,0.0,,,,,,
