measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Waste/Other Oil Generation,Waste/Other Oil Quantity Consumed For Electricity,Waste/Other Oil Total Fuel Consumed
2001-01-01,36.713,247.0,247.0,263.729,2614.0,6293.0,,,
2001-02-01,33.19,223.0,223.0,238.423,2363.0,5689.0,,,
2001-03-01,32.534,218.0,218.0,233.71,2317.0,5576.0,,,
2001-04-01,39.706,267.0,267.0,285.228,2827.0,6806.0,,,
2001-05-01,38.02,255.0,255.0,273.12100000000004,2707.0,6517.0,,,
2001-06-01,49.595,333.0,333.0,356.27,3531.0,8501.0,,,
2001-07-01,61.494,413.0,413.0,441.747,4379.0,10540.0,,,
2001-08-01,63.854000000000006,429.0,429.0,458.701,4547.0,10945.0,,,
2001-09-01,42.692,287.0,287.0,306.68100000000004,3040.0,7318.0,,,
2001-10-01,40.874,275.0,275.0,293.619,2910.0,7006.0,,,
2001-11-01,32.244,217.0,217.0,231.62900000000002,2296.0,5527.0,,,
2001-12-01,30.846,207.0,207.0,221.58200000000002,2196.0,5287.0,,,
2002-01-01,16.487000000000002,104.0,104.0,660.811,11594.0,11594.0,,,
2002-02-01,11.876000000000001,75.0,75.0,476.025,8352.0,8352.0,,,
2002-03-01,12.747,81.0,81.0,510.92600000000004,8964.0,8964.0,,,
2002-04-01,29.061,184.0,184.0,1164.808,20437.0,20437.0,,,
2002-05-01,25.585,162.0,162.0,1025.499,17993.0,17993.0,,,
2002-06-01,41.786,265.0,265.0,1674.842,29386.0,29386.0,,,
2002-07-01,53.661,340.0,340.0,2150.806,37737.0,37737.0,,,
2002-08-01,51.266000000000005,325.0,325.0,2054.8140000000003,36053.0,36053.0,,,
2002-09-01,40.901,259.0,259.0,1639.37,28763.0,28763.0,,,
2002-10-01,36.172000000000004,229.0,229.0,1449.807,25437.0,25437.0,,,
2002-11-01,23.82,151.0,151.0,954.7320000000001,16751.0,16751.0,,,
2002-12-01,25.637,162.0,162.0,1027.56,18029.0,18029.0,,,
2003-01-01,,,,83.184,1474.0,1474.0,,,
2003-02-01,,,,69.555,1233.0,1233.0,,,
2003-03-01,,,,71.533,1268.0,1268.0,,,
2003-04-01,,,,73.223,1298.0,1298.0,,,
2003-05-01,,,,79.797,1414.0,1414.0,,,
2003-06-01,,,,82.571,1464.0,1464.0,,,
2003-07-01,,,,91.863,1628.0,1628.0,,,
2003-08-01,,,,95.843,1699.0,1699.0,,,
2003-09-01,,,,81.56400000000001,1446.0,1446.0,,,
