measured_on,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Other Gases-Combustion (Gas) Turbine (including jet engine design) Generation,Other Gases-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Other Gases-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Petroleum Coke-Other Generation,Petroleum Coke-Other Quantity Consumed For Electricity,Petroleum Coke-Other Total Fuel Consumed
2003-01-01,10885.0,213683.0,319164.0,,,,15868.0,311480.0,465239.0
2003-02-01,9515.0,192071.0,287544.0,,,,13750.0,277553.0,415515.0
2003-03-01,9248.0,193977.0,292567.0,,,,14563.0,305464.0,460719.0
2003-04-01,9902.0,168172.0,275127.0,,,,12637.0,214641.0,351150.0
2003-05-01,9127.0,187679.0,286878.0,,,,14308.0,294241.0,449763.0
2003-06-01,8546.0,175166.0,270809.0,,,,13727.0,281378.0,435013.0
2003-07-01,9004.0,122560.0,288496.0,,,,14114.0,365378.0,452203.0
2003-08-01,8837.0,121126.0,285906.0,,,,14186.0,292255.0,379080.0
2003-09-01,8992.0,123055.0,284004.0,,,,13998.0,284376.0,368400.0
2003-10-01,7508.0,78537.0,239397.0,,,,11967.0,294775.0,381600.0
2003-12-01,14907.0,157341.0,329150.0,,,,13530.0,211903.0,298728.0
2004-01-01,27300.84,198212.25,328181.36,,,,,,
2004-02-01,25853.38,187703.26,311388.48,,,,,,
2004-03-01,25817.12,187440.0,313738.0,,,,,,
2004-04-01,24410.82,177229.84,302749.96,,,,,,
2004-05-01,17789.94,129160.28,167461.52,,,,,,
2004-06-01,23398.48,169879.95,224739.82,,,,,,
2004-07-01,23889.46,173444.61,244258.38,,,,,,
2004-08-01,23667.0,171829.49,229401.6,,,,,,
2004-09-01,23304.4,169196.9,224671.32,,,,,,
2004-10-01,23814.98,172903.87,252963.81,,,,,,
2004-11-01,24596.04,178574.59,260435.0,,,,,,
2004-12-01,26772.62,194377.22,271159.0,,,,,,
2005-01-01,26313.98,191047.35,286844.87,,,,,,
2005-02-01,23446.5,170228.59,237826.2,,,,,,
2005-03-01,23922.78,173686.53,241453.08,,,,,,
2005-04-01,23493.54,170570.12,252150.27,,,,,,
2005-05-01,15197.84,110340.86,163433.4,,,,,,
2005-06-01,22470.42,163141.96,294969.26,,,,,,
2005-07-01,23182.88,168314.63,304141.7,,,,,,
2005-08-01,20842.64,151323.79,257246.89,,,,,,
2005-09-01,23034.9,167240.25,280966.39,,,,,,
2005-10-01,25081.14,182096.57,301637.01,,,,,,
2005-11-01,24651.9,178980.16,326912.39,,,,,,
2005-12-01,26530.56,192619.79,345190.42,,,,,,
2006-01-01,25861.22,187760.18,343557.58,,,,,,
2006-02-01,23522.94,170783.57,315210.98,,,,,,
2006-03-01,24276.56,176255.07,344659.89,,,,,,
2006-04-01,22251.88,161555.29,344398.45,,,,,,
2006-05-01,22410.64,162707.94,369921.37,,,,,,
2006-06-01,17309.74,125673.88,244362.85,,,,,,
2006-07-01,23433.76,170136.09,321732.67,,,,,,
2006-08-01,23164.26,168179.44,337570.03,,,,,,
2006-09-01,22834.98,165788.77,316525.41,,,,,,
2006-10-01,21484.54,155984.18,299968.15,,,,,,
2006-11-01,16799.16,121966.92,240974.84,,,,,,
2006-12-01,26873.56,195110.07,240935.41,,,,,,
2007-01-01,27970.18,203072.0,339148.0,,,,,,
2007-02-01,24207.96,175757.0,342890.0,,,,,,
2007-03-01,24250.1,176063.0,262913.0,,,,,,
2007-04-01,1646.4,11954.0,19573.0,,,,,,
2007-05-01,25584.86,185753.0,334874.0,,,,,,
2007-06-01,17903.62,129985.0,249515.0,,,,,,
2007-07-01,24751.86,179706.0,349832.0,,,,,,
2007-08-01,24380.44,177009.0,356435.0,,,,,,
2007-09-01,23823.8,172968.0,322953.0,,,,,,
2007-10-01,25278.12,183527.0,353374.0,,,,,,
2007-11-01,23133.88,167958.0,325275.0,,,,,,
2007-12-01,27312.6,198297.0,359960.0,,,,,,
2008-01-01,18124.366,130523.0,284608.0,4233.812,30490.0,66484.0,,,
2008-02-01,15315.771,110297.0,240506.0,3895.869,28056.0,61178.0,,,
2008-03-01,17573.621,126556.0,275961.0,4060.6290000000004,29243.0,63764.0,,,
2008-04-01,17088.548000000003,123063.0,268344.0,4068.0660000000003,29296.0,63882.0,,,
2008-05-01,20783.621,149673.0,326367.0,4326.921,31160.0,67946.0,,,
2008-06-01,25245.557,181806.0,396434.0,4641.27,33424.0,72882.0,,,
2008-07-01,27392.347,197266.0,430145.0,4749.865,34206.0,74588.0,,,
2008-08-01,26981.939,194311.0,423701.0,4846.416,34901.0,76104.0,,,
2008-09-01,18186.119,130967.0,285579.0,2724.36,19619.0,42781.0,,,
2008-10-01,17411.709000000003,125390.0,273418.0,3588.666,25844.0,56353.0,,,
2008-11-01,13383.58,96382.0,210164.0,3584.481,25814.0,56288.0,,,
2008-12-01,14833.300000000001,106822.0,232929.0,3907.1670000000004,28137.0,61355.0,,,
2009-01-01,14020.364,100968.0,211453.0,3533.199,25444.0,53288.0,,,
