measured_on,Solar Generation,Solar Quantity Consumed For Electricity,Solar Total Fuel Consumed
2017-08-01,1479.097,13627.0,13627.0
2017-09-01,1420.397,13086.0,13086.0
2017-10-01,1236.849,11395.0,11395.0
2017-11-01,1092.475,10065.0,10065.0
2017-12-01,893.182,8229.0,8229.0
2018-01-01,1229.327,11192.0,11192.0
2018-02-01,1185.944,10797.0,10797.0
2018-03-01,1754.646,15974.0,15974.0
2018-04-01,1903.033,17325.0,17325.0
2018-05-01,1681.83,15311.0,15311.0
2018-06-01,1854.557,16884.0,16884.0
2018-07-01,1786.943,16268.0,16268.0
2018-08-01,1822.047,16588.0,16588.0
2018-09-01,1490.333,13568.0,13568.0
2018-10-01,1571.823,14310.0,14310.0
2018-11-01,1143.652,10412.0,10412.0
2018-12-01,1029.865,9376.0,9376.0
2019-01-01,1086.731,9677.0,9677.0
2019-02-01,1069.97,9528.0,9528.0
2019-03-01,1661.566,14796.0,14796.0
2019-04-01,1745.681,15545.0,15545.0
2019-05-01,1882.749,16766.0,16766.0
2019-06-01,1671.83,14888.0,14888.0
2019-07-01,1780.248,15853.0,15853.0
2019-08-01,1620.795,14433.0,14433.0
2019-09-01,1659.739,14780.0,14780.0
2019-10-01,1357.166,12086.0,12086.0
2019-11-01,1214.371,10814.0,10814.0
2019-12-01,1026.154,9138.0,9138.0
2020-01-01,1108.26,9716.0,9716.0
2020-02-01,1168.311,10243.0,10243.0
2020-03-01,1492.528,13085.0,13085.0
2020-04-01,1903.567,16689.0,16689.0
2020-05-01,2106.88,18471.0,18471.0
2020-06-01,1846.321,16187.0,16187.0
2020-07-01,2097.481,18389.0,18389.0
2020-08-01,1759.912,15429.0,15429.0
2020-09-01,1489.931,13062.0,13062.0
2020-10-01,1474.465,12927.0,12927.0
2020-11-01,1168.15,10241.0,10241.0
2020-12-01,1104.194,9680.0,9680.0
2021-01-01,826.585,7310.0,7310.0
2021-02-01,836.607,7399.0,7399.0
2021-03-01,1330.917,11771.0,11771.0
2021-04-01,1823.888,16130.0,16130.0
2021-05-01,1913.856,16926.0,16926.0
2021-06-01,1617.173,14302.0,14302.0
2021-07-01,1678.701,14846.0,14846.0
2021-08-01,1534.173,13568.0,13568.0
2021-09-01,1506.472,13323.0,13323.0
2021-10-01,1247.724,11035.0,11035.0
2021-11-01,1178.903,10426.0,10426.0
2021-12-01,810.001,7164.0,7164.0
2022-01-01,1117.449,3813.0,3813.0
2022-02-01,1251.803,4271.0,4271.0
2022-03-01,1541.046,5258.0,5258.0
2022-04-01,1938.291,6613.0,6613.0
2022-05-01,2053.84,7008.0,7008.0
2022-06-01,2095.858,7151.0,7151.0
2022-07-01,1853.125,6323.0,6323.0
2022-08-01,1573.912,5370.0,5370.0
2022-09-01,1546.612,5277.0,5277.0
2022-10-01,1426.836,4868.0,4868.0
2022-11-01,949.224,3239.0,3239.0
2022-12-01,782.004,2668.0,2668.0
2023-01-01,976.0,3330.0,3330.0
2023-02-01,1107.0,3777.0,3777.0
2023-03-01,1610.0,5493.0,5493.0
2023-04-01,1819.0,6206.0,6206.0
2023-05-01,1708.0,5828.0,5828.0
2023-06-01,1838.0,6271.0,6271.0
2023-07-01,1761.0,6009.0,6009.0
2023-08-01,1673.0,5708.0,5708.0
2023-09-01,1482.0,5057.0,5057.0
2023-10-01,1470.0,5016.0,5016.0
2023-11-01,1098.0,3746.0,3746.0
2023-12-01,910.0,3105.0,3105.0
2024-01-01,1051.0,3586.0,3586.0
2024-02-01,1151.0,3927.0,3927.0
2024-03-01,1484.0,5063.0,5063.0
2024-04-01,893.0,3047.0,3047.0
2024-05-01,951.0,3245.0,3245.0
2024-06-01,0.0,0.0,0.0
2024-07-01,198.0,676.0,676.0
2024-08-01,1540.0,5254.0,5254.0
2024-09-01,1126.0,3842.0,3842.0
2024-10-01,1500.0,5118.0,5118.0
2024-11-01,882.0,3009.0,3009.0
2024-12-01,863.0,2945.0,2945.0
