measured_on,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Other Gases - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Generation","Other Gases - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Quantity Consumed For Electricity","Other Gases - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Total Fuel Consumed"
2003-01-01,,,,11127.0,46410.0,421209.0
2004-01-01,,,,10853.168,53487.87,177971.74
2004-02-01,,,,10853.168,53487.87,177971.74
2004-03-01,,,,10853.168,53487.87,177971.74
2004-04-01,,,,10853.168,53487.87,177971.74
2004-05-01,,,,10853.168,53487.87,177971.74
2004-06-01,,,,10853.168,53487.87,177971.74
2004-07-01,,,,10853.168,53487.87,177971.74
2004-08-01,,,,10853.168,53487.87,177971.74
2004-09-01,,,,10853.168,53487.87,177971.74
2004-10-01,,,,10853.168,53487.87,177971.74
2004-11-01,,,,10853.168,53487.87,177971.74
2004-12-01,,,,10853.168,53487.87,177971.74
2005-01-01,,,,9393.756000000001,46295.42,293387.79
2005-02-01,,,,7578.765,37350.57,236701.6
2005-03-01,,,,9018.58,44446.44,281670.2
2005-04-01,,,,9514.171,46888.87,297148.61
2005-05-01,,,,10333.441,50926.49,322736.23
2005-06-01,,,,9753.504,48068.38,304623.52
2005-07-01,,,,9940.108,48988.02,310451.56
2005-08-01,,,,9459.713,46620.48,295447.78
2005-09-01,,,,8336.12,41083.06,260355.48
2005-10-01,,,,5928.935,29219.68,185173.76
2005-11-01,,,,6099.133000000001,30058.47,190489.42
2005-12-01,,,,8065.175,39747.76,251893.28
2006-01-01,,,,56.717000000000006,279.52,219982.99
2006-02-01,,,,54.531000000000006,268.74,211505.53
2006-03-01,,,,59.857,294.99,232161.89
2006-04-01,,,,57.0,280.91,221082.41
2006-05-01,,,,62.82,309.6,243656.96
2006-06-01,,,,57.275,282.27,222148.07
2006-07-01,,,,57.668,284.21,223674.41
2006-08-01,,,,62.853,309.76,243783.14
2006-09-01,,,,54.032000000000004,266.29,209570.07
2006-10-01,,,,58.77,289.63,227947.02
2006-11-01,,,,56.667,279.28,219790.76
2006-12-01,,,,54.391000000000005,268.06,210963.81
2007-01-01,,,,1349.27,562884.0,562884.0
2007-02-01,,,,8272.16,433392.0,433392.0
2007-03-01,,,,11575.01,534106.0,534106.0
2007-04-01,,,,9102.48,567034.0,567034.0
2007-05-01,,,,11253.94,498418.0,498418.0
2007-06-01,,,,11961.07,395068.0,395068.0
2007-07-01,,,,9552.56,367230.0,367230.0
2007-08-01,,,,10804.83,390325.0,390325.0
2007-09-01,,,,12771.99,385124.0,385124.0
2007-10-01,,,,12768.11,383038.0,383038.0
2007-11-01,,,,12129.85,348441.0,348441.0
2007-12-01,,,,13168.72,411195.0,411195.0
2008-01-01,,,,12402.42,61123.0,472325.0
2008-02-01,,,,13478.15,66425.0,530021.0
2008-03-01,,,,13235.65,65230.0,564428.0
2008-04-01,,,,11561.43,56978.0,477247.0
2008-05-01,,,,12867.050000000001,63413.0,471171.0
2008-06-01,,,,9259.62,45634.0,424347.0
2008-07-01,,,,10603.07,52255.0,429394.0
2008-08-01,,,,10402.28,51266.0,429712.0
2008-09-01,,,,10291.7,50721.0,282272.0
2008-10-01,,,,7144.05,35208.0,248133.0
2008-11-01,,,,8785.29,43297.0,297856.0
2008-12-01,,,,10735.960000000001,52910.0,326623.0
2009-01-01,,,,11266.55,55525.0,325866.0
2009-02-01,,,,9739.77,48001.0,308008.0
