measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Wind Generation,Wind Quantity Consumed For Electricity,Wind Total Fuel Consumed
2019-01-01,195.676,2045.0,2045.0,88.001,784.0,784.0
2019-02-01,217.498,2283.0,2283.0,80.569,717.0,717.0
2019-03-01,215.544,2260.0,2260.0,90.332,804.0,804.0
2019-04-01,198.082,2080.0,2080.0,100.85,898.0,898.0
2019-05-01,215.578,2260.0,2260.0,88.974,792.0,792.0
2019-06-01,185.236,1946.0,1946.0,76.446,681.0,681.0
2019-07-01,210.989,2214.0,2214.0,75.188,670.0,670.0
2019-08-01,233.607,2452.0,2452.0,67.851,604.0,604.0
2019-09-01,277.39,2913.0,2913.0,83.386,743.0,743.0
2019-10-01,291.533,3058.0,3058.0,94.634,843.0,843.0
2019-11-01,221.449,2324.0,2324.0,86.06,766.0,766.0
2019-12-01,295.418,3099.0,3099.0,89.709,799.0,799.0
2020-01-01,,,,30.317,266.0,266.0
2020-02-01,,,,31.076,272.0,272.0
2020-03-01,,,,31.133,273.0,273.0
2020-04-01,,,,30.983,272.0,272.0
2020-05-01,,,,29.431,258.0,258.0
2020-06-01,,,,31.203,274.0,274.0
2020-07-01,,,,23.001,202.0,202.0
2020-08-01,,,,23.325,204.0,204.0
2020-09-01,,,,23.559,207.0,207.0
2020-10-01,,,,28.982,254.0,254.0
2020-11-01,,,,33.296,292.0,292.0
2020-12-01,,,,30.694,269.0,269.0
2021-01-01,208.841,2724.0,2724.0,11.609,103.0,103.0
2021-02-01,231.25,3005.0,3005.0,8.836,78.0,78.0
2021-03-01,250.099,3250.0,3250.0,11.011,97.0,97.0
2021-04-01,240.409,3128.0,3128.0,8.745,77.0,77.0
2021-05-01,124.504,1619.0,1619.0,10.329,91.0,91.0
2021-06-01,167.13,2175.0,2175.0,10.673,94.0,94.0
2021-07-01,163.329,2122.0,2122.0,12.572,111.0,111.0
2021-08-01,235.54,3063.0,3063.0,12.738,113.0,113.0
2021-09-01,305.071,3969.0,3969.0,13.051,115.0,115.0
2021-10-01,303.095,3940.0,3940.0,13.182,117.0,117.0
2021-11-01,236.655,3075.0,3075.0,7.49,66.0,66.0
2021-12-01,263.077,3420.0,3420.0,13.764,122.0,122.0
2022-01-01,287.609,3081.0,3081.0,22.888,78.0,78.0
2022-02-01,237.189,2537.0,2537.0,38.046,130.0,130.0
2022-03-01,274.673,2935.0,2935.0,45.711,156.0,156.0
2022-04-01,244.189,2607.0,2607.0,86.877,296.0,296.0
2022-05-01,228.839,2444.0,2444.0,63.379,216.0,216.0
2022-06-01,278.695,2976.0,2976.0,66.157,226.0,226.0
2022-07-01,253.837,2713.0,2713.0,99.288,339.0,339.0
2022-08-01,170.718,1824.0,1824.0,61.004,208.0,208.0
2022-09-01,199.987,2140.0,2140.0,52.544,179.0,179.0
2022-10-01,224.387,2397.0,2397.0,43.554,149.0,149.0
2022-11-01,213.033,2274.0,2274.0,75.709,258.0,258.0
2022-12-01,289.844,3098.0,3098.0,51.843,177.0,177.0
2023-01-01,318.595,3373.0,3373.0,51.0,174.0,174.0
2023-02-01,247.335,2613.0,2613.0,48.0,164.0,164.0
2023-03-01,233.415,2467.0,2467.0,69.0,235.0,235.0
2023-04-01,275.922,2911.0,2911.0,80.0,273.0,273.0
2023-05-01,272.646,2876.0,2876.0,-2.0,0.0,0.0
2023-06-01,234.756,2479.0,2479.0,-2.0,0.0,0.0
2023-07-01,222.292,2344.0,2344.0,-2.0,0.0,0.0
2023-08-01,231.377,2444.0,2444.0,-2.0,0.0,0.0
2023-09-01,200.675,2116.0,2116.0,-2.0,0.0,0.0
2023-10-01,227.635,2403.0,2403.0,0.0,0.0,0.0
2023-11-01,287.075,3028.0,3028.0,-2.0,0.0,0.0
2023-12-01,315.277,3326.0,3326.0,-2.0,0.0,0.0
2024-01-01,317.488,3435.0,3435.0,0.0,0.0,0.0
2024-02-01,285.899,3094.0,3094.0,0.0,0.0,0.0
2024-03-01,344.581,3726.0,3726.0,0.0,0.0,0.0
2024-04-01,363.036,3925.0,3925.0,0.0,0.0,0.0
2024-05-01,212.818,2300.0,2300.0,0.0,0.0,0.0
2024-06-01,379.954,4111.0,4111.0,0.0,0.0,0.0
2024-07-01,222.883,2412.0,2412.0,0.0,0.0,0.0
2024-08-01,321.858,3478.0,3478.0,0.0,0.0,0.0
2024-09-01,213.754,2313.0,2313.0,0.0,0.0,0.0
2024-10-01,339.384,3670.0,3670.0,0.0,0.0,0.0
2024-11-01,332.004,3590.0,3590.0,0.0,0.0,0.0
2024-12-01,282.341,3050.0,3050.0,0.0,0.0,0.0
