measured_on,Jet Fuel - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Generation,Jet Fuel - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Quantity Consumed For Electricity,Jet Fuel - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Total Fuel Consumed,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Generation,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Quantity Consumed For Electricity,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Total Fuel Consumed
2003-01-01,,,,12.481,219.0,219.0
2003-02-01,,,,11.514000000000001,202.0,202.0
2003-03-01,,,,10.541,185.0,185.0
2003-04-01,,,,11.117,195.0,195.0
2003-05-01,,,,11.06,194.0,194.0
2003-06-01,,,,11.018,194.0,194.0
2003-07-01,,,,12.12,213.0,213.0
2003-08-01,,,,12.736,224.0,224.0
2003-09-01,,,,11.395,200.0,200.0
2003-10-01,,,,9.566,168.0,168.0
2003-11-01,,,,8.437000000000001,148.0,148.0
2003-12-01,,,,12.275,216.0,216.0
2004-01-01,,,,164.06,2295.0,2295.0
2004-02-01,,,,0.0,0.0,0.0
2004-03-01,,,,0.0,0.0,0.0
2004-04-01,,,,0.0,0.0,0.0
2004-05-01,,,,11.137,156.0,156.0
2004-06-01,,,,10.709,150.0,150.0
2004-07-01,,,,7.71,108.0,108.0
2004-08-01,,,,0.0,0.0,0.0
2004-09-01,,,,47.119,659.0,659.0
2004-10-01,,,,0.0,0.0,0.0
2004-11-01,,,,0.0,0.0,0.0
2004-12-01,,,,43.264,605.0,605.0
2005-01-01,,,,244.577,1658.18,1658.18
2005-02-01,,,,56.297000000000004,381.68,381.68
2005-03-01,,,,48.309000000000005,327.53,327.53
2005-04-01,,,,48.337,327.71,327.71
2005-05-01,,,,48.735,330.41,330.41
2005-06-01,,,,59.036,400.25,400.25
2005-07-01,,,,111.808,758.03,758.03
