measured_on,Waste heat not directly attributed to a fuel source-Other Generation,Waste heat not directly attributed to a fuel source-Other Quantity Consumed For Electricity,Waste heat not directly attributed to a fuel source-Other Total Fuel Consumed,Waste heat not directly attributed to a fuel source-Turbines Used in a Binary Cycle (including those used for geothermal applications) Generation,Waste heat not directly attributed to a fuel source-Turbines Used in a Binary Cycle (including those used for geothermal applications) Quantity Consumed For Electricity,Waste heat not directly attributed to a fuel source-Turbines Used in a Binary Cycle (including those used for geothermal applications) Total Fuel Consumed
2009-01-01,,,,0.0,0.0,0.0
2009-02-01,,,,0.0,0.0,0.0
2009-03-01,,,,1707.83,16668.0,16668.0
2009-04-01,,,,1773.797,17312.0,17312.0
2009-05-01,,,,1312.299,12808.0,12808.0
2009-06-01,,,,1809.616,17662.0,17662.0
2009-07-01,,,,1906.381,18606.0,18606.0
2009-08-01,,,,2261.1310000000003,22069.0,22069.0
2009-09-01,,,,1992.9460000000001,19451.0,19451.0
2009-10-01,,,,1524.506,14879.0,14879.0
2009-11-01,,,,1486.659,14510.0,14510.0
2009-12-01,,,,1720.835,16795.0,16795.0
2010-01-01,1467.799,14320.0,14320.0,,,
2010-02-01,1426.779,13920.0,13920.0,,,
2010-03-01,1269.9840000000002,12390.0,12390.0,,,
2010-04-01,1625.2240000000002,15856.0,15856.0,,,
2010-05-01,1290.289,12588.0,12588.0,,,
2010-06-01,2034.279,19846.0,19846.0,,,
2010-07-01,2180.862,21276.0,21276.0,,,
2010-08-01,2146.4700000000003,20941.0,20941.0,,,
2010-09-01,2234.303,21798.0,21798.0,,,
2010-10-01,2358.045,23005.0,23005.0,,,
2010-11-01,1956.642,19089.0,19089.0,,,
2010-12-01,2313.324,22569.0,22569.0,,,
2011-01-01,1203.966,11698.0,11698.0,,,
2011-02-01,1210.779,11764.0,11764.0,,,
2011-03-01,1414.253,13741.0,13741.0,,,
2011-04-01,1134.971,11027.0,11027.0,,,
2011-05-01,1130.796,10987.0,10987.0,,,
2011-06-01,1081.49,10508.0,10508.0,,,
2011-07-01,1304.06,12670.0,12670.0,,,
2011-08-01,1186.343,11527.0,11527.0,,,
2011-09-01,1256.95,12213.0,12213.0,,,
2011-10-01,1316.857,12795.0,12795.0,,,
2011-11-01,1400.609,13608.0,13608.0,,,
2011-12-01,1426.926,13864.0,13864.0,,,
2012-01-01,967.679,9208.0,9208.0,,,
2012-02-01,807.646,7686.0,7686.0,,,
2012-03-01,959.081,9127.0,9127.0,,,
2012-04-01,802.354,7635.0,7635.0,,,
2012-05-01,684.082,6510.0,6510.0,,,
2012-06-01,790.674,7524.0,7524.0,,,
2012-07-01,899.727,8562.0,8562.0,,,
2012-08-01,870.316,8282.0,8282.0,,,
2012-09-01,973.044,9259.0,9259.0,,,
2012-10-01,1032.245,9823.0,9823.0,,,
2012-11-01,1040.942,9906.0,9906.0,,,
2012-12-01,871.21,8290.0,8290.0,,,
2013-01-01,562.317,5365.0,5365.0,,,
2013-02-01,681.417,6501.0,6501.0,,,
2013-03-01,745.8,7116.0,7116.0,,,
2013-04-01,609.042,5811.0,5811.0,,,
2013-05-01,569.763,5436.0,5436.0,,,
2013-06-01,610.075,5821.0,5821.0,,,
2013-07-01,704.134,6718.0,6718.0,,,
2013-08-01,630.655,6017.0,6017.0,,,
2013-09-01,712.677,6800.0,6800.0,,,
2013-10-01,709.887,6773.0,6773.0,,,
2013-11-01,675.276,6443.0,6443.0,,,
2013-12-01,572.957,5467.0,5467.0,,,
2014-01-01,462.232,4396.0,4396.0,,,
2014-02-01,438.168,4167.0,4167.0,,,
2014-03-01,485.413,4616.0,4616.0,,,
2014-04-01,338.094,3215.0,3215.0,,,
2014-05-01,345.289,3284.0,3284.0,,,
2014-06-01,377.963,3594.0,3594.0,,,
2014-07-01,298.587,2840.0,2840.0,,,
2014-08-01,412.546,3923.0,3923.0,,,
2014-09-01,280.44,2667.0,2667.0,,,
2014-10-01,362.163,3444.0,3444.0,,,
2014-11-01,331.489,3152.0,3152.0,,,
2014-12-01,355.616,3382.0,3382.0,,,
2015-01-01,868.798,8096.0,8096.0,,,
2015-02-01,809.885,7547.0,7547.0,,,
2015-03-01,974.336,9080.0,9080.0,,,
2015-04-01,767.454,7152.0,7152.0,,,
2015-05-01,760.891,7091.0,7091.0,,,
2015-06-01,1024.582,9548.0,9548.0,,,
2015-07-01,1195.212,11138.0,11138.0,,,
2015-08-01,1265.374,11792.0,11792.0,,,
2015-09-01,1253.081,11677.0,11677.0,,,
2015-10-01,1391.076,12963.0,12963.0,,,
2015-11-01,1047.035,9757.0,9757.0,,,
2015-12-01,1089.276,10151.0,10151.0,,,
2016-01-01,950.891,8779.0,8779.0,,,
2016-02-01,929.784,8584.0,8584.0,,,
2016-03-01,1070.721,9885.0,9885.0,,,
2016-04-01,966.266,8921.0,8921.0,,,
2016-05-01,1009.184,9317.0,9317.0,,,
2016-06-01,916.54,8461.0,8461.0,,,
2016-07-01,948.187,8754.0,8754.0,,,
2016-08-01,922.993,8521.0,8521.0,,,
2016-09-01,908.466,8387.0,8387.0,,,
2016-10-01,916.887,8465.0,8465.0,,,
2016-11-01,898.813,8298.0,8298.0,,,
2016-12-01,988.268,9124.0,9124.0,,,
2017-01-01,1240.0,11424.0,11424.0,,,
2017-02-01,1802.0,16602.0,16602.0,,,
2017-03-01,1250.0,11516.0,11516.0,,,
2017-04-01,1249.0,11507.0,11507.0,,,
2017-05-01,1321.0,12170.0,12170.0,,,
2017-06-01,1104.0,10171.0,10171.0,,,
2017-07-01,1067.0,9830.0,9830.0,,,
2017-08-01,1080.0,9950.0,9950.0,,,
2017-09-01,1146.0,10558.0,10558.0,,,
2017-10-01,1410.0,12990.0,12990.0,,,
2017-11-01,1193.0,10991.0,10991.0,,,
2017-12-01,1305.0,12023.0,12023.0,,,
2018-01-01,2110.0,19209.0,19209.0,,,
2018-02-01,1418.0,12909.0,12909.0,,,
2018-03-01,1330.0,12108.0,12108.0,,,
2018-04-01,2305.0,20985.0,20985.0,,,
2018-05-01,1965.0,17889.0,17889.0,,,
2018-06-01,1783.0,16232.0,16232.0,,,
2018-07-01,1343.0,12227.0,12227.0,,,
2018-08-01,788.0,7174.0,7174.0,,,
2018-09-01,1380.0,12564.0,12564.0,,,
2018-10-01,1201.0,10934.0,10934.0,,,
2018-11-01,822.0,7483.0,7483.0,,,
