measured_on,"Nuclear-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Nuclear-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Nuclear-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,394170.0,4107645.57,4107645.57
2003-02-01,343479.0,3579394.66,3579394.66
2003-03-01,393094.0,4096432.57,4096432.57
2003-04-01,380067.0,3960678.21,3960678.21
2003-05-01,387278.0,4035824.04,4035824.04
2003-06-01,368768.0,3842931.33,3842931.33
2003-07-01,370028.0,3856061.79,3856061.79
2003-08-01,377983.0,3938960.84,3938960.84
2003-09-01,308413.0,3213971.87,3213971.87
2003-10-01,353639.0,3685272.02,3685272.02
2003-11-01,378082.0,3939992.52,3939992.52
2003-12-01,389151.0,4055342.57,4055342.57
2004-01-01,392688.0,4094557.78,4094557.78
2004-02-01,366832.0,3824957.26,3824957.26
2004-03-01,391126.0,4078270.8,4078270.8
2004-04-01,36007.0,375444.99,375444.99
2004-05-01,319916.0,3335764.13,3335764.13
2004-06-01,209343.0,2182819.46,2182819.46
2004-07-01,287777.0,3000650.78,3000650.78
2004-08-01,367658.0,3833569.97,3833569.97
2004-09-01,360891.0,3763010.46,3763010.46
2004-10-01,376536.0,3926140.87,3926140.87
2004-11-01,368682.0,3844247.21,3844247.21
2004-12-01,380564.0,3968140.83,3968140.83
2005-01-01,365760.0,3816705.6,3816705.6
2005-02-01,344961.0,3599668.04,3599668.04
2005-03-01,380316.0,3968597.46,3968597.46
2005-04-01,327910.0,3421740.85,3421740.85
2005-05-01,378106.0,3945536.11,3945536.11
2005-06-01,358865.0,3744756.28,3744756.28
2005-07-01,326287.0,3404804.85,3404804.85
2005-08-01,360452.0,3761316.62,3761316.62
2005-09-01,352417.0,3677471.4,3677471.4
2005-10-01,265384.0,2769282.04,2769282.04
2005-11-01,227835.0,2377458.23,2377458.23
2005-12-01,383254.0,3999255.49,3999255.49
2006-01-01,383337.0,3999738.0,3999738.0
2006-02-01,343081.0,3579707.0,3579707.0
2006-03-01,400542.0,4179255.0,4179255.0
2006-04-01,420472.0,4387205.0,4387205.0
2006-05-01,440374.0,4594862.0,4594862.0
2006-06-01,445119.0,4644372.0,4644372.0
2006-07-01,455681.0,4754576.0,4754576.0
2006-08-01,441760.0,4609324.0,4609324.0
2006-09-01,432747.0,4515282.0,4515282.0
2006-10-01,462863.0,4829513.0,4829513.0
2006-11-01,415434.0,4334638.0,4334638.0
2006-12-01,465113.0,4852989.0,4852989.0
2007-01-01,463654.0,4861412.0,4861412.0
2007-02-01,414710.0,4348234.0,4348234.0
2007-03-01,458386.0,4806177.0,4806177.0
2007-04-01,412847.0,4328701.0,4328701.0
2007-05-01,171302.0,1796101.0,1796101.0
2007-06-01,337130.0,3534808.0,3534808.0
2007-07-01,449454.0,4712525.0,4712525.0
2007-08-01,346130.0,3629173.0,3629173.0
2007-09-01,302751.0,3174344.0,3174344.0
2007-10-01,432845.0,4538380.0,4538380.0
2007-11-01,450832.0,4726974.0,4726974.0
2007-12-01,463687.0,4861758.0,4861758.0
2008-01-01,466966.0,4897539.0,4897539.0
2008-02-01,435128.0,4563622.0,4563622.0
2008-03-01,457370.0,4796897.0,4796897.0
2008-04-01,421705.0,4422842.0,4422842.0
2008-05-01,454881.0,4770792.0,4770792.0
2008-06-01,426840.0,4476698.0,4476698.0
2008-07-01,353682.0,3709417.0,3709417.0
2008-08-01,450462.0,4724445.0,4724445.0
2008-09-01,416093.0,4363983.0,4363983.0
2008-10-01,254854.0,2672909.0,2672909.0
2008-11-01,296627.0,3111024.0,3111024.0
2008-12-01,460445.0,4829147.0,4829147.0
2009-01-01,449448.0,4713811.0,4713811.0
2009-02-01,419364.0,4398290.0,4398290.0
2009-03-01,466954.0,4897414.0,4897414.0
2009-04-01,452122.0,4741856.0,4741856.0
2009-05-01,456763.0,4790530.0,4790530.0
2009-06-01,414275.0,4344916.0,4344916.0
2009-07-01,453608.0,4757441.0,4757441.0
2009-08-01,444490.0,4661811.0,4661811.0
2009-09-01,439241.0,4606760.0,4606760.0
