measured_on,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Generation,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Quantity Consumed For Electricity,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,,,,390.363,3997.71,3997.71,29.593,107.0,107.0,18.116,283.0,283.0
2003-02-01,,,,359.773,3684.44,3684.44,27.274,99.0,99.0,16.697,261.0,261.0
2003-03-01,,,,354.346,3628.86,3628.86,26.862000000000002,97.0,97.0,16.445,257.0,257.0
2003-04-01,,,,355.906,3644.83,3644.83,26.981,98.0,98.0,16.517,258.0,258.0
2003-05-01,,,,310.732,3182.21,3182.21,23.556,85.0,85.0,14.421000000000001,225.0,225.0
2003-06-01,,,,375.483,3845.32,3845.32,28.465,103.0,103.0,17.426000000000002,272.0,272.0
2003-07-01,,,,487.33200000000005,4990.77,4990.77,36.944,134.0,134.0,22.617,353.0,353.0
2003-08-01,,,,484.385,4960.59,4960.59,36.721000000000004,133.0,133.0,22.48,351.0,351.0
2003-09-01,,,,400.38300000000004,4100.32,4100.32,30.352,110.0,110.0,18.581,290.0,290.0
2003-10-01,,,,443.761,4544.56,4544.56,33.641,122.0,122.0,20.595,321.0,321.0
2003-11-01,,,,401.569,4112.47,4112.47,30.442,110.0,110.0,18.636,291.0,291.0
2003-12-01,,,,397.966,4075.57,4075.57,30.169,109.0,109.0,18.469,288.0,288.0
2004-01-01,,,,420.276,4212.01,4212.01,94.652,2611.0,2611.0,45.685,789.0,789.0
2004-02-01,,,,247.995,2485.41,2485.41,52.894000000000005,1459.0,1459.0,31.829,549.0,549.0
2004-03-01,,,,409.165,4100.65,4100.65,10.432,288.0,288.0,31.568,545.0,545.0
2004-04-01,,,,494.93600000000004,4960.25,4960.25,47.935,1322.0,1322.0,11.126000000000001,192.0,192.0
2004-05-01,,,,524.428,5255.82,5255.82,5.755,159.0,159.0,15.812000000000001,273.0,273.0
2004-06-01,,,,311.63800000000003,3123.24,3123.24,38.848,1071.0,1071.0,16.008,276.0,276.0
2004-07-01,,,,212.538,2130.06,2130.06,98.64,2721.0,2721.0,22.908,395.0,395.0
2004-08-01,,,,360.331,3611.24,3611.24,19.09,527.0,527.0,18.23,315.0,315.0
2004-09-01,,,,436.045,4370.04,4370.04,6.295,174.0,174.0,13.288,229.0,229.0
2004-10-01,,,,266.062,2666.47,2666.47,87.59700000000001,2416.0,2416.0,9.544,165.0,165.0
2004-11-01,,,,367.177,3679.85,3679.85,52.812000000000005,1457.0,1457.0,19.259,332.0,332.0
2004-12-01,,,,600.41,6017.31,6017.31,86.05,2373.0,2373.0,27.742,479.0,479.0
2005-01-01,,,,617.167,6171.05,6171.05,44.482,1709.81,1709.81,12.616000000000001,491.97,491.97
2005-02-01,,,,533.601,5335.48,5335.48,35.586,1367.86,1367.86,9.449,368.5,368.5
2005-03-01,,,,584.538,5844.79,5844.79,49.382000000000005,1898.16,1898.16,8.007,312.23,312.23
2005-04-01,,,,558.3530000000001,5582.97,5582.97,46.876000000000005,1801.84,1801.84,6.415,250.17,250.17
2005-05-01,,,,505.08,5050.29,5050.29,44.825,1722.99,1722.99,5.013,195.47,195.47
2005-06-01,,,,568.925,5688.68,5688.68,84.616,3252.51,3252.51,9.071,353.72,353.72
2005-07-01,,,,610.67,6106.09,6106.09,111.393,4281.78,4281.78,11.075,431.91,431.91
2005-08-01,,,,516.7040000000001,5166.52,5166.52,110.658,4253.52,4253.52,12.827,500.21,500.21
2005-09-01,,,,427.54400000000004,4275.01,4275.01,66.99600000000001,2575.23,2575.23,9.455,368.69,368.69
2005-10-01,,,,364.90200000000004,3648.65,3648.65,47.504000000000005,1825.99,1825.99,7.585,295.78,295.78
2005-11-01,,,,390.517,3904.78,3904.78,41.634,1600.34,1600.34,6.574000000000001,256.37,256.37
2005-12-01,,,,478.0,4779.53,4779.53,52.046,2000.56,2000.56,11.914,464.61,464.61
2006-01-01,,,,1687.0720000000001,16734.0,16734.0,174.2,3694.0,3694.0,41.65,865.0,865.0
2006-02-01,,,,1521.24,15089.0,15089.0,196.917,4176.0,4176.0,32.141,667.0,667.0
2006-03-01,,,,1340.2340000000002,13294.0,13294.0,259.49,5503.0,5503.0,13.934000000000001,289.0,289.0
2006-04-01,,,,1458.8010000000002,14470.0,14470.0,214.73700000000002,4554.0,4554.0,10.997,228.0,228.0
2006-05-01,,,,1724.788,17108.0,17108.0,282.863,5998.0,5998.0,8.156,169.0,169.0
2006-06-01,,,,1694.717,16810.0,16810.0,364.36,7726.0,7726.0,19.461000000000002,404.0,404.0
2006-07-01,,,,1777.142,17627.0,17627.0,652.01,13826.0,13826.0,41.432,860.0,860.0
2006-08-01,,,,1764.3,17500.0,17500.0,579.369,12286.0,12286.0,40.848,848.0,848.0
2006-09-01,,,,1145.24,11360.0,11360.0,340.796,7227.0,7227.0,9.401,195.0,195.0
2006-10-01,,,,1009.61,10014.0,10014.0,369.15,7828.0,7828.0,18.38,382.0,382.0
2006-11-01,,,,1182.587,11730.0,11730.0,248.17700000000002,5263.0,5263.0,22.284000000000002,463.0,463.0
2006-12-01,,,,1252.269,12421.0,12421.0,251.93,5342.0,5342.0,23.317,484.0,484.0
2007-01-01,0.0,0.0,0.0,513.624,5077.0,5077.0,0.0,2940.0,2940.0,0.0,85744.0,85744.0
2007-02-01,,,,368.12100000000004,3639.0,3639.0,0.0,37488.0,37488.0,0.0,45453.0,45453.0
2007-03-01,0.17,58.0,58.0,622.451,6152.0,6152.0,216.35,74356.0,74356.0,8.481,2915.0,2915.0
2007-04-01,,,,755.1120000000001,7464.0,7464.0,0.0,54321.0,54321.0,0.0,0.0,0.0
2007-05-01,,,,804.749,7954.0,7954.0,0.0,42942.0,42942.0,0.0,0.0,0.0
2007-06-01,,,,440.88300000000004,4358.0,4358.0,0.0,41536.0,41536.0,0.0,0.0,0.0
2007-07-01,,,,417.403,4126.0,4126.0,65.0,36822.0,36822.0,0.0,0.0,0.0
2007-08-01,,,,201.739,1994.0,1994.0,208.578,39573.0,39573.0,46.422000000000004,8807.0,8807.0
2007-09-01,0.0,6.0,6.0,119.542,1182.0,1182.0,0.0,39602.0,39602.0,0.0,0.0,0.0
2007-10-01,,,,444.76300000000003,4396.0,4396.0,0.0,39596.0,39596.0,0.0,0.0,0.0
2007-11-01,,,,685.837,6779.0,6779.0,32.0,51303.0,51303.0,0.0,0.0,0.0
2007-12-01,0.0,0.0,0.0,732.775,7243.0,7243.0,0.5940000000000001,46757.0,46757.0,1.4060000000000001,110661.0,110661.0
2008-01-01,0.0,0.0,0.0,753.5350000000001,7425.0,7425.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-02-01,0.0,0.0,0.0,752.0740000000001,7411.0,7411.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-01,0.0,0.0,0.0,821.0490000000001,8091.0,8091.0,48.298,6093.0,6093.0,129.702,16364.0,16364.0
2008-04-01,0.0,0.0,0.0,702.0110000000001,6918.0,6918.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-05-01,0.0,0.0,0.0,624.2080000000001,6151.0,6151.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-06-01,0.0,0.0,0.0,552.7370000000001,5447.0,5447.0,59.0,3107.0,3107.0,0.0,0.0,0.0
2008-07-01,0.0,0.0,0.0,555.456,5473.0,5473.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-08-01,0.0,0.0,0.0,723.197,7126.0,7126.0,62.0,2456.0,2456.0,0.0,0.0,0.0
2008-09-01,0.0,0.0,0.0,316.60900000000004,3120.0,3120.0,183.0,3960.0,3960.0,0.0,0.0,0.0
2008-10-01,12.366000000000001,584.0,584.0,468.72400000000005,4619.0,4619.0,11.634,549.0,549.0,0.0,0.0,0.0
2008-11-01,0.0,0.0,0.0,683.504,6735.0,6735.0,0.0,0.0,0.0,0.0,0.0,0.0
