measured_on,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2003-01-01,4142.409000000001,85234.0,216481.0
2003-02-01,3346.91,68866.0,174908.0
2003-03-01,3506.295,72145.0,183238.0
2003-04-01,3367.492,69289.0,175984.0
2003-05-01,4101.947,84401.0,214366.0
2003-06-01,4104.871,84462.0,214519.0
2003-07-01,4472.934,92035.0,233754.0
2003-08-01,4639.6320000000005,95465.0,242466.0
2003-09-01,3870.458,79638.0,202269.0
2003-10-01,3654.559,75196.0,190986.0
2003-11-01,3285.7340000000004,67607.0,171711.0
2003-12-01,3796.759,78122.0,198417.0
2004-01-01,0.0,0.0,0.0
2004-02-01,0.0,0.0,0.0
2004-03-01,0.0,0.0,0.0
2004-04-01,0.0,0.0,0.0
2004-05-01,0.0,0.0,0.0
2004-06-01,0.0,0.0,0.0
2004-07-01,0.0,0.0,0.0
2004-08-01,0.0,0.0,0.0
2004-09-01,0.0,0.0,0.0
2004-10-01,0.0,0.0,0.0
2004-11-01,0.0,0.0,0.0
2004-12-01,0.0,0.0,0.0
2005-01-01,2548.193,16228.27,142214.92
2005-02-01,2300.01,14647.7,128363.8
2005-03-01,2482.177,15807.84,138530.54
2005-04-01,2494.098,15883.76,139195.87
2005-05-01,2739.2830000000004,17445.23,152879.64
2005-06-01,3518.449,22407.38,196365.01
2005-07-01,4505.44,28693.07,251449.04
2005-08-01,4669.069,29735.15,260581.25
2005-09-01,3521.4750000000004,22426.65,196533.89
2005-10-01,2733.3450000000003,17407.42,152548.27
2005-11-01,2438.7960000000003,15531.57,136109.48
2005-12-01,2782.5950000000003,17721.06,155296.9
2006-01-01,2656.7870000000003,16919.85,167499.4
2006-02-01,2342.422,14917.8,147679.98
2006-03-01,2594.549,16523.49,163575.56
2006-04-01,2472.091,15743.61,155855.1
2006-05-01,2881.426,18350.47,181661.97
2006-06-01,3054.1730000000002,19450.62,192552.93
2006-07-01,3438.864,21900.53,216806.1
2006-08-01,3552.556,22624.58,223973.9
2006-09-01,2892.621,18421.77,182367.74
2006-10-01,3032.297,19311.3,191173.78
2006-11-01,2561.431,16312.57,161487.61
2006-12-01,2872.3650000000002,18292.77,181090.68
2007-01-01,3316.43,21121.0,184162.0
2007-02-01,2945.89,18761.0,162218.0
2007-03-01,2719.88,17321.0,150078.0
