measured_on,Agricultural By-Products Generation,Agricultural By-Products Quantity Consumed For Electricity,Agricultural By-Products Total Fuel Consumed,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Tire-Derived Fuels Generation,Tire-Derived Fuels Quantity Consumed For Electricity,Tire-Derived Fuels Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2010-06-01,,,,2213.196,28650.0,37854.0,2249.15,29115.0,38469.0,6065.654,78519.0,103746.0
2010-07-01,,,,2061.63,26641.0,33295.0,1796.2150000000001,23211.0,29009.0,5249.155000000001,67830.0,84773.0
2010-08-01,,,,1364.498,17767.0,24106.0,1212.463,15788.0,21420.0,3446.039,44871.0,60880.0
2010-09-01,,,,677.3430000000001,8824.0,9531.0,2875.3070000000002,37460.0,40459.0,5243.35,68311.0,73780.0
2010-10-01,,,,495.24100000000004,6453.0,8802.0,2425.569,31604.0,43110.0,6035.1900000000005,78636.0,107264.0
2010-11-01,,,,590.152,7711.0,10827.0,2560.759,33458.0,46980.0,5565.089,72711.0,102098.0
2010-12-01,,,,1647.662,21320.0,30969.0,2952.8,38208.0,55500.0,9316.538,120552.0,175111.0
2011-01-01,0.0,0.0,0.0,3532.567,45307.0,53746.0,3457.284,44341.0,52601.0,8872.149,113789.0,134985.0
2011-02-01,,,,2583.726,33164.0,40131.0,3005.958,38584.0,46689.0,5720.316,73425.0,88849.0
2011-03-01,,,,2753.738,35532.0,42032.0,3594.945,46386.0,54872.0,5556.317,71694.0,84810.0
2011-04-01,,,,2858.383,35714.0,35714.0,3105.086,38796.0,38796.0,5147.531,64315.0,64315.0
2011-05-01,,,,3164.994,40814.0,45045.0,3313.094,42724.0,47153.0,7104.912,91620.0,101119.0
2011-06-01,,,,4302.251,51453.0,51453.0,4280.603,51194.0,51194.0,10488.146,125432.0,125432.0
2011-07-01,,,,2871.437,36785.0,48634.0,3291.558,42167.0,55749.0,12908.005,165360.0,218623.0
2011-08-01,,,,3459.791,44371.0,53421.0,3700.017,47452.0,57130.0,15078.192,193376.0,232814.0
2011-09-01,,,,1397.86,17933.0,22576.0,1366.468,17530.0,22069.0,5340.672,68514.0,86254.0
2011-10-01,,,,4311.546,55373.0,61382.0,3970.852,50997.0,56531.0,9557.602,122748.0,136067.0
2011-11-01,,,,4059.949,52014.0,58832.0,3379.298,43294.0,48968.0,10947.753,140257.0,158641.0
2011-12-01,,,,3785.256,48606.0,56902.0,3422.472,43948.0,51449.0,10774.272,138352.0,161966.0
2012-01-01,0.0,0.0,0.0,3831.065,49015.0,55782.0,3575.248,45742.0,52057.0,11275.687,144263.0,164179.0
2012-02-01,,,,3592.987,45889.0,51840.0,3467.316,44284.0,50027.0,11678.697,149158.0,168502.0
2012-03-01,,,,3504.96,45085.0,49815.0,3394.861,43669.0,48250.0,12044.179,154927.0,171181.0
2012-04-01,,,,2490.273,32114.0,35223.0,2521.141,32512.0,35659.0,8041.586,103703.0,113741.0
2012-05-01,,,,5591.754,72086.0,77504.0,5630.137,72581.0,78036.0,16835.109,217029.0,233342.0
2012-06-01,,,,4723.006,60897.0,64718.0,4499.986,58021.0,61662.0,14403.008,185707.0,197362.0
2012-07-01,,,,3795.622,49207.0,51950.0,3742.082,48513.0,51218.0,12336.296,159929.0,168846.0
2012-08-01,,,,5145.002,68091.0,71327.0,4017.197,53165.0,55692.0,15526.801,205487.0,215254.0
2012-09-01,,,,4453.562,58190.0,58190.0,3950.116,51612.0,51612.0,12125.322,158429.0,158429.0
2012-10-01,,,,3703.689,47820.0,47820.0,3244.931,41897.0,41897.0,9939.38,128331.0,128331.0
2012-11-01,,,,3899.797,48808.0,48808.0,3474.634,43487.0,43487.0,10926.569,136751.0,136751.0
2012-12-01,,,,3925.409,50062.0,50062.0,3354.229,42778.0,42778.0,10628.362,135548.0,135548.0
2013-01-01,,,,4141.095,57624.0,57624.0,3658.772,50912.0,50912.0,10894.133,151594.0,151594.0
2013-02-01,,,,3337.372,44716.0,44716.0,4212.78,56445.0,56445.0,9032.848,121027.0,121027.0
2013-03-01,,,,4409.836,58520.0,58520.0,4816.744,63920.0,63920.0,9663.42,128237.0,128237.0
2013-04-01,,,,2729.756,34552.0,34552.0,5677.312,71861.0,71861.0,7176.932,90842.0,90842.0
2013-05-01,,,,4457.57,62160.0,62160.0,6249.031,87142.0,87142.0,10233.399,142703.0,142703.0
2013-06-01,,,,4486.342,64260.0,64260.0,6761.559,96849.0,96849.0,8324.099,119230.0,119230.0
2013-07-01,,,,5125.986,75992.0,75992.0,7268.874,107760.0,107760.0,9677.14,143462.0,143462.0
2013-08-01,,,,4556.234,63560.0,63560.0,7369.687,102808.0,102808.0,11136.079,155350.0,155350.0
2013-09-01,,,,4677.724,57380.0,57380.0,7901.321,96923.0,96923.0,10326.955,126678.0,126678.0
2013-10-01,,,,13553.148,257646.0,257646.0,6508.768,123732.0,123732.0,9096.084,172917.0,172917.0
2013-11-01,,,,3358.31,41842.0,41842.0,8571.39,106792.0,106792.0,11577.3,144243.0,144243.0
2013-12-01,,,,1841.668,25861.0,25861.0,7499.301,105307.0,105307.0,9226.031,129554.0,129554.0
2014-01-01,,,,3226.207,37511.0,37511.0,3108.376,36141.0,36141.0,4644.417,54000.0,54000.0
2014-02-01,,,,2046.469,23619.0,23619.0,6697.318,77295.0,77295.0,4462.213,51500.0,51500.0
2014-03-01,,,,3690.047,49210.0,49210.0,5397.487,71981.0,71981.0,5205.466,69420.0,69420.0
2014-04-01,,,,2915.748,39100.0,39100.0,4855.886,65117.0,65117.0,5947.366,79753.0,79753.0
2014-05-01,,,,4222.765,57211.0,57211.0,9152.955,124007.0,124007.0,11288.28,152937.0,152937.0
2014-06-01,,,,2651.787,34661.0,34661.0,8940.994,116866.0,116866.0,8391.219,109680.0,109680.0
2014-07-01,,,,2806.479,37017.0,37017.0,10272.069,135488.0,135488.0,10446.452,137789.0,137789.0
2014-08-01,,,,2937.016,37374.0,37374.0,10143.351,129074.0,129074.0,9001.633,114546.0,114546.0
