measured_on,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed,Other Gases - Combined Cycle Combustion Turbine Part - Other Gases - Generation,Other Gases - Combined Cycle Combustion Turbine Part - Other Gases - Quantity Consumed For Electricity,Other Gases - Combined Cycle Combustion Turbine Part - Other Gases - Total Fuel Consumed,Other Gases - Combined Cycle Steam Part - Other Gases - Generation,Other Gases - Combined Cycle Steam Part - Other Gases - Quantity Consumed For Electricity,Other Gases - Combined Cycle Steam Part - Other Gases - Total Fuel Consumed
2003-01-01,93035.0,545921.0,1344069.0,,,,,,,40168.0,229500.0,574096.0
2003-02-01,18706.0,290216.0,536320.0,,,,,,,27057.0,82369.0,438344.0
2003-03-01,67299.0,408701.0,1136613.0,,,,,,,26027.0,158055.0,439559.0
2003-04-01,94916.0,525128.0,1552325.0,,,,,,,22462.0,124270.0,367351.0
2003-05-01,91922.0,435723.0,1499416.0,,,,,,,24224.0,116724.0,397033.0
2003-06-01,75623.0,971066.0,1287899.0,,,,,,,26313.0,131289.0,448121.0
2003-07-01,81286.0,459697.0,1406588.0,,,,,,,32131.0,181714.0,556009.0
2003-08-01,89877.0,453820.0,1424473.0,,,,,,,26157.0,132078.0,414575.0
2003-09-01,88600.0,371995.0,1413621.0,,,,,,,23392.0,98215.0,373225.0
2003-10-01,75630.0,315138.0,1182299.0,,,,,,,18802.0,78346.0,293930.0
2003-11-01,,,,,,,,,,15006.0,57546.0,255142.0
2003-12-01,56817.0,868885.0,868885.0,,,,,,,5507.0,-581226.0,84210.0
2004-01-01,47333.34278,228959.5,904678.2,0.0,0.0,0.0,2773.94722,13418.06,53018.22,0.0,0.0,0.0
2004-02-01,47811.5753,235186.06,852712.28,808.99921,0.0,0.0,2234.6047000000003,10992.06,39853.84,37.81079,0.0,0.0
2004-03-01,50384.7567,251176.61,918459.24,1541.58147,0.0,0.0,3859.5833000000002,19240.68,70356.0,118.08852999999999,0.0,0.0
2004-04-01,50928.36562,279807.29,997824.86,6916.86234,0.0,0.0,29833.83438,163911.1,584525.76,4051.89766,0.0,0.0
2004-05-01,75838.66784,403511.06,1433288.26,7580.13572,0.0,0.0,8942.24216,47578.55,169001.0,893.78428,0.0,0.0
2004-06-01,47242.35237,228519.36,819340.08,0.0,0.0,0.0,5965.05763,28854.01,103454.01,0.0,0.0,0.0
