measured_on,Municipal Solid Waste Generation,Municipal Solid Waste Quantity Consumed For Electricity,Municipal Solid Waste Total Fuel Consumed
2001-01-01,537.0,11814.0,123847.5
2001-02-01,1399.0,30778.0,118251.0
2001-03-01,828.5,18227.0,109462.5
2001-04-01,624.5,13739.0,112602.0
2001-05-01,914.5,20119.5,115615.5
2001-06-01,1475.5,32461.5,122430.0
2001-07-01,585.5,12881.0,118461.0
2001-08-01,252.0,5543.5,94495.0
2001-09-01,120.5,2651.0,64186.5
2001-10-01,157.5,3465.0,64092.0
2001-11-01,0.0,0.0,0.0
2001-12-01,803.0,17666.0,100291.0
2002-01-01,677.0,14894.0,100592.0
2002-02-01,546.0,12012.0,81127.5
2002-03-01,441.0,9702.0,65526.0
2002-04-01,614.0,13508.0,91231.5
2002-05-01,105.0,2310.0,15601.5
2002-06-01,0.0,0.0,0.0
2002-07-01,0.0,0.0,0.0
2002-08-01,0.0,0.0,0.0
2002-09-01,0.0,0.0,0.0
