measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2012-01-01,,,,,,,189.721,2564.0,9053.0,10.217,138.0,495.0
2012-02-01,,,,,,,189.993,2568.0,9068.0,1.088,15.0,51.0
2012-03-01,,,,,,,212.105,2867.0,10123.0,2.445,33.0,114.0
2012-04-01,,,,,,,194.519,2629.0,9284.0,2.197,30.0,108.0
2012-05-01,,,,,,,231.968,3135.0,11071.0,2.038,28.0,95.0
2012-06-01,,,,,,,262.884,3553.0,12547.0,13.994,189.0,666.0
2012-07-01,,,,,,,363.305,4910.0,17340.0,7.005,95.0,336.0
2012-08-01,,,,,,,363.139,4908.0,17331.0,4.409,60.0,209.0
2012-09-01,,,,,,,291.541,3940.0,13914.0,3.114,42.0,146.0
2012-10-01,,,,,,,247.441,3344.0,11810.0,2.894,39.0,140.0
2012-11-01,,,,,,,189.009,2555.0,9021.0,3.819,52.0,184.0
2012-12-01,,,,,,,134.229,1814.0,6407.0,1.926,26.0,89.0
2013-01-01,,,,0.0,0.0,0.0,230.677,3000.0,10103.0,73.867,961.0,3228.0
2013-02-01,,,,0.0,0.0,0.0,146.594,1907.0,6421.0,40.057,521.0,1757.0
2013-03-01,,,,0.0,0.0,0.0,200.524,2608.0,8783.0,5.742,75.0,254.0
2013-04-01,,,,0.0,0.0,0.0,313.693,4080.0,13740.0,3.009,39.0,133.0
2013-05-01,,,,0.0,0.0,0.0,354.794,4614.0,15541.0,4.818,63.0,209.0
2013-06-01,,,,0.0,0.0,0.0,310.566,4039.0,13604.0,9.223,120.0,406.0
2013-07-01,,,,0.0,0.0,0.0,501.259,6519.0,21957.0,36.199,471.0,1586.0
2013-08-01,,,,0.0,0.0,0.0,443.949,5774.0,19445.0,1.911,25.0,82.0
2013-09-01,,,,0.0,0.0,0.0,324.66,4222.0,14221.0,13.881,181.0,609.0
2013-10-01,,,,0.0,0.0,0.0,323.051,4201.0,14150.0,6.02,78.0,266.0
2013-11-01,,,,0.0,0.0,0.0,213.389,2775.0,9347.0,14.326,186.0,628.0
2013-12-01,,,,0.0,0.0,0.0,146.431,1904.0,6414.0,100.36,1305.0,4395.0
2014-01-01,,,,223.292,2927.0,9563.0,170.095,2230.0,7285.0,0.0,0.0,0.0
2014-02-01,,,,47.926,628.0,2052.0,175.89,2306.0,7533.0,0.0,0.0,0.0
2014-03-01,,,,63.67,835.0,2724.0,132.147,1732.0,5660.0,0.0,0.0,0.0
2014-04-01,,,,1.313,17.0,58.0,261.063,3422.0,11182.0,0.0,0.0,0.0
2014-05-01,,,,1.751,23.0,75.0,285.718,3746.0,12237.0,0.0,0.0,0.0
2014-06-01,,,,0.551,7.0,23.0,308.414,4043.0,13210.0,0.0,0.0,0.0
2014-07-01,,,,5.674,74.0,243.0,424.893,5570.0,18198.0,0.0,0.0,0.0
2014-08-01,,,,4.278,56.0,185.0,382.332,5012.0,16375.0,0.0,0.0,0.0
2014-09-01,,,,1.139,15.0,46.0,324.623,4256.0,13904.0,0.0,0.0,0.0
2014-10-01,,,,1.475,19.0,64.0,317.439,4162.0,13596.0,0.0,0.0,0.0
2014-11-01,,,,2.121,28.0,93.0,183.493,2406.0,7859.0,0.0,0.0,0.0
2014-12-01,,,,5.151,68.0,220.0,153.552,2013.0,6577.0,0.0,0.0,0.0
2015-01-01,,,,9.542,124.0,469.0,109.157,1415.0,5336.0,0.0,0.0,0.0
2015-02-01,,,,61.217,793.0,2991.0,120.701,1564.0,5902.0,0.0,0.0,0.0
2015-03-01,,,,2.724,35.0,133.0,146.656,1901.0,7171.0,0.0,0.0,0.0
2015-04-01,,,,0.42,5.0,23.0,207.508,2689.0,10147.0,0.0,0.0,0.0
2015-05-01,,,,0.967,13.0,46.0,283.931,3680.0,13883.0,0.0,0.0,0.0
2015-06-01,,,,0.533,7.0,23.0,278.278,3607.0,13607.0,0.0,0.0,0.0
2015-07-01,,,,1.678,22.0,81.0,436.69,5660.0,21353.0,0.0,0.0,0.0
2015-08-01,,,,0.959,12.0,46.0,439.015,5690.0,21466.0,0.0,0.0,0.0
2015-09-01,,,,2.851,37.0,139.0,315.288,4086.0,15417.0,0.0,0.0,0.0
2015-10-01,,,,0.433,6.0,23.0,264.445,3427.0,12931.0,0.0,0.0,0.0
2015-11-01,,,,0.672,9.0,35.0,158.609,2056.0,7756.0,0.0,0.0,0.0
2015-12-01,,,,0.86,11.0,41.0,172.866,2241.0,8452.0,0.0,0.0,0.0
2016-01-01,,,,1.47,8.0,64.0,139.166,739.0,6099.0,0.0,0.0,0.0
2016-02-01,,,,3.09,16.0,133.0,146.007,775.0,6398.0,0.0,0.0,0.0
2016-03-01,,,,0.108,1.0,6.0,158.242,840.0,6935.0,0.0,0.0,0.0
2016-04-01,,,,0.23,1.0,12.0,173.323,920.0,7595.0,0.0,0.0,0.0
2016-05-01,,,,0.337,2.0,17.0,228.931,1215.0,10032.0,0.0,0.0,0.0
2016-06-01,,,,0.561,3.0,23.0,261.127,1386.0,11443.0,0.0,0.0,0.0
2016-07-01,,,,2.41,13.0,104.0,319.05,1693.0,13981.0,0.0,0.0,0.0
2016-08-01,,,,1.675,9.0,75.0,318.56,1691.0,13960.0,0.0,0.0,0.0
2016-09-01,,,,3.133,17.0,139.0,211.345,1122.0,9262.0,0.0,0.0,0.0
2016-10-01,,,,4.819,26.0,209.0,136.484,724.0,5981.0,0.0,0.0,0.0
2016-11-01,,,,12.704,67.0,556.0,104.689,556.0,4588.0,0.0,0.0,0.0
2016-12-01,,,,4.38,23.0,191.0,161.159,855.0,7063.0,0.0,0.0,0.0
2017-01-01,,,,0.705,4.0,40.0,196.581,1020.0,7335.0,0.0,0.0,0.0
2017-02-01,,,,0.383,2.0,12.0,176.677,916.0,6594.0,0.0,0.0,0.0
2017-03-01,,,,0.46,2.0,17.0,190.866,990.0,7123.0,0.0,0.0,0.0
2017-04-01,,,,0.318,2.0,12.0,225.87,1172.0,8430.0,0.0,0.0,0.0
2017-05-01,,,,0.326,2.0,12.0,206.022,1069.0,7689.0,0.0,0.0,0.0
2017-06-01,,,,0.325,2.0,12.0,251.747,1306.0,9396.0,0.0,0.0,0.0
2017-07-01,,,,0.223,1.0,6.0,298.942,1551.0,11157.0,0.0,0.0,0.0
2017-08-01,,,,0.218,1.0,6.0,299.881,1556.0,11192.0,0.0,0.0,0.0
2017-09-01,,,,0.37,2.0,12.0,229.215,1189.0,8554.0,0.0,0.0,0.0
2017-10-01,,,,0.36,2.0,12.0,213.278,1106.0,7960.0,0.0,0.0,0.0
2017-11-01,,,,0.605,3.0,23.0,141.423,734.0,5278.0,0.0,0.0,0.0
2017-12-01,24.0,108.0,330.0,8.383,43.0,312.0,174.822,907.0,6524.0,0.0,0.0,0.0
2018-01-01,3.356,15.0,52.0,27.367,148.0,1698.0,237.623,1284.0,14792.0,0.0,0.0,0.0
2018-02-01,0.129,0.0,0.0,1.053,6.0,64.0,233.031,1259.0,14507.0,0.0,0.0,0.0
2018-03-01,0.143,0.0,0.0,1.169,6.0,75.0,255.142,1379.0,15883.0,0.0,0.0,0.0
2018-04-01,0.11,0.0,0.0,0.896,5.0,58.0,158.418,856.0,9861.0,0.0,0.0,0.0
2018-05-01,0.122,0.0,0.0,0.994,5.0,64.0,157.594,852.0,9810.0,0.0,0.0,0.0
2018-06-01,0.105,0.0,0.0,0.856,5.0,52.0,198.159,1071.0,12335.0,0.0,0.0,0.0
2018-07-01,0.145,0.0,0.0,1.179,6.0,75.0,375.037,2027.0,23346.0,0.0,0.0,0.0
2018-08-01,0.26,1.0,6.0,2.124,11.0,133.0,418.502,2262.0,26052.0,0.0,0.0,0.0
2018-09-01,0.128,0.0,0.0,1.045,6.0,64.0,267.388,1445.0,16645.0,0.0,0.0,0.0
2018-10-01,0.116,0.0,0.0,0.946,5.0,58.0,212.08,1146.0,13202.0,0.0,0.0,0.0
2018-11-01,0.249,0.0,0.0,2.034,11.0,128.0,160.313,866.0,9980.0,0.0,0.0,0.0
2018-12-01,0.137,0.0,0.0,1.119,6.0,70.0,180.931,978.0,11263.0,0.0,0.0,0.0
