measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,Other Biomass Gas - Combustion (Gas) Turbine (including jet engine design) - Other Renewables - Generation,Other Biomass Gas - Combustion (Gas) Turbine (including jet engine design) - Other Renewables - Quantity Consumed For Electricity,Other Biomass Gas - Combustion (Gas) Turbine (including jet engine design) - Other Renewables - Total Fuel Consumed
2004-01-01,4.2696000000000005,22.16,1492.11,48.334559999999996,250.85,16891.61,69.13983999999999,358.82,24162.49
2004-02-01,1.2002000000000002,6.23,417.6,104.62784,543.0,36404.44,69.44395999999999,360.4,24162.49
2004-03-01,2.05654,10.67,612.07,196.50552,1019.83,58484.51,81.18494,421.34,24162.49
2004-04-01,14.598700000000001,75.76,3375.83,455.07426,2361.76,105232.28,104.49004,542.29,24162.49
2004-05-01,27.214589999999998,141.24,5819.14,873.2228,4531.87,186716.22,113.00161,586.46,24162.49
2004-06-01,5.76383,29.91,1451.33,461.95225,2397.45,116319.72,95.95891999999999,498.01,24162.49
2004-07-01,4.74061,24.6,1203.62,473.98208,2459.89,120341.58,95.16731,493.9,24162.49
2004-08-01,3.60935,18.73,905.96,603.03123,3129.62,151363.14,96.26342,499.59,24162.49
2004-09-01,0.05576,0.29,16.36,266.48642,1383.02,78162.98,82.37881999999999,427.53,24162.49
2004-10-01,0.0,0.0,0.0,52.78702,273.96,23843.16,53.49398,277.62,24162.49
2004-11-01,1.5725099999999999,8.16,440.63,297.52039,1544.08,83367.05,86.2311,447.52,24162.49
2004-12-01,3.58866,18.62,934.67,417.8997,2168.83,108842.48,92.77163999999999,481.47,24162.49
2005-01-01,0.0,0.0,63252.6,0.0,0.0,67416.1,0.0,0.0,18746.76
2005-02-01,0.0,0.0,14559.51,0.0,0.0,59766.13,0.0,0.0,16723.58
2005-03-01,0.0,0.0,12493.78,0.0,0.0,71320.39,0.0,0.0,19100.65
2005-04-01,0.0,0.0,12500.91,0.0,0.0,73120.91,0.0,0.0,19061.16
2005-05-01,0.0,0.0,12603.98,0.0,0.0,59318.55,0.0,0.0,20954.98
2005-06-01,0.0,0.0,15267.98,0.0,0.0,100918.39,0.0,0.0,20760.32
2005-07-01,0.0,0.0,28915.78,0.0,0.0,130047.54,0.0,0.0,21496.2
2005-08-01,0.0,0.0,25610.94,0.0,0.0,139040.28,0.0,0.0,21399.05
2005-09-01,0.0,0.0,14250.54,0.0,0.0,91976.42,0.0,0.0,20157.76
2005-10-01,0.0,0.0,19979.49,0.0,0.0,63606.48,0.0,0.0,20347.76
2005-11-01,0.0,0.0,13453.39,0.0,0.0,57094.0,0.0,0.0,20493.64
2005-12-01,0.0,0.0,36851.81,0.0,0.0,61686.33,0.0,0.0,20539.34
2006-01-01,0.0,0.0,158027.21,0.0,0.0,77237.99,0.0,0.0,13243.47
2006-02-01,0.0,0.0,198092.79,0.0,0.0,77012.86,0.0,0.0,11860.96
2006-03-01,0.0,0.0,360685.18,0.0,0.0,84016.88,0.0,0.0,10648.5
2006-04-01,0.0,0.0,171019.26,0.0,0.0,70638.36,0.0,0.0,9681.23
2006-05-01,0.0,0.0,118117.75,0.0,0.0,68524.11,0.0,0.0,11267.04
2006-06-01,0.0,0.0,113720.31,0.0,0.0,87655.55,0.0,0.0,7662.96
2006-07-01,0.0,0.0,140969.52,0.0,0.0,131269.7,0.0,0.0,10163.97
2006-08-01,0.0,0.0,150006.04,0.0,0.0,123586.9,0.0,0.0,9990.47
2006-09-01,0.0,0.0,87697.57,0.0,0.0,87660.2,0.0,0.0,9290.29
2006-10-01,0.0,0.0,87317.26,0.0,0.0,97762.7,0.0,0.0,10646.02
2006-11-01,0.0,0.0,141890.5,0.0,0.0,84088.99,0.0,0.0,11693.44
2006-12-01,0.0,0.0,158077.2,0.0,0.0,82166.86,0.0,0.0,11992.45
