measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2018-01-01,7.022,66.0,66.0
2018-02-01,0.147,0.0,0.0
2018-03-01,0.147,0.0,0.0
2018-04-01,0.117,0.0,0.0
2018-05-01,0.028,0.0,0.0
2018-06-01,0.071,0.0,0.0
2018-07-01,0.066,0.0,0.0
2018-08-01,0.057,0.0,0.0
2018-09-01,0.065,0.0,0.0
2018-10-01,0.07,0.0,0.0
2018-11-01,0.074,0.0,0.0
2018-12-01,0.136,0.0,0.0
2019-01-01,3.641,22.0,22.0
2019-02-01,0.753,6.0,6.0
2019-03-01,0.012,0.0,0.0
2019-04-01,0.006,0.0,0.0
2019-05-01,0.01,0.0,0.0
2019-06-01,0.007,0.0,0.0
2019-07-01,0.003,0.0,0.0
2019-08-01,0.006,0.0,0.0
2019-09-01,0.026,0.0,0.0
2019-10-01,0.007,0.0,0.0
2019-11-01,0.014,0.0,0.0
2019-12-01,0.515,6.0,6.0
2020-01-01,0.484,33.0,33.0
2020-02-01,0.362,17.0,17.0
2020-03-01,0.307,17.0,17.0
2020-04-01,0.218,11.0,11.0
2020-05-01,0.461,22.0,22.0
2020-06-01,0.191,11.0,11.0
2020-07-01,0.318,17.0,17.0
2020-08-01,0.129,6.0,6.0
2020-09-01,0.334,17.0,17.0
2020-10-01,0.191,11.0,11.0
2020-11-01,0.463,22.0,22.0
2020-12-01,0.542,28.0,28.0
2021-01-01,0.252,6.0,6.0
2021-02-01,2.053,50.0,50.0
2021-03-01,0.308,6.0,6.0
2021-04-01,2.445,50.0,50.0
2021-05-01,0.095,0.0,0.0
2021-06-01,0.087,0.0,0.0
2021-07-01,0.078,0.0,0.0
2021-08-01,0.013,0.0,0.0
2021-09-01,0.176,6.0,6.0
2021-10-01,0.224,6.0,6.0
2021-11-01,0.328,6.0,6.0
2021-12-01,0.941,17.0,17.0
2022-01-01,13.358,132.0,132.0
2022-02-01,1.507,17.0,17.0
2022-03-01,0.107,0.0,0.0
2022-04-01,0.067,0.0,0.0
2022-05-01,0.195,0.0,0.0
2022-06-01,0.024,0.0,0.0
2022-07-01,0.032,0.0,0.0
2022-08-01,0.022,0.0,0.0
2022-09-01,0.034,0.0,0.0
2022-10-01,0.081,0.0,0.0
2022-11-01,0.247,0.0,0.0
2022-12-01,8.326,77.0,77.0
2023-01-01,0.997,11.0,11.0
2023-02-01,22.445,440.0,440.0
2023-03-01,0.781,17.0,17.0
2023-04-01,0.368,6.0,6.0
2023-05-01,0.711,17.0,17.0
2023-06-01,0.111,0.0,0.0
2023-07-01,0.142,6.0,6.0
2023-08-01,0.166,6.0,6.0
2023-09-01,0.315,6.0,6.0
2023-10-01,0.555,11.0,11.0
2023-11-01,0.266,6.0,6.0
2023-12-01,0.143,6.0,6.0
2024-01-01,3.247,59.0,59.0
2024-02-01,0.153,0.0,0.0
2024-03-01,0.968,18.0,18.0
2024-04-01,0.234,6.0,6.0
2024-05-01,0.118,0.0,0.0
2024-06-01,0.095,0.0,0.0
2024-07-01,0.19,6.0,6.0
2024-08-01,0.126,0.0,0.0
2024-09-01,0.118,0.0,0.0
2024-10-01,0.213,6.0,6.0
2024-11-01,0.298,6.0,6.0
2024-12-01,2.24,41.0,41.0
