measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2003-01-01,,,,0.0,0.0,0.0,-85.0,0.0,0.0,29725.0,455842.0,455842.0
2003-02-01,,,,1585.0,19453.0,19453.0,-36.0,0.0,0.0,45446.0,552273.0,552273.0
2003-03-01,,,,741.0,10684.0,10684.0,-49.0,0.0,0.0,23003.0,337817.0,337817.0
2003-04-01,,,,1088.0,12644.0,12644.0,-27.0,0.0,0.0,84144.0,981677.0,981677.0
2003-05-01,,,,9425.0,106679.0,106679.0,59.0,1668.0,1668.0,148308.0,1662814.0,1662814.0
2003-06-01,,,,13127.0,162470.0,162470.0,-29.0,0.0,0.0,80761.0,980320.0,980320.0
2003-07-01,,,,3013.0,78671.0,78671.0,-30.0,0.0,0.0,82865.0,1043395.0,1043395.0
2003-08-01,,,,0.0,0.0,0.0,127.0,3598.0,3598.0,84198.0,991654.0,991654.0
2003-09-01,,,,0.0,0.0,0.0,-26.0,0.0,0.0,15602.0,207788.0,207788.0
2003-10-01,,,,0.0,0.0,0.0,,,,41940.0,537566.0,537566.0
2003-11-01,,,,0.0,0.0,0.0,-38.0,0.0,0.0,25183.0,347007.0,347007.0
2003-12-01,,,,0.0,0.0,0.0,-55.0,0.0,0.0,2237.0,57332.0,57332.0
2004-01-01,,,,0.0,0.0,0.0,-80.0,0.0,0.0,19615.0,273940.0,273940.0
2004-02-01,,,,0.0,0.0,0.0,-88.0,0.0,0.0,6104.0,116817.0,116817.0
2004-03-01,,,,0.0,0.0,0.0,-49.0,0.0,0.0,9333.0,138678.0,138678.0
2004-04-01,,,,0.0,0.0,0.0,-34.0,0.0,0.0,7302.0,114972.0,114972.0
2004-05-01,,,,0.0,0.0,0.0,-35.0,0.0,0.0,21339.0,282562.0,282562.0
2004-06-01,,,,0.0,0.0,0.0,55.0,1814.0,1814.0,22560.0,307216.0,307216.0
2004-07-01,,,,0.0,0.0,0.0,-40.0,0.0,0.0,48400.0,603989.0,603989.0
2004-08-01,,,,0.0,0.0,0.0,159.0,3979.0,3979.0,53578.0,654609.0,654609.0
2004-09-01,,,,0.0,0.0,0.0,5.0,926.0,926.0,64932.0,761406.0,761406.0
2004-10-01,,,,0.0,0.0,0.0,-42.0,0.0,0.0,38359.0,465571.0,465571.0
2004-11-01,,,,0.0,0.0,0.0,-64.0,0.0,0.0,5474.0,96324.0,96324.0
2004-12-01,,,,0.0,0.0,0.0,-85.0,0.0,0.0,13276.0,188171.0,188171.0
2005-01-01,,,,0.0,0.0,0.0,-87.0,0.0,0.0,-1175.0,0.0,0.0
2005-02-01,,,,0.0,0.0,0.0,-73.0,0.0,0.0,-1035.0,0.0,0.0
2005-03-01,,,,0.0,0.0,0.0,-62.0,0.0,0.0,-1071.0,0.0,0.0
2005-04-01,,,,0.0,0.0,0.0,-45.0,0.0,0.0,3299.0,55550.81,55550.81
2005-05-01,,,,0.0,0.0,0.0,-30.0,0.0,0.0,36416.0,469524.48,469524.48
2005-06-01,,,,0.0,0.0,0.0,-26.0,0.0,0.0,61822.0,752614.4,752614.4
2005-07-01,,,,0.0,0.0,0.0,-15.0,536.05,536.05,71036.0,842620.07,842620.07
2005-08-01,,,,0.0,0.0,0.0,-6.0,678.11,678.11,95323.0,1115096.54,1115096.54
2005-09-01,,,,0.0,0.0,0.0,10.0,968.7,968.7,75090.0,890400.35,890400.35
2005-10-01,,,,0.0,0.0,0.0,-27.0,229.05,229.05,49011.0,577856.56,577856.56
2005-11-01,,,,0.0,0.0,0.0,-46.0,105.04,105.04,11381.0,160063.5,160063.5
2005-12-01,,,,0.0,0.0,0.0,-79.0,0.0,0.0,5184.0,88304.12,88304.12
2006-01-01,,,,0.0,0.0,0.0,-75.0,0.0,0.0,7225.0,121586.0,121586.0
2006-02-01,,,,0.0,0.0,0.0,-71.0,0.0,0.0,7565.0,117237.0,117237.0
2006-03-01,,,,0.0,0.0,0.0,-28.0,0.0,0.0,26370.0,337753.0,337753.0
2006-04-01,,,,0.0,0.0,0.0,387.0,5920.0,5920.0,49485.0,611980.0,611980.0
2006-05-01,,,,0.0,0.0,0.0,618.0,9381.0,9381.0,45918.0,591913.0,591913.0
2006-06-01,,,,0.0,0.0,0.0,347.0,5713.0,5713.0,57474.0,694230.0,694230.0
2006-07-01,,,,0.0,0.0,0.0,24.0,1006.0,1006.0,109799.0,1260790.0,1260790.0
2006-08-01,,,,0.0,0.0,0.0,-38.0,0.0,0.0,158081.0,1780106.0,1780106.0
2006-09-01,,,,0.0,0.0,0.0,-4.0,571.0,571.0,39281.0,481868.0,481868.0
2006-10-01,,,,0.0,0.0,0.0,-152.0,512.0,512.0,35242.0,438801.0,438801.0
2006-11-01,,,,0.0,0.0,0.0,-46.0,0.0,0.0,11705.0,161304.0,161304.0
2006-12-01,,,,0.0,0.0,0.0,-79.0,0.0,0.0,3774.0,72018.0,72018.0
2007-01-01,,,,0.0,0.0,0.0,-50.0,0.0,0.0,10169.0,148147.0,148147.0
2007-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,4040.0,70880.0,70880.0
2007-03-01,,,,0.0,0.0,0.0,-38.0,0.0,0.0,3533.0,52942.0,52942.0
2007-04-01,,,,0.0,0.0,0.0,-45.0,0.0,0.0,6422.0,96202.0,96202.0
2007-05-01,,,,0.0,0.0,0.0,15.0,824.0,824.0,10487.001,142900.0,142900.0
2007-06-01,,,,0.0,0.0,0.0,29.0,876.0,876.0,44856.998999999996,549569.0,549569.0
2007-07-01,,,,0.0,0.0,0.0,-38.0,0.0,0.0,51312.001,617899.0,617899.0
2007-08-01,,,,0.0,0.0,0.0,22.0,1005.0,1005.0,70131.0,838827.0,838827.0
2007-09-01,,,,0.0,0.0,0.0,14.0,636.0,636.0,55463.0,667010.0,667010.0
2007-10-01,,,,0.0,0.0,0.0,61.0,1646.0,1646.0,14941.001,207029.0,207029.0
2007-11-01,,,,0.0,0.0,0.0,-60.0,0.0,0.0,2298.0,41851.0,41851.0
2007-12-01,,,,0.0,0.0,0.0,-70.0,0.0,0.0,4261.0,69795.0,69795.0
2008-01-01,0.0,0.0,0.0,,,,-77.0,0.0,0.0,-1023.0,1182.0,1182.0
2008-02-01,,,,0.0,0.0,0.0,-66.0,0.0,0.0,92.0,12611.0,12611.0
2008-03-01,,,,0.0,0.0,0.0,-60.0,0.0,0.0,1912.0,41043.0,41043.0
2008-04-01,,,,0.0,0.0,0.0,-48.0,0.0,0.0,11040.0,151307.0,151307.0
2008-05-01,,,,0.0,0.0,0.0,-45.0,0.0,0.0,23819.0,306804.0,306804.0
2008-06-01,,,,0.0,0.0,0.0,-2.0,635.0,635.0,52954.0,671372.0,671372.0
2008-07-01,,,,0.0,0.0,0.0,-42.0,0.0,0.0,46063.0,596491.0,596491.0
2008-08-01,,,,0.0,0.0,0.0,24.0,1048.0,1048.0,50432.0,632586.0,632586.0
2008-09-01,,,,0.0,0.0,0.0,12.0,459.0,459.0,7866.0,125377.0,125377.0
2008-10-01,,,,0.0,0.0,0.0,-9.0,146.0,146.0,326.0,18259.0,18259.0
2008-11-01,,,,0.0,0.0,0.0,-29.0,0.0,0.0,2259.0,41952.0,41952.0
2008-12-01,,,,0.0,0.0,0.0,-35.0,0.0,0.0,-507.0,7965.0,7965.0
2009-01-01,,,,,,,-31.0,0.0,0.0,-851.0,932.0,932.0
2009-02-01,,,,,,,-27.0,0.0,0.0,381.0,20294.0,20294.0
2009-03-01,,,,,,,-32.0,0.0,0.0,1823.0,42696.0,42696.0
2009-04-01,,,,,,,-25.0,0.0,0.0,-98.0,9760.0,9760.0
2009-05-01,,,,,,,-8.0,65.0,65.0,14663.0,228241.0,228241.0
2009-06-01,,,,,,,86.0,2543.0,2543.0,94423.0,1147169.0,1147169.0
2009-07-01,,,,,,,-17.0,411.0,411.0,90896.0,1116302.0,1116302.0
2009-08-01,,,,,,,52.0,925.0,925.0,71429.0,858921.0,858921.0
2009-09-01,,,,,,,17.0,461.0,461.0,10353.0,147711.0,147711.0
2009-10-01,,,,,,,-18.0,78.0,78.0,12988.0,179820.0,179820.0
2009-11-01,,,,,,,-23.0,0.0,0.0,-302.0,9079.0,9079.0
2009-12-01,,,,,,,-41.0,0.0,0.0,10749.0,142119.0,142119.0
2010-01-01,,,,,,,-51.0,0.0,0.0,7731.0,123060.0,123060.0
2010-02-01,,,,,,,-43.0,0.0,0.0,1870.0,39646.0,39646.0
2010-03-01,,,,,,,-33.0,0.0,0.0,480.0,18374.0,18374.0
2010-04-01,,,,,,,-18.0,0.0,0.0,-750.0,0.0,0.0
2010-05-01,,,,,,,3.0,333.0,333.0,6048.0,85053.0,85053.0
2010-06-01,,,,,,,-17.0,0.0,0.0,9398.0,124953.0,124953.0
2010-07-01,,,,,,,-19.0,0.0,0.0,19877.0,252893.0,252893.0
2010-08-01,,,,,,,19.0,412.0,412.0,88292.0,1079516.0,1079516.0
2010-09-01,,,,,,,-23.0,0.0,0.0,20930.0,284391.0,284391.0
2010-10-01,,,,,,,-19.0,66.0,66.0,112.0,14435.0,14435.0
2010-11-01,,,,,,,-24.0,0.0,0.0,-311.0,8364.0,8364.0
2010-12-01,,,,,,,-41.0,0.0,0.0,1184.0,33969.0,33969.0
2011-01-01,,,,,,,-44.0,0.0,0.0,2686.0,56077.0,56077.0
2011-02-01,,,,,,,349.0,4924.0,4924.0,20706.0,268103.0,268103.0
2011-03-01,,,,,,,-6.0,73.0,73.0,-564.0,7551.0,7551.0
2011-04-01,,,,,,,46.0,653.0,653.0,18095.0,264870.0,264870.0
2011-05-01,,,,,,,-12.0,0.0,0.0,30057.0,378792.0,378792.0
2011-06-01,,,,,,,-8.0,650.0,650.0,56809.0,700739.0,700739.0
2011-07-01,,,,,,,39.0,604.0,604.0,74035.0,863342.0,863342.0
2011-08-01,,,,,,,852.0,10388.0,10388.0,77701.0,923484.0,923484.0
2011-09-01,,,,,,,14.0,418.0,418.0,14644.0,195094.0,195094.0
2011-10-01,,,,,,,28.0,558.0,558.0,11180.0,159071.0,159071.0
