measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2012-01-01,0.0,37293.0,46427.0,0.0,0.0,0.0
2012-02-01,0.0,50953.0,117652.0,0.0,0.0,0.0
2012-03-01,0.0,54740.0,118896.0,0.0,0.0,0.0
2012-04-01,0.0,55115.0,116937.0,0.0,0.0,0.0
2012-05-01,0.0,54376.0,117110.0,0.0,0.0,0.0
2012-06-01,0.0,51658.0,121964.0,0.0,0.0,0.0
2012-07-01,0.0,44481.0,96715.0,0.0,0.0,0.0
2012-08-01,0.0,39943.0,87151.0,0.0,0.0,0.0
2012-09-01,0.0,4390.0,47207.0,0.0,0.0,0.0
2012-10-01,0.0,0.0,48013.0,0.0,0.0,0.0
2012-11-01,0.0,0.0,46435.0,0.0,0.0,0.0
2012-12-01,0.0,0.0,42051.0,0.0,0.0,0.0
2013-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-01,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-01,0.0,0.0,0.0,0.0,0.0,0.0
