measured_on,Kerosene Generation,Kerosene Quantity Consumed For Electricity,Kerosene Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2003-07-01,0.0,0.0,0.0,,,
2003-08-01,10121.0,105438.0,105438.0,,,
2003-09-01,518.0,5569.0,5569.0,,,
2003-10-01,0.0,0.0,0.0,,,
2003-11-01,501.0,5160.0,5160.0,,,
2003-12-01,865.0,8862.0,8862.0,,,
2004-01-01,13668.077000000001,144813.0,144813.0,,,
2004-02-01,82.63,875.0,875.0,,,
2004-03-01,3416.57,36198.0,36198.0,,,
2004-04-01,0.0,0.0,0.0,,,
2004-05-01,0.0,0.0,0.0,,,
2004-06-01,0.0,0.0,0.0,,,
2004-07-01,0.0,0.0,0.0,,,
2004-08-01,0.0,0.0,0.0,,,
2004-09-01,0.0,0.0,0.0,,,
2004-10-01,0.0,0.0,0.0,,,
2004-11-01,0.0,0.0,0.0,,,
2004-12-01,231.723,2455.0,2455.0,,,
2005-01-01,7567.829000000001,78603.05,78603.05,,,
2005-02-01,1741.965,18092.87,18092.87,,,
2005-03-01,1494.815,15525.86,15525.86,,,
2005-04-01,1495.663,15534.66,15534.66,,,
2005-05-01,1507.995,15662.74,15662.74,,,
2005-06-01,1826.729,18973.27,18973.27,,,
2005-07-01,3459.617,35933.21,35933.21,,,
2005-08-01,3064.213,31826.36,31826.36,,,
2005-09-01,1704.999,17708.93,17708.93,,,
2005-10-01,2390.436,24828.2,24828.2,,,
2005-11-01,1609.623,16718.31,16718.31,,,
2005-12-01,4409.115,45795.15,45795.15,,,
2006-01-01,2606.451,27651.0,27651.0,,,
2006-02-01,1363.873,14469.0,14469.0,,,
2006-03-01,1145.6670000000001,12154.0,12154.0,,,
2006-04-01,2194.574,23282.0,23282.0,,,
2006-05-01,2051.375,21762.0,21762.0,,,
2006-06-01,1864.557,19781.0,19781.0,,,
2006-07-01,2700.856,28653.0,28653.0,,,
2006-08-01,2619.815,27793.0,27793.0,,,
2006-09-01,1203.585,12768.0,12768.0,,,
2006-10-01,1271.375,13488.0,13488.0,,,
2006-11-01,1497.083,15882.0,15882.0,,,
2006-12-01,1658.788,17598.0,17598.0,,,
2007-01-01,3374.938,36679.0,36679.0,,,
2007-02-01,5748.906,62482.0,62482.0,,,
2007-03-01,2774.685,30158.0,30158.0,,,
2007-04-01,2003.546,21777.0,21777.0,,,
2007-05-01,1002.075,10889.0,10889.0,,,
2007-06-01,1335.4740000000002,14512.0,14512.0,,,
2007-07-01,1360.5430000000001,14786.0,14786.0,,,
2007-08-01,1371.873,14908.0,14908.0,,,
2007-09-01,919.24,9992.0,9992.0,,,
2007-10-01,523.368,5685.0,5685.0,,,
2007-11-01,319.571,3471.0,3471.0,,,
2007-12-01,1213.781,13194.0,13194.0,,,
2008-01-01,1199.742,12688.0,12688.0,,,
2008-02-01,766.892,8119.0,8119.0,,,
2008-03-01,238.56300000000002,2525.0,2525.0,,,
2008-04-01,101.25,1074.0,1074.0,,,
2008-05-01,143.228,1519.0,1519.0,,,
2008-06-01,1016.321,10754.0,10754.0,,,
2008-07-01,1235.909,13078.0,13078.0,,,
2008-08-01,467.303,4947.0,4947.0,,,
2008-09-01,320.911,3398.0,3398.0,,,
2008-10-01,118.46000000000001,1257.0,1257.0,,,
2008-11-01,842.326,8918.0,8918.0,,,
2008-12-01,2369.0950000000003,25077.0,25077.0,,,
2009-01-01,5296.861,54533.0,54533.0,,,
2009-02-01,851.4190000000001,8764.0,8764.0,,,
2009-03-01,543.235,5594.0,5594.0,,,
2009-04-01,157.94400000000002,1624.0,1624.0,,,
2009-05-01,130.098,1338.0,1338.0,,,
2009-06-01,400.189,4122.0,4122.0,,,
2009-07-01,564.4830000000001,5813.0,5813.0,,,
2009-08-01,934.2420000000001,9621.0,9621.0,,,
2009-09-01,184.62300000000002,1898.0,1898.0,,,
2009-10-01,86.85,896.0,896.0,,,
2009-11-01,76.14800000000001,784.0,784.0,,,
2009-12-01,608.908,6266.0,6266.0,,,
2010-01-01,3006.313,33079.0,33079.0,,,
2010-02-01,835.98,9195.0,9195.0,,,
2010-03-01,541.054,5953.0,5953.0,,,
2010-04-01,508.72900000000004,5600.0,5600.0,,,
2010-05-01,697.714,7678.0,7678.0,,,
2010-06-01,2585.163,28442.0,28442.0,,,
2010-07-01,5117.983,56308.0,56308.0,,,
2010-08-01,2789.2000000000003,30688.0,30688.0,,,
2010-09-01,1274.29,14022.0,14022.0,,,
2010-10-01,298.812,3287.0,3287.0,,,
2010-11-01,300.47200000000004,3304.0,3304.0,,,
2010-12-01,1801.29,19818.0,19818.0,,,
2011-01-01,2251.286,23744.0,23744.0,,,
2011-02-01,561.411,5925.0,5925.0,,,
2011-03-01,406.849,4290.0,4290.0,,,
2011-04-01,235.491,2486.0,2486.0,,,
2011-05-01,377.827,3987.0,3987.0,,,
2011-06-01,1203.202,12695.0,12695.0,,,
2011-07-01,2171.326,22904.0,22904.0,,,
2011-08-01,780.812,8238.0,8238.0,,,
2011-09-01,405.795,4278.0,4278.0,,,
2011-10-01,293.164,3091.0,3091.0,,,
2011-11-01,207.062,2184.0,2184.0,,,
2011-12-01,291.775,3080.0,3080.0,,,
2012-01-01,376.131,4054.0,4054.0,,,
2012-02-01,270.283,2918.0,2918.0,,,
2012-03-01,241.01,2604.0,2604.0,,,
2012-04-01,122.901,1327.0,1327.0,,,
2012-05-01,306.916,3315.0,3315.0,,,
2012-06-01,985.997,10646.0,10646.0,,,
2012-07-01,2238.113,24164.0,24164.0,,,
2012-08-01,1016.427,10976.0,10976.0,,,
2012-09-01,317.336,3427.0,3427.0,,,
2012-10-01,290.687,3136.0,3136.0,,,
2012-11-01,471.308,5090.0,5090.0,,,
2012-12-01,229.891,2481.0,2481.0,,,
2013-01-01,6582.915,71033.0,71033.0,,,
2013-02-01,2101.29,22675.0,22675.0,,,
2013-03-01,626.903,6766.0,6766.0,,,
2013-04-01,484.15,5227.0,5227.0,,,
2013-05-01,1108.567,11964.0,11964.0,,,
2013-06-01,1892.752,20429.0,20429.0,,,
2013-07-01,5495.325,59309.0,59309.0,,,
2013-08-01,918.813,9918.0,9918.0,,,
2013-09-01,1208.81,13047.0,13047.0,,,
2013-10-01,402.835,4349.0,4349.0,,,
2013-11-01,435.005,4697.0,4697.0,,,
2013-12-01,1038.635,11206.0,11206.0,,,
2014-01-01,12066.749,124009.0,124009.0,,,
2014-02-01,4297.976,44169.0,44169.0,,,
2014-03-01,3394.879,34890.0,34890.0,,,
2014-04-01,88.722,912.0,912.0,,,
2014-05-01,77.743,798.0,798.0,,,
2014-06-01,185.469,1904.0,1904.0,,,
2014-07-01,305.379,3141.0,3141.0,,,
2014-08-01,228.203,2343.0,2343.0,,,
2014-09-01,165.135,1699.0,1699.0,,,
2014-10-01,148.056,1522.0,1522.0,,,
2014-11-01,219.583,2257.0,2257.0,,,
2014-12-01,255.106,2622.0,2622.0,,,
2015-01-01,3564.804,51472.0,51472.0,,,
2015-02-01,12877.299,185927.0,185927.0,,,
2015-03-01,991.348,14313.0,14313.0,,,
2015-04-01,121.878,1758.0,1758.0,,,
2015-05-01,173.177,2502.0,2502.0,,,
2015-06-01,148.514,2142.0,2142.0,,,
2015-07-01,380.42,5493.0,5493.0,,,
2015-08-01,423.508,6112.0,6112.0,,,
2015-09-01,359.937,5198.0,5198.0,,,
2015-10-01,138.212,1994.0,1994.0,,,
2015-11-01,63.167,915.0,915.0,,,
2015-12-01,166.736,2407.0,2407.0,,,
2016-01-01,1297.411,15358.0,15358.0,,,
2016-02-01,3163.62,37459.0,37459.0,,,
2016-03-01,223.393,2643.0,2643.0,,,
2016-04-01,223.17,2643.0,2643.0,,,
2016-05-01,110.55,1310.0,1310.0,,,
2016-06-01,137.72,1628.0,1628.0,,,
2016-07-01,842.421,9977.0,9977.0,,,
2016-08-01,1319.069,15617.0,15617.0,,,
2016-09-01,369.163,4372.0,4372.0,,,
2016-10-01,132.832,1575.0,1575.0,,,
2016-11-01,150.915,1788.0,1788.0,,,
2016-12-01,866.736,10260.0,10260.0,,,
2017-01-01,367.109,3935.0,3935.0,,,
2017-02-01,305.784,3280.0,3280.0,,,
2017-03-01,466.178,5003.0,5003.0,,,
2017-04-01,441.011,4732.0,4732.0,,,
2017-05-01,226.864,2437.0,2437.0,,,
2017-06-01,174.959,1876.0,1876.0,,,
2017-07-01,165.376,1776.0,1776.0,,,
2017-08-01,126.874,1363.0,1363.0,,,
2017-09-01,137.804,1481.0,1481.0,,,
