measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2004-01-01,0.0,0.0,0.0,,,
2004-02-01,0.0,0.0,0.0,,,
2004-03-01,0.0,0.0,0.0,,,
2004-04-01,0.0,0.0,0.0,,,
2004-05-01,0.0,0.0,0.0,,,
2004-06-01,0.0,0.0,0.0,,,
2004-07-01,0.0,0.0,0.0,,,
2004-08-01,0.0,0.0,0.0,,,
2004-09-01,0.0,0.0,0.0,,,
2004-10-01,0.0,0.0,0.0,,,
2004-11-01,0.0,0.0,0.0,,,
2004-12-01,0.0,0.0,0.0,,,
2005-01-01,652.125,2962.36,44707.7,,,
2005-02-01,592.099,2689.69,40592.66,,,
2005-03-01,634.693,2883.17,43512.61,,,
2005-04-01,522.1510000000001,2371.94,35797.28,,,
2005-05-01,496.057,2253.4,34008.33,,,
2005-06-01,635.84,2888.39,43591.46,,,
2005-07-01,709.412,3222.6,48635.25,,,
2005-08-01,702.662,3191.93,48172.45,,,
2005-09-01,632.99,2875.44,43396.05,,,
2005-10-01,592.767,2692.72,40638.54,,,
2005-11-01,582.12,2644.35,39908.36,,,
2005-12-01,671.465,3050.22,46033.58,,,
2006-01-01,638.562,2900.75,43933.95,,,
2006-02-01,600.3910000000001,2727.36,41307.74,,,
2006-03-01,586.292,2663.31,40337.54,,,
2006-04-01,586.85,2665.84,40376.01,,,
2006-05-01,617.1890000000001,2803.66,42463.39,,,
2006-06-01,631.369,2868.08,43438.9,,,
2006-07-01,663.0210000000001,3011.86,45616.74,,,
2006-08-01,662.731,3010.54,45596.58,,,
2006-09-01,598.5160000000001,2718.83,41178.54,,,
2006-10-01,585.9820000000001,2661.9,40316.31,,,
2006-11-01,594.082,2698.7,40873.71,,,
2006-12-01,633.206,2876.42,43565.44,,,
2007-01-01,120.48,554.0,2534.0,,,
2007-02-01,111.88600000000001,502.0,2350.0,,,
2007-03-01,101.241,449.0,2112.0,,,
2007-04-01,107.471,475.0,2244.0,,,
2007-05-01,109.866,502.0,2297.0,,,
2007-06-01,115.025,528.0,2402.0,,,
2007-07-01,129.20600000000002,581.0,2693.0,,,
2007-08-01,129.737,581.0,2719.0,,,
2007-09-01,122.485,554.0,2561.0,,,
2007-10-01,127.32300000000001,581.0,2666.0,,,
2007-11-01,118.26100000000001,528.0,2482.0,,,
2007-12-01,115.45700000000001,528.0,2429.0,,,
2008-01-01,874.854,3855.0,49172.0,,,
2008-02-01,726.72,3202.0,40847.0,,,
2008-03-01,763.763,3365.0,42935.0,,,
2008-04-01,752.345,3315.0,42282.0,,,
2008-05-01,739.042,3256.0,41551.0,,,
2008-06-01,815.8330000000001,3595.0,45858.0,,,
2008-07-01,847.995,3737.0,47659.0,,,
2008-08-01,803.9720000000001,3543.0,45205.0,,,
2008-09-01,731.96,3225.0,41160.0,,,
2008-10-01,707.5310000000001,3118.0,39776.0,,,
2008-11-01,766.46,3377.0,43091.0,,,
2008-12-01,805.5250000000001,3549.0,45284.0,,,
2009-01-01,853.1320000000001,3875.0,50692.0,,,
2009-02-01,697.9060000000001,3170.0,41449.0,,,
2009-03-01,705.793,3206.0,41921.0,,,
2009-04-01,742.481,3373.0,44094.0,,,
