measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Generation,Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Quantity Consumed For Electricity,Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Total Fuel Consumed,"Residual Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Residual Fuel Oil - Generation","Residual Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Residual Fuel Oil - Total Fuel Consumed"
2003-01-01,131.453,1030.0,1956.0,42.41,476.0,476.0,20.514,157.0,299.0,,,,,,
2003-02-01,117.295,919.0,1745.0,37.842,425.0,425.0,18.304000000000002,140.0,267.0,,,,,,
2003-03-01,116.209,911.0,1729.0,37.492000000000004,421.0,421.0,18.135,139.0,264.0,,,,,,
2003-04-01,98.793,774.0,1470.0,31.873,358.0,358.0,15.417000000000002,118.0,225.0,,,,,,
2003-05-01,105.923,830.0,1576.0,34.173,384.0,384.0,16.53,127.0,241.0,,,,,,
2003-06-01,116.725,915.0,1737.0,37.658,423.0,423.0,18.215,140.0,265.0,,,,,,
2003-07-01,128.41,1006.0,1911.0,41.428000000000004,465.0,465.0,20.039,154.0,292.0,,,,,,
2003-08-01,135.607,1063.0,2018.0,43.75,491.0,491.0,21.162000000000003,162.0,308.0,,,,,,
2003-09-01,110.333,865.0,1642.0,35.596000000000004,400.0,400.0,17.218,132.0,251.0,,,,,,
2003-10-01,103.63600000000001,812.0,1542.0,33.436,375.0,375.0,16.173000000000002,124.0,236.0,,,,,,
2003-11-01,108.735,852.0,1618.0,35.081,394.0,394.0,16.969,130.0,247.0,,,,,,
2003-12-01,130.241,1021.0,1938.0,42.019000000000005,472.0,472.0,20.325,156.0,296.0,,,,,,
2004-01-01,230.80583000000001,1310.15,4396.34,59.617000000000004,521.54,521.54,7.70017,43.71,146.67,,,,,,
2004-02-01,26.12072,148.27,497.81,59.617000000000004,521.54,521.54,4.52328,25.68,86.21,,,,,,
2004-03-01,15.083459999999999,85.62,287.27,59.617000000000004,521.54,521.54,0.34453999999999996,1.96,6.56,,,,,,
