measured_on,"Geothermal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Geothermal - Generation","Geothermal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Geothermal - Quantity Consumed For Electricity","Geothermal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Geothermal - Total Fuel Consumed",Geothermal - Turbines Used in a Binary Cycle (including those used for geothermal applications) - Geothermal - Generation,Geothermal - Turbines Used in a Binary Cycle (including those used for geothermal applications) - Geothermal - Quantity Consumed For Electricity,Geothermal - Turbines Used in a Binary Cycle (including those used for geothermal applications) - Geothermal - Total Fuel Consumed
2005-01-01,0.0,0.0,0.0,,,
2005-02-01,0.0,0.0,0.0,,,
2005-03-01,0.0,0.0,0.0,,,
2005-04-01,0.0,0.0,0.0,,,
2005-05-01,0.0,0.0,0.0,,,
2005-06-01,0.0,0.0,0.0,,,
2005-07-01,0.0,0.0,0.0,,,
2005-08-01,0.0,0.0,0.0,,,
2005-09-01,0.0,0.0,0.0,,,
2005-10-01,0.0,0.0,0.0,,,
2005-11-01,0.0,0.0,0.0,,,
2005-12-01,0.0,0.0,0.0,,,
2006-01-01,13179.29,130725.38,130725.38,,,
2006-02-01,11945.533,118487.74,118487.74,,,
2006-03-01,13502.539,133931.68,133931.68,,,
2006-04-01,12080.645,119827.92,119827.92,,,
2006-05-01,11751.004,116558.21,116558.21,,,
2006-06-01,12754.99,126516.75,126516.75,,,
2006-07-01,13400.285,132917.43,132917.43,,,
2006-08-01,13683.039,135722.06,135722.06,,,
2006-09-01,12949.266,128443.77,128443.77,,,
2006-10-01,13495.904,133865.87,133865.87,,,
2006-11-01,13071.371,129654.93,129654.93,,,
2006-12-01,13638.135,135276.66,135276.66,,,
2007-01-01,14933.907,147606.74,147606.74,,,
2007-02-01,12270.029,121276.97,121276.97,,,
2007-03-01,13660.199,135017.41,135017.41,,,
2007-04-01,12717.133,125696.14,125696.14,,,
2007-05-01,10776.16,106511.57,106511.57,,,
2007-06-01,12484.607,123397.86,123397.86,,,
2007-07-01,12338.232,121951.09,121951.09,,,
2007-08-01,12618.22,124718.49,124718.49,,,
2007-09-01,12189.262999999999,120478.68,120478.68,,,
2007-10-01,12510.333,123652.13,123652.13,,,
2007-11-01,12396.262999999999,122524.66,122524.66,,,
2007-12-01,13020.653,128696.13,128696.13,,,
2008-01-01,,,,5502.525000000001,54221.880000000005,54221.880000000005
2008-02-01,,,,4412.892,43484.64,43484.64
2008-03-01,,,,16081.237000000001,158464.51,158464.51
2008-04-01,,,,17575.769,173191.63,173191.63
2008-05-01,,,,17242.212,169904.76,169904.76
2008-06-01,,,,16099.497,158644.44,158644.44
2008-07-01,,,,15919.661,156872.34,156872.34
2008-08-01,,,,15905.647,156734.25,156734.25
2008-09-01,,,,15316.880000000001,150932.54,150932.54
2008-10-01,,,,16949.633,167021.68,167021.68
2008-11-01,,,,16786.994,165419.04,165419.04
2008-12-01,,,,17684.053,174258.66,174258.66
2009-01-01,,,,13619.292000000001,132924.29,132924.29
2009-02-01,,,,12449.114,121503.35,121503.35
2009-03-01,,,,14069.118,137314.59,137314.59
2009-04-01,,,,12924.133,126139.54,126139.54
2009-05-01,,,,12072.063,117823.33,117823.33
2009-06-01,,,,12697.902,123931.52,123931.52
2009-07-01,,,,12599.935,122975.37,122975.37
2009-08-01,,,,12769.361,124628.96,124628.96
2009-09-01,,,,12288.085,119931.71,119931.71
2009-10-01,,,,9594.391,93641.26,93641.26
2009-11-01,,,,16497.722999999998,161017.78,161017.78
2009-12-01,,,,18390.883,179495.02,179495.02
2010-01-01,,,,12868.835,125548.0,125548.0
2010-02-01,,,,10189.47,99408.0,99408.0
2010-03-01,,,,14404.173999999999,140527.0,140527.0
2010-04-01,,,,14110.402,137661.0,137661.0
2010-05-01,,,,15369.295,149943.0,149943.0
2010-06-01,,,,14203.192,138566.0,138566.0
2010-07-01,,,,12941.091,126253.0,126253.0
2010-08-01,,,,14202.422,138559.0,138559.0
2010-09-01,,,,13349.728,130240.0,130240.0
2010-10-01,,,,14318.314,139689.0,139689.0
2010-11-01,,,,13348.188,130225.0,130225.0
2010-12-01,,,,15276.889,149041.0,149041.0
2011-01-01,,,,14608.665,141938.0,141938.0
2011-02-01,,,,13383.164,130031.0,130031.0
2011-03-01,,,,14378.093,139698.0,139698.0
2011-04-01,,,,13879.06,134849.0,134849.0
2011-05-01,,,,14046.651,136477.0,136477.0
2011-06-01,,,,13029.642,126596.0,126596.0
2011-07-01,,,,12930.704,125635.0,125635.0
2011-08-01,,,,12975.226,126067.0,126067.0
2011-09-01,,,,12338.524,119881.0,119881.0
2011-10-01,,,,12379.065,120275.0,120275.0
2011-11-01,,,,13602.034,132157.0,132157.0
2011-12-01,,,,14282.172,138766.0,138766.0
2012-01-01,,,,11645.995,110823.0,110823.0
2012-02-01,,,,11002.207,104697.0,104697.0
2012-03-01,,,,11580.381,110199.0,110199.0
2012-04-01,,,,10943.276,104136.0,104136.0
2012-05-01,,,,11386.981,108359.0,108359.0
2012-06-01,,,,12791.811,121727.0,121727.0
2012-07-01,,,,12870.993,122480.0,122480.0
2012-08-01,,,,12886.789,122631.0,122631.0
2012-09-01,,,,13152.182,125156.0,125156.0
2012-10-01,,,,13504.149,128505.0,128505.0
2012-11-01,,,,14134.166,134501.0,134501.0
2012-12-01,,,,14352.07,136574.0,136574.0
2013-01-01,,,,13632.877,130071.0,130071.0
2013-02-01,,,,12470.873,118985.0,118985.0
2013-03-01,,,,13403.865,127886.0,127886.0
2013-04-01,,,,12725.359,121413.0,121413.0
2013-05-01,,,,12606.955,120283.0,120283.0
2013-06-01,,,,11743.228,112042.0,112042.0
2013-07-01,,,,11388.562,108658.0,108658.0
2013-08-01,,,,11572.785,110416.0,110416.0
2013-09-01,,,,11607.78,110750.0,110750.0
2013-10-01,,,,13016.29,124188.0,124188.0
2013-11-01,,,,13031.611,124335.0,124335.0
2013-12-01,,,,13953.815,133133.0,133133.0
2014-01-01,,,,14470.274,137612.0,137612.0
2014-02-01,,,,12165.136,115690.0,115690.0
2014-03-01,,,,13465.34,128055.0,128055.0
2014-04-01,,,,12325.922,117220.0,117220.0
2014-05-01,,,,12295.679,116932.0,116932.0
2014-06-01,,,,11357.183,108007.0,108007.0
2014-07-01,,,,10878.685,103456.0,103456.0
2014-08-01,,,,11816.538,112375.0,112375.0
2014-09-01,,,,11847.666,112671.0,112671.0
2014-10-01,,,,11926.651,113422.0,113422.0
2014-11-01,,,,13338.658,126851.0,126851.0
2014-12-01,,,,13860.268,131811.0,131811.0
2015-01-01,,,,11235.035,104699.0,104699.0
2015-02-01,,,,11452.497,106726.0,106726.0
2015-03-01,,,,12975.449,120918.0,120918.0
2015-04-01,,,,12565.056,117094.0,117094.0
2015-05-01,,,,12599.022,117410.0,117410.0
2015-06-01,,,,10513.739,97978.0,97978.0
2015-07-01,,,,11788.386,109856.0,109856.0
2015-08-01,,,,11358.341,105848.0,105848.0
2015-09-01,,,,12408.824,115638.0,115638.0
2015-10-01,,,,13058.478,121692.0,121692.0
2015-11-01,,,,15177.792,141442.0,141442.0
2015-12-01,,,,15550.381,144914.0,144914.0
2016-01-01,,,,13771.503,127139.0,127139.0
2016-02-01,,,,12678.195,117045.0,117045.0
2016-03-01,,,,13097.431,120915.0,120915.0
2016-04-01,,,,12481.151,115226.0,115226.0
2016-05-01,,,,12711.632,117354.0,117354.0
2016-06-01,,,,10945.049,101045.0,101045.0
2016-07-01,,,,10670.913,98514.0,98514.0
2016-08-01,,,,10751.07,99254.0,99254.0
2016-09-01,,,,11529.425,106440.0,106440.0
2016-10-01,,,,12386.688,114354.0,114354.0
2016-11-01,,,,13064.222,120609.0,120609.0
2016-12-01,,,,14080.721,129993.0,129993.0
2017-01-01,,,,12763.212,117587.0,117587.0
2017-02-01,,,,11242.878,103581.0,103581.0
2017-03-01,,,,12574.775,115851.0,115851.0
2017-04-01,,,,12182.757,112240.0,112240.0
2017-05-01,,,,11776.614,108498.0,108498.0
2017-06-01,,,,11555.905,106465.0,106465.0
2017-07-01,,,,12429.966,114517.0,114517.0
2017-08-01,,,,12347.631,113759.0,113759.0
2017-09-01,,,,12075.381,111250.0,111250.0
2017-10-01,,,,10997.96,101324.0,101324.0
2017-11-01,,,,11816.05,108861.0,108861.0
2017-12-01,,,,12285.871,113190.0,113190.0
2018-01-01,,,,11354.59,103372.0,103372.0
2018-02-01,,,,10793.646,98265.0,98265.0
2018-03-01,,,,11568.311,105318.0,105318.0
2018-04-01,,,,10062.991,91613.0,91613.0
2018-05-01,,,,11641.553,105985.0,105985.0
2018-06-01,,,,10862.046,98888.0,98888.0
2018-07-01,,,,11511.96,104805.0,104805.0
2018-08-01,,,,11490.184,104607.0,104607.0
2018-09-01,,,,11178.191,101766.0,101766.0
2018-10-01,,,,10760.705,97965.0,97965.0
2018-11-01,,,,11243.904,102365.0,102365.0
2018-12-01,,,,11925.919,108574.0,108574.0
2019-01-01,,,,12094.816,107704.0,107704.0
2019-02-01,,,,11266.07,100324.0,100324.0
2019-03-01,,,,12411.452,110524.0,110524.0
