measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed
2001-01-01,14270.0,168875.0,168875.0,4.0,193.0,193.0
2001-02-01,8151.0,97869.0,97869.0,17.0,198.0,198.0
2001-03-01,15048.0,179471.0,179471.0,5.0,350.0,350.0
2001-04-01,3695.0,48179.0,48179.0,2.0,117.0,117.0
2001-05-01,7095.0,89798.0,89798.0,136.0,1681.0,1681.0
2001-06-01,6930.0,85824.0,85824.0,108.0,1302.0,1302.0
2001-07-01,8629.0,106892.0,106892.0,98.0,1179.0,1179.0
2001-08-01,11841.0,148925.0,148925.0,175.0,2142.0,2142.0
2001-09-01,5978.0,76656.0,76656.0,26.0,327.0,327.0
2001-10-01,9441.0,111238.0,111238.0,149.0,1710.0,1710.0
2001-11-01,6193.0,74359.0,74359.0,57.0,665.0,665.0
2001-12-01,0.0,0.0,0.0,0.0,0.0,0.0
