measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,178867.0,1973911.0,1973911.0,,,,60647.0,669271.0,669271.0
2003-02-01,139397.0,1488024.0,1488024.0,,,,61001.0,651175.0,651175.0
2003-03-01,172516.0,1893471.0,1893471.0,,,,33469.0,367337.0,367337.0
2003-04-01,172971.0,1960192.0,1960192.0,,,,37191.0,421464.0,421464.0
2003-05-01,191407.0,2109193.0,2109193.0,,,,720.0,7931.0,7931.0
2003-06-01,155461.0,1671093.0,1671093.0,,,,56523.0,607576.0,607576.0
2003-07-01,197161.0,2065522.0,2065522.0,,,,3366.0,35262.0,35262.0
2003-08-01,140324.0,1554898.0,1554898.0,,,,35306.0,391221.0,391221.0
2003-09-01,104392.0,1203830.0,1203830.0,,,,9004.0,103831.0,103831.0
2003-10-01,173445.0,1918582.0,1918582.0,,,,11113.0,122924.0,122924.0
2003-11-01,179417.0,1876897.0,1876897.0,,,,3858.0,40357.0,40357.0
2003-12-01,131459.0,1460931.0,1460931.0,,,,54691.0,607792.0,607792.0
2004-01-01,118340.0,1256112.0,1256112.0,,,,96056.0,1085685.0,1085685.0
2004-02-01,183152.0,1995572.0,1995572.0,,,,14691.0,160068.0,160068.0
2004-03-01,146976.0,1598383.0,1598383.0,,,,22173.0,241129.0,241129.0
2004-04-01,154712.0,1707287.0,1707287.0,,,,4365.0,48171.0,48171.0
2004-05-01,180297.0,1939472.0,1939472.0,,,,2249.0,24196.0,24196.0
2004-06-01,170148.0,1899778.0,1899778.0,,,,13442.0,150081.0,150081.0
2004-07-01,167021.0,1842620.0,1842620.0,,,,12267.0,135335.0,135335.0
2004-08-01,153398.0,1702569.0,1702569.0,,,,26049.0,289114.0,289114.0
2004-09-01,81144.0,975693.0,975693.0,,,,10536.0,126687.0,126687.0
2004-10-01,167911.0,1804312.0,1804312.0,,,,6949.0,74676.0,74676.0
2004-11-01,144492.0,1541086.0,1541086.0,,,,21669.0,231110.0,231110.0
2004-12-01,177348.0,1904430.0,1904430.0,,,,43401.0,466062.0,466062.0
2005-01-01,165352.0,1859720.41,1859720.41,0.0,0.0,0.0,67727.0,761736.03,761736.03
2005-02-01,172189.0,1847485.6,1847485.6,0.0,0.0,0.0,16540.0,177462.6,177462.6
2005-03-01,202674.0,2210601.42,2210601.42,1.0,5.8,5.8,33791.0,368565.6,368565.6
2005-04-01,154321.0,1698142.52,1698142.52,0.0,0.0,0.0,45265.0,498096.46,498096.46
2005-05-01,203654.0,2143238.61,2143238.61,4.0,40.39,40.39,14361.0,151135.25,151135.25
2005-06-01,180024.0,1913554.98,1913554.98,54.0,577.0,577.0,38777.0,412180.8,412180.8
2005-07-01,173301.0,1914099.62,1914099.62,7.0,75.01,75.01,66292.0,732190.24,732190.24
2005-08-01,175748.0,1888503.63,1888503.63,0.0,0.0,0.0,68904.0,740413.92,740413.92
2005-09-01,144525.0,1574908.22,1574908.22,4.0,46.16,46.16,69552.0,757921.31,757921.31
2005-10-01,188699.0,1996492.68,1996492.68,0.0,0.0,0.0,13082.0,138409.94,138409.94
2005-11-01,197431.0,2086651.26,2086651.26,12.0,123.17,123.17,25733.0,271969.29,271969.29
2005-12-01,211351.0,2275207.0,2275207.0,11.0,117.3,117.3,57529.0,619298.66,619298.66
2006-01-01,197360.0,2085443.0,2085443.0,2.0,18.0,18.0,1511.0,15962.0,15962.0
2006-02-01,179071.0,1973564.0,1973564.0,1.0,12.0,12.0,5933.0,65386.0,65386.0
2006-03-01,158528.0,1684086.0,1684086.0,1.0,6.0,6.0,331.0,3520.0,3520.0
2006-04-01,179821.0,1929385.0,1929385.0,5.0,53.0,53.0,7206.0,77313.0,77313.0
2006-05-01,176564.0,1921836.0,1921836.0,0.0,0.0,0.0,42874.0,466672.0,466672.0
2006-06-01,153762.0,1654605.0,1654605.0,0.0,0.0,0.0,52166.0,561350.0,561350.0
2006-07-01,190083.0,2123307.0,2123307.0,1.0,6.0,6.0,64184.0,716965.0,716965.0
2006-08-01,176198.0,1928070.0,1928070.0,2.0,23.0,23.0,38014.0,415970.0,415970.0
2006-09-01,135705.0,1537312.0,1537312.0,5.0,53.0,53.0,13612.0,154196.0,154196.0
2006-10-01,175786.0,1884742.0,1884742.0,1.0,12.0,12.0,4642.0,49768.0,49768.0
2006-11-01,162035.0,1717283.0,1717283.0,3.0,35.0,35.0,2455.0,26021.0,26021.0
2006-12-01,189252.0,2008010.0,2008010.0,0.0,0.0,0.0,2184.0,23173.0,23173.0
2007-01-01,185343.869,1977159.0,1977159.0,0.0,0.0,0.0,10821.131,115435.0,115435.0
2007-02-01,188316.496,2076220.0,2076220.0,0.0,0.0,0.0,763.504,8418.0,8418.0
2007-03-01,185913.007,2043270.0,2043270.0,5.87,65.0,65.0,8955.123,98421.0,98421.0
