measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed
2006-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2006-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2006-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2006-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2006-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2006-07-01,0.7220000000000001,7.56,7.57,244.62800000000001,2226.83,3763.77
2006-08-01,1.1360000000000001,11.88,11.92,252.716,2300.46,3888.2
2006-09-01,0.741,7.75,7.75,205.77,1873.12,3165.92
2006-10-01,0.395,4.13,4.17,215.70600000000002,1963.56,3318.79
2006-11-01,0.32,3.34,3.35,182.211,1658.65,2803.44
2006-12-01,0.606,6.34,6.34,204.329,1860.0,3143.75
2007-01-01,6.507000000000001,65.0,141.0,1412.048,12597.0,18195.0
2007-02-01,1.461,18.0,29.0,1199.789,10703.0,15460.0
2007-03-01,1.133,12.0,23.0,1396.1180000000002,12454.0,17990.0
2007-04-01,1.0210000000000001,12.0,23.0,1314.923,11730.0,16944.0
2007-05-01,0.9530000000000001,12.0,23.0,1433.155,12785.0,18468.0
2007-06-01,1.042,12.0,23.0,1678.0230000000001,14970.0,21622.0
2007-07-01,0.548,6.0,12.0,1811.71,16162.0,23345.0
2007-08-01,0.783,6.0,18.0,2159.7580000000003,19267.0,27830.0
2007-09-01,0.5670000000000001,6.0,12.0,1765.593,15750.0,22750.0
2007-10-01,0.769,6.0,18.0,1484.278,13241.0,19126.0
2007-11-01,0.679,6.0,18.0,1173.798,10471.0,15125.0
