measured_on,Solar Generation,Solar Quantity Consumed For Electricity,Solar Total Fuel Consumed
2022-06-01,184.152,628.0,628.0
2022-07-01,187.347,639.0,639.0
2022-08-01,191.99,655.0,655.0
2022-09-01,160.578,548.0,548.0
2022-10-01,133.026,454.0,454.0
2022-11-01,105.762,361.0,361.0
2022-12-01,80.145,273.0,273.0
2023-01-01,70.0,239.0,239.0
2023-02-01,112.0,382.0,382.0
2023-03-01,174.0,594.0,594.0
2023-04-01,194.0,662.0,662.0
2023-05-01,280.0,955.0,955.0
2023-06-01,225.0,768.0,768.0
2023-07-01,252.0,860.0,860.0
2023-08-01,217.0,740.0,740.0
2023-09-01,167.0,570.0,570.0
2023-10-01,144.0,491.0,491.0
2023-11-01,109.0,372.0,372.0
2023-12-01,71.0,242.0,242.0
2024-01-01,51.0,174.0,174.0
2024-02-01,110.0,375.0,375.0
2024-03-01,172.0,587.0,587.0
2024-04-01,201.0,686.0,686.0
2024-05-01,235.0,802.0,802.0
2024-06-01,271.0,925.0,925.0
2024-07-01,264.0,901.0,901.0
2024-08-01,218.0,744.0,744.0
2024-09-01,177.0,604.0,604.0
2024-10-01,168.0,573.0,573.0
2024-11-01,99.0,338.0,338.0
2024-12-01,71.0,242.0,242.0
