measured_on,"Bituminous Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Generation","Bituminous Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Total Fuel Consumed","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2004-01-01,,,,608.19,2917.08,44523.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2004-02-01,,,,355.83495,1706.7,39933.0,,,,0.15505,0.74,17.4,,,,0.0,0.0,0.0
2004-03-01,,,,284.98059,1366.86,33156.0,,,,0.19941,0.96,23.2,,,,0.0,0.0,0.0
2004-04-01,,,,56.03516,268.76,5346.0,,,,0.12158999999999999,0.58,11.6,,,,175.67326,842.59,16760.0
2004-05-01,,,,147.01335,705.13,13176.0,,,,0.0,0.0,0.0,,,,275.90665,1323.34,24728.0
2004-06-01,,,,523.9131,2512.86,20196.0,,,,0.0,0.0,0.0,,,,4.7369,22.72,182.6
2004-07-01,,,,293.21274,1406.35,22410.0,,,,0.0,0.0,0.0,,,,300.42726,1440.95,22961.4
2004-08-01,,,,245.39807,1177.01,19764.0,,,,0.0,0.0,0.0,,,,244.45193,1172.47,19687.8
2004-09-01,,,,223.49066,1071.94,20628.0,,,,0.0,0.0,0.0,,,,197.48934,947.23,18228.1
2004-10-01,,,,87.28814,418.66,7857.0,,,,0.0,0.0,0.0,,,,158.12186,758.41,14232.9
2004-11-01,,,,180.43745,865.44,17469.0,,,,0.0,0.0,0.0,,,,102.80255,493.08,9952.8
2004-12-01,,,,431.11217,2067.76,36423.0,,,,0.20595,0.99,17.4,,,,7.12188,34.16,601.7
2005-01-01,,,,517.98,2484.41,49356.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2005-02-01,,,,422.92,2028.47,36450.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2005-03-01,,,,443.29,2126.17,38151.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2005-04-01,,,,102.75972,492.87,9072.0,,,,0.0,0.0,0.0,,,,115.49028,553.93,10195.9
2005-05-01,,,,192.61401,923.84,16902.0,,,,0.0,0.0,0.0,,,,155.61599,746.39,13655.4
2005-06-01,,,,381.85964,1831.53,27108.0,,,,0.0,0.0,0.0,,,,319.45036,1532.19,22677.6
2005-07-01,,,,380.69341,1825.93,27189.0,,,,0.0,0.0,0.0,,,,305.09659,1463.35,21789.9
2005-08-01,,,,322.94476,1548.95,23706.0,,,,3.6345899999999998,17.43,266.8,,,,298.10065,1429.79,21882.3
2005-09-01,,,,259.04154,1242.45,20844.0,,,,2.81113,13.48,226.2,,,,211.50833,1014.46,17019.2
