measured_on,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,,,,31226.0,367936.0,367936.0
2003-02-01,0.0,0.0,0.0,,,,29465.0,348408.0,348408.0
2003-03-01,2179.0,28131.0,28131.0,,,,18576.0,239835.0,239835.0
2003-04-01,0.0,0.0,0.0,,,,29879.0,354851.0,354851.0
2003-05-01,0.0,0.0,0.0,,,,61547.0,723754.0,723754.0
2003-06-01,0.0,0.0,0.0,,,,79097.0,870012.0,870012.0
2003-07-01,0.0,0.0,0.0,,,,86238.0,1006471.0,1006471.0
2003-08-01,0.0,0.0,0.0,,,,89366.0,1045520.0,1045520.0
2003-09-01,0.0,0.0,0.0,,,,74752.0,886340.0,886340.0
2003-10-01,0.0,0.0,0.0,,,,47106.0,532942.0,532942.0
2003-11-01,0.0,0.0,0.0,,,,40451.0,465579.0,465579.0
2003-12-01,1517.0,17217.0,17217.0,,,,45801.0,519723.0,519723.0
2004-01-01,0.0,0.0,0.0,,,,42792.863,502685.0,502685.0
2004-02-01,0.0,0.0,0.0,,,,44187.4,519066.0,519066.0
2004-03-01,0.0,0.0,0.0,,,,43068.371,505921.0,505921.0
2004-04-01,0.0,0.0,0.0,,,,47094.2,553212.0,553212.0
2004-05-01,0.0,0.0,0.0,,,,60606.733,711943.0,711943.0
2004-06-01,0.0,0.0,0.0,,,,75975.98,892485.0,892485.0
2004-07-01,0.0,0.0,0.0,,,,99904.899,1173576.0,1173576.0
2004-08-01,0.0,0.0,0.0,,,,95132.347,1117513.0,1117513.0
2004-09-01,0.0,0.0,0.0,,,,67150.089,788807.0,788807.0
2004-10-01,0.0,0.0,0.0,,,,61694.15,724717.0,724717.0
2004-11-01,0.0,0.0,0.0,,,,32988.641,387515.0,387515.0
2004-12-01,0.0,0.0,0.0,,,,37110.327,435932.0,435932.0
2005-01-01,,,,,,,43364.734,521092.88,521092.88
2005-02-01,,,,,,,39141.195,470340.67,470340.67
2005-03-01,,,,,,,42241.28,507592.88,507592.88
2005-04-01,,,,,,,42444.153,510030.7,510030.7
2005-05-01,,,,,,,46616.665,560169.75,560169.75
2005-06-01,,,,,,,59876.391,719505.42,719505.42
2005-07-01,,,,,,,76672.834,921340.09,921340.09
2005-08-01,,,,,,,79457.461,954801.59,954801.59
2005-09-01,,,,,,,59927.887,720124.22,720124.22
2005-10-01,,,,,,,46515.62,558955.54,558955.54
2005-11-01,,,,,,,41503.037,498721.78,498721.78
2005-12-01,,,,,,,47353.743,569026.85,569026.85
2006-01-01,0.0,0.0,0.0,,,,45453.0,530312.0,530312.0
2006-02-01,0.0,0.0,0.0,,,,59850.0,683823.0,683823.0
2006-03-01,0.0,0.0,0.0,,,,55971.0,660725.0,660725.0
2006-04-01,0.0,0.0,0.0,,,,45916.0,568472.0,568472.0
2006-05-01,0.0,0.0,0.0,,,,79989.0,960902.0,960902.0
2006-06-01,0.0,0.0,0.0,,,,87364.0,1037872.0,1037872.0
2006-07-01,0.0,0.0,0.0,,,,92997.0,1108894.0,1108894.0
2006-08-01,0.0,0.0,0.0,,,,102473.0,1195225.0,1195225.0
2006-09-01,0.0,0.0,0.0,,,,94476.0,1074146.0,1074146.0
2006-10-01,,,,,,,73415.0,859127.0,859127.0
2006-11-01,,,,,,,60698.0,724229.0,724229.0
2006-12-01,,,,,,,76676.0,917156.0,917156.0
2007-01-01,,,,,,,88588.999,1057721.0,1057721.0
2007-02-01,,,,,,,49962.0,579338.0,579338.0
2007-03-01,,,,,,,32001.0,396698.0,396698.0
2007-04-01,,,,,,,47161.0,569518.0,569518.0
2007-05-01,,,,,,,69180.999,830729.0,830729.0
2007-06-01,,,,,,,84792.0,1022758.0,1022758.0
2007-07-01,,,,,,,77632.999,948012.0,948012.0
2007-08-01,,,,,,,86892.0,1062431.0,1062431.0
2007-09-01,,,,,,,80331.0,979791.0,979791.0
2007-10-01,,,,,,,69778.0,983665.0,983665.0
2007-11-01,,,,,,,54020.0,639549.0,639549.0
2007-12-01,,,,,,,54020.0,639549.0,639549.0
2008-01-01,,,,,,,60407.0,714326.0,714326.0
2008-02-01,,,,,,,38415.0,465076.0,465076.0
2008-03-01,,,,,,,35240.0,458214.0,458214.0
2008-04-01,,,,,,,33173.0,437531.0,437531.0
2008-05-01,,,,,,,70486.0,835381.0,835381.0
2008-06-01,,,,326.0,5276.0,5276.0,83063.0,996791.0,996791.0
