measured_on,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Generation,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Quantity Consumed For Electricity,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Total Fuel Consumed
2003-01-01,-29.0,-296.99,-296.99
2003-02-01,-29.0,-296.99,-296.99
2003-03-01,-31.0,-317.47,-317.47
2003-04-01,1562.0,15996.44,15996.44
2003-05-01,4642.0,47538.72,47538.72
2003-06-01,10660.0,109169.06,109169.06
2003-07-01,11849.0,121345.61,121345.61
2003-08-01,9519.0,97484.08,97484.08
2003-09-01,5373.0,55024.89,55024.89
2003-10-01,1564.0,16016.92,16016.92
2003-11-01,-35.0,-358.44,-358.44
2003-12-01,-37.0,-378.92,-378.92
2004-01-01,3916.4170000000004,39250.33,39250.33
2004-02-01,3916.4170000000004,39250.33,39250.33
2004-03-01,3916.4170000000004,39250.33,39250.33
2004-04-01,3916.4170000000004,39250.33,39250.33
2004-05-01,3916.4170000000004,39250.33,39250.33
2004-06-01,3916.4170000000004,39250.33,39250.33
2004-07-01,3916.4170000000004,39250.33,39250.33
2004-08-01,3916.4170000000004,39250.33,39250.33
2004-09-01,3916.4170000000004,39250.33,39250.33
2004-10-01,3916.4170000000004,39250.33,39250.33
2004-11-01,3916.4170000000004,39250.33,39250.33
2004-12-01,3916.4170000000004,39250.33,39250.33
2005-01-01,-35.0,0.0,0.0
2005-02-01,-32.0,0.0,0.0
2005-03-01,-31.0,0.0,0.0
2005-04-01,1442.0,14418.56,14418.56
2005-05-01,7309.0,73082.69,73082.69
2005-06-01,12752.0,127507.25,127507.25
2005-07-01,12185.0,121837.82,121837.82
2005-08-01,12169.0,121677.83,121677.83
2005-09-01,9278.0,92770.72,92770.72
2005-10-01,1861.0,18608.14,18608.14
2005-11-01,506.0,5059.49,5059.49
2005-12-01,791.0,7909.21,7909.21
2006-01-01,926.0,9185.0,9185.0
2006-02-01,721.0,7152.0,7152.0
2006-03-01,447.0,4434.0,4434.0
2006-04-01,4857.0,48177.0,48177.0
2006-05-01,9448.0,93715.0,93715.0
2006-06-01,11104.0,110141.0,110141.0
2006-07-01,10622.0,105360.0,105360.0
2006-08-01,8288.0,82209.0,82209.0
2006-09-01,4558.0,45211.0,45211.0
2006-10-01,745.0,7390.0,7390.0
2006-11-01,-19.0,0.0,0.0
2006-12-01,842.0,8352.0,8352.0
2007-01-01,-17.0,-168.0,-168.0
2007-02-01,674.0,6662.0,6662.0
2007-03-01,732.0,7235.0,7235.0
2007-04-01,1132.0,11189.0,11189.0
2007-05-01,7724.0,76344.0,76344.0
2007-06-01,5860.0,57920.0,57920.0
2007-07-01,9822.0,97081.0,97081.0
2007-08-01,7981.0,78884.0,78884.0
2007-09-01,4587.0,45338.0,45338.0
2007-10-01,1080.0,10675.0,10675.0
2007-11-01,-25.0,-247.0,-247.0
2007-12-01,-39.0,-385.0,-385.0
2008-01-01,5068.477,49945.0,49945.0
2008-02-01,4718.295,46494.0,46494.0
2008-03-01,5963.85,58768.0,58768.0
2008-04-01,7038.628000000001,69359.0,69359.0
2008-05-01,8337.472,82157.0,82157.0
2008-06-01,10486.23,103331.0,103331.0
2008-07-01,9497.833,93592.0,93592.0
2008-08-01,7741.993,76290.0,76290.0
2008-09-01,5713.581,56302.0,56302.0
2008-10-01,4667.541,45994.0,45994.0
2008-11-01,4641.075,45733.0,45733.0
2008-12-01,5626.025000000001,55439.0,55439.0
2009-01-01,6760.9130000000005,65987.0,65987.0
2009-02-01,5496.278,53644.0,53644.0
2009-03-01,6371.801,62189.0,62189.0
2009-04-01,8560.103000000001,83547.0,83547.0
2009-05-01,9679.426000000001,94471.0,94471.0
2009-06-01,10436.327,101859.0,101859.0
2009-07-01,9234.27,90126.0,90126.0
2009-08-01,7456.946,72780.0,72780.0
2009-09-01,5666.733,55307.0,55307.0
2009-10-01,5332.375,52044.0,52044.0
2009-11-01,5340.671,52125.0,52125.0
2009-12-01,6806.157,66428.0,66428.0
2010-01-01,2138.0,20858.0,20858.0
2010-02-01,3047.0,29727.0,29727.0
2010-03-01,2235.0,21805.0,21805.0
2010-04-01,4562.0,44507.0,44507.0
2010-05-01,7613.0,74272.0,74272.0
2010-06-01,9896.0,96545.0,96545.0
2010-07-01,11845.0,115560.0,115560.0
2010-08-01,7756.0,75668.0,75668.0
2010-09-01,3825.0,37317.0,37317.0
2010-10-01,4468.0,43590.0,43590.0
2010-11-01,2433.0,23736.0,23736.0
2010-12-01,2324.0,22673.0,22673.0
2011-01-01,2130.0,20695.0,20695.0
2011-02-01,2102.0,20423.0,20423.0
2011-03-01,2227.0,21638.0,21638.0
2011-04-01,8015.0,77874.0,77874.0
2011-05-01,8363.0,81255.0,81255.0
2011-06-01,10872.0,105632.0,105632.0
2011-07-01,12771.0,124083.0,124083.0
2011-08-01,12424.0,120712.0,120712.0
2011-09-01,11761.0,114270.0,114270.0
2011-10-01,4885.0,47463.0,47463.0
2011-11-01,-14.0,0.0,0.0
2011-12-01,2014.0,19568.0,19568.0
2012-01-01,2479.0,23590.0,23590.0
2012-02-01,3242.0,30851.0,30851.0
2012-03-01,2680.0,25503.0,25503.0
2012-04-01,7485.0,71227.0,71227.0
2012-05-01,12058.0,114744.0,114744.0
2012-06-01,11662.0,110976.0,110976.0
2012-07-01,10969.0,104381.0,104381.0
2012-08-01,8188.0,77917.0,77917.0
2012-09-01,4160.0,39587.0,39587.0
2012-10-01,1838.0,17490.0,17490.0
2012-11-01,525.0,4996.0,4996.0
2012-12-01,697.0,6633.0,6633.0
2013-01-01,584.0,5572.0,5572.0
2013-02-01,90.0,859.0,859.0
2013-03-01,840.0,8014.0,8014.0
2013-04-01,3713.0,35426.0,35426.0
