measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed
2003-01-01,,,,0.0,0.0,0.0,6.551,88.0,88.0
2003-02-01,,,,0.0,0.0,0.0,6.079000000000001,82.0,82.0
2003-03-01,,,,0.0,0.0,0.0,5.966,81.0,81.0
2003-04-01,,,,0.0,0.0,0.0,5.777,78.0,78.0
2003-05-01,,,,0.0,0.0,0.0,6.704000000000001,91.0,91.0
2003-06-01,,,,0.0,0.0,0.0,8.293000000000001,112.0,112.0
2003-07-01,,,,0.0,0.0,0.0,8.843,119.0,119.0
2003-08-01,,,,0.0,0.0,0.0,8.65,117.0,117.0
2003-09-01,,,,0.0,0.0,0.0,7.2010000000000005,97.0,97.0
2003-10-01,,,,0.0,0.0,0.0,6.457000000000001,87.0,87.0
2003-11-01,,,,0.0,0.0,0.0,6.71,91.0,91.0
2003-12-01,,,,0.0,0.0,0.0,6.769,91.0,91.0
2004-01-01,,,,,,,25.5,415.0,415.0
2004-02-01,,,,,,,25.5,415.0,415.0
2004-03-01,,,,,,,25.5,415.0,415.0
2004-04-01,,,,,,,25.5,415.0,415.0
2004-05-01,,,,,,,25.5,415.0,415.0
2004-06-01,,,,,,,25.5,415.0,415.0
2004-07-01,,,,,,,25.5,415.0,415.0
2004-08-01,,,,,,,25.5,415.0,415.0
2004-09-01,,,,,,,25.5,415.0,415.0
2004-10-01,,,,,,,25.5,415.0,415.0
2004-11-01,,,,,,,25.5,415.0,415.0
2004-12-01,,,,,,,25.5,415.0,415.0
2005-01-01,,,,0.0,0.0,0.0,11.92,157.54,157.54
2005-02-01,,,,0.0,0.0,0.0,9.895,130.78,130.78
2005-03-01,,,,0.0,0.0,0.0,12.255,161.96,161.96
2005-04-01,,,,0.0,0.0,0.0,12.074,159.58,159.58
2005-05-01,,,,0.0,0.0,0.0,14.234,188.12,188.12
2005-06-01,,,,0.0,0.0,0.0,17.964000000000002,237.42,237.42
2005-07-01,,,,0.0,0.0,0.0,22.514,297.56,297.56
2005-08-01,,,,0.0,0.0,0.0,23.322000000000003,308.24,308.24
2005-09-01,,,,0.0,0.0,0.0,17.746000000000002,234.55,234.55
2005-10-01,,,,0.0,0.0,0.0,14.177000000000001,187.38,187.38
2005-11-01,,,,0.0,0.0,0.0,12.095,159.86,159.86
2005-12-01,,,,0.0,0.0,0.0,11.804,156.01,156.01
2006-01-01,,,,0.0,0.0,0.0,129.626,1687.0,1687.0
2006-02-01,,,,0.0,0.0,0.0,153.78900000000002,2001.0,2001.0
2006-03-01,,,,0.0,0.0,0.0,175.411,2283.0,2283.0
2006-04-01,,,,0.0,0.0,0.0,196.20100000000002,2553.0,2553.0
2006-05-01,,,,0.0,0.0,0.0,227.25,2957.0,2957.0
2006-06-01,,,,0.0,0.0,0.0,289.57800000000003,3769.0,3769.0
2006-07-01,,,,0.0,0.0,0.0,364.06300000000005,4738.0,4738.0
2006-08-01,,,,0.0,0.0,0.0,368.654,4798.0,4798.0
2006-09-01,,,,0.0,0.0,0.0,250.833,3264.0,3264.0
2006-10-01,,,,0.0,0.0,0.0,227.107,2956.0,2956.0
2006-11-01,,,,0.0,0.0,0.0,168.662,2195.0,2195.0
2006-12-01,,,,0.0,0.0,0.0,175.82600000000002,2288.0,2288.0
2007-01-01,0.0,0.0,0.0,,,,6.623,89.0,89.0
2007-02-01,0.0,0.0,0.0,,,,11.852,159.0,159.0
2007-03-01,0.0,0.0,0.0,,,,11.064,148.0,148.0
