measured_on,Other Biomass Gas Generation,Other Biomass Gas Quantity Consumed For Electricity,Other Biomass Gas Total Fuel Consumed
2013-12-01,18.0,227.0,227.0
2014-01-01,292.574,3479.0,3479.0
2014-02-01,343.279,4083.0,4083.0
2014-03-01,367.27,4369.0,4369.0
2014-04-01,414.817,4934.0,4934.0
2014-05-01,361.025,4294.0,4294.0
2014-06-01,366.614,4361.0,4361.0
2014-07-01,373.397,4441.0,4441.0
2014-08-01,356.183,4237.0,4237.0
2014-09-01,313.414,3728.0,3728.0
2014-10-01,357.856,4257.0,4257.0
2014-11-01,534.156,6354.0,6354.0
2014-12-01,395.415,4703.0,4703.0
2015-01-01,1010.584,11000.0,11000.0
2015-02-01,932.324,10148.0,10148.0
2015-03-01,1153.281,12552.0,12552.0
2015-04-01,1212.489,13197.0,13197.0
2015-05-01,1145.278,12466.0,12466.0
2015-06-01,1090.199,11866.0,11866.0
2015-07-01,1097.292,11943.0,11943.0
2015-08-01,1110.593,12088.0,12088.0
2015-09-01,1120.918,12200.0,12200.0
2015-10-01,1189.681,12949.0,12949.0
2015-11-01,967.979,10536.0,10536.0
2015-12-01,1106.382,12042.0,12042.0
2016-01-01,1147.432,11212.0,11212.0
2016-02-01,1188.231,11611.0,11611.0
2016-03-01,1493.748,14596.0,14596.0
2016-04-01,1234.786,12066.0,12066.0
2016-05-01,1392.188,13604.0,13604.0
2016-06-01,1239.529,12112.0,12112.0
2016-07-01,1176.545,11497.0,11497.0
2016-08-01,1309.291,12794.0,12794.0
2016-09-01,1120.251,10947.0,10947.0
2016-10-01,1118.38,10928.0,10928.0
2016-11-01,1195.766,11684.0,11684.0
2016-12-01,1142.853,11167.0,11167.0
2017-01-01,1243.618,12480.0,12480.0
2017-02-01,1146.104,11501.0,11501.0
2017-03-01,1273.85,12783.0,12783.0
2017-04-01,1224.623,12289.0,12289.0
2017-05-01,1208.602,12128.0,12128.0
2017-06-01,1029.047,10326.0,10326.0
2017-07-01,1031.812,10354.0,10354.0
2017-08-01,988.098,9915.0,9915.0
2017-09-01,1146.951,11509.0,11509.0
2017-10-01,1105.071,11089.0,11089.0
2017-11-01,1144.41,11484.0,11484.0
2017-12-01,1350.814,13555.0,13555.0
2018-01-01,1102.463,11122.0,11122.0
2018-02-01,955.422,9638.0,9638.0
2018-03-01,1091.732,11014.0,11014.0
2018-04-01,1100.079,11098.0,11098.0
2018-05-01,1051.96,10612.0,10612.0
2018-06-01,870.828,8785.0,8785.0
2018-07-01,877.129,8849.0,8849.0
2018-08-01,864.706,8723.0,8723.0
2018-09-01,878.335,8861.0,8861.0
2018-10-01,971.459,9800.0,9800.0
2018-11-01,950.167,9586.0,9586.0
2018-12-01,794.72,8017.0,8017.0
2019-01-01,972.27,11192.0,11192.0
2019-02-01,792.95,9127.0,9127.0
2019-03-01,1069.315,12308.0,12308.0
2019-04-01,939.92,10819.0,10819.0
2019-05-01,1051.313,12101.0,12101.0
2019-06-01,923.839,10634.0,10634.0
2019-07-01,946.706,10897.0,10897.0
2019-08-01,869.352,10007.0,10007.0
2019-09-01,853.713,9827.0,9827.0
2019-10-01,955.618,11000.0,11000.0
2019-11-01,833.616,9595.0,9595.0
2019-12-01,836.388,9627.0,9627.0
2020-01-01,854.681,9969.0,9969.0
2020-02-01,810.978,9460.0,9460.0
2020-03-01,877.605,10237.0,10237.0
2020-04-01,867.764,10122.0,10122.0
2020-05-01,767.288,8950.0,8950.0
2020-06-01,749.276,8740.0,8740.0
2020-07-01,712.37,8310.0,8310.0
2020-08-01,674.829,7871.0,7871.0
2020-09-01,795.075,9274.0,9274.0
2020-10-01,817.941,9541.0,9541.0
2020-11-01,676.691,7893.0,7893.0
2020-12-01,735.502,8580.0,8580.0
2021-01-01,922.178,10828.0,10828.0
2021-02-01,752.002,8830.0,8830.0
2021-03-01,740.833,8699.0,8699.0
2021-04-01,670.236,7870.0,7870.0
2021-05-01,785.174,9220.0,9220.0
2021-06-01,818.514,9611.0,9611.0
2021-07-01,851.889,10003.0,10003.0
2021-08-01,689.075,8091.0,8091.0
2021-09-01,845.147,9924.0,9924.0
2021-10-01,675.171,7928.0,7928.0
2021-11-01,737.781,8663.0,8663.0
