measured_on,Kerosene Generation,Kerosene Quantity Consumed For Electricity,Kerosene Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2004-01-01,1594.701,14874.0,14874.0,1753.476,16358.0,16358.0
2004-02-01,9.641,90.0,90.0,1378.16,12857.0,12857.0
2004-03-01,398.62300000000005,3718.0,3718.0,2142.496,19987.0,19987.0
2004-04-01,0.0,0.0,0.0,2355.167,21971.0,21971.0
2004-05-01,0.0,0.0,0.0,4605.798,42967.0,42967.0
2004-06-01,0.0,0.0,0.0,6349.921,59238.0,59238.0
2004-07-01,0.0,0.0,0.0,7219.261,67348.0,67348.0
2004-08-01,0.0,0.0,0.0,8533.405,79608.0,79608.0
2004-09-01,0.0,0.0,0.0,5903.643,55075.0,55075.0
2004-10-01,0.0,0.0,0.0,3294.875,30738.0,30738.0
2004-11-01,0.0,0.0,0.0,3427.581,31976.0,31976.0
2004-12-01,27.036,252.0,252.0,4197.216,39156.0,39156.0
2005-01-01,504.39700000000005,5106.91,5106.91,8023.548000000001,84127.92,84127.92
2005-02-01,116.102,1175.51,1175.51,7113.084000000001,74581.59,74581.59
2005-03-01,99.63,1008.73,1008.73,8488.219000000001,89000.05,89000.05
2005-04-01,99.686,1009.3,1009.3,8702.507,91246.88,91246.88
2005-05-01,100.50800000000001,1017.62,1017.62,7059.816000000001,74023.06,74023.06
2005-06-01,121.75200000000001,1232.71,1232.71,12010.833,125935.1,125935.1
2005-07-01,230.584,2334.61,2334.61,15477.648000000001,162285.1,162285.1
2005-08-01,204.23,2067.78,2067.78,16547.921000000002,173507.05,173507.05
2005-09-01,113.638,1150.57,1150.57,10946.602,114776.5,114776.5
2005-10-01,159.323,1613.11,1613.11,7570.145,79373.93,79373.93
2005-11-01,107.28200000000001,1086.2,1086.2,6795.059,71247.05,71247.05
2005-12-01,293.868,2975.35,2975.35,7341.617,76977.79,76977.79
2006-01-01,493.601,8140.0,8140.0,4039.636,39910.0,39910.0
2006-02-01,258.286,4259.0,4259.0,4566.439,45115.0,45115.0
2006-03-01,216.96300000000002,3578.0,3578.0,6017.472000000001,59450.0,59450.0
2006-04-01,415.60200000000003,6853.0,6853.0,4979.671,49197.0,49197.0
2006-05-01,388.483,6406.0,6406.0,6559.496,64805.0,64805.0
2006-06-01,353.10400000000004,5823.0,5823.0,8449.379,83477.0,83477.0
2006-07-01,511.48,8435.0,8435.0,15119.876,149379.0,149379.0
2006-08-01,496.132,8181.0,8181.0,13435.343,132736.0,132736.0
2006-09-01,227.931,3759.0,3759.0,7902.942,78078.0,78078.0
2006-10-01,240.769,3970.0,3970.0,8560.454,84574.0,84574.0
2006-11-01,283.51300000000003,4675.0,4675.0,5755.121,56858.0,56858.0
2006-12-01,314.136,5180.0,5180.0,5842.173000000001,57718.0,57718.0
2007-01-01,249.075,2546.0,2546.0,6645.298000000001,67901.0,67901.0
2007-02-01,424.278,4333.0,4333.0,6088.229,62209.0,62209.0
2007-03-01,204.776,2091.0,2091.0,8806.339,89982.0,89982.0
2007-04-01,147.865,1512.0,1512.0,7205.75,73627.0,73627.0
2007-05-01,73.955,753.0,753.0,8656.807,88454.0,88454.0
2007-06-01,98.56,1006.0,1006.0,10678.946,109116.0,109116.0
2007-07-01,100.41,1028.0,1028.0,12397.165,126672.0,126672.0
2007-08-01,101.24600000000001,1034.0,1034.0,14530.155999999999,148467.0,148467.0
2007-09-01,67.84100000000001,691.0,691.0,10648.831,108809.0,108809.0
2007-10-01,38.625,393.0,393.0,8676.227,88653.0,88653.0
2007-11-01,23.585,242.0,242.0,6963.662,71154.0,71154.0
2007-12-01,89.57900000000001,916.0,916.0,7437.796,75999.0,75999.0
2008-01-01,105.119,1068.0,1068.0,5303.231000000001,54072.0,54072.0
2008-02-01,67.193,686.0,686.0,4838.345,49332.0,49332.0
2008-03-01,20.902,214.0,214.0,5611.983,57220.0,57220.0
2008-04-01,8.871,90.0,90.0,5213.4580000000005,53156.0,53156.0
2008-05-01,12.549000000000001,129.0,129.0,5089.434,51891.0,51891.0
2008-06-01,89.04700000000001,910.0,910.0,7466.087,76123.0,76123.0
2008-07-01,108.287,1102.0,1102.0,9519.398000000001,97059.0,97059.0
2008-08-01,40.944,416.0,416.0,7667.592000000001,78178.0,78178.0
2008-09-01,28.117,287.0,287.0,7139.387000000001,72792.0,72792.0
2008-10-01,10.379000000000001,107.0,107.0,6510.09,66376.0,66376.0
2008-11-01,73.802,753.0,753.0,5645.026,57556.0,57556.0
2008-12-01,207.574,2119.0,2119.0,5249.185,53520.0,53520.0
2009-01-01,568.522,5755.0,5755.0,3562.264,36092.0,36092.0
2009-02-01,91.384,927.0,927.0,3388.1020000000003,34327.0,34327.0
2009-03-01,58.306000000000004,590.0,590.0,4034.039,40870.0,40870.0
2009-04-01,16.952,174.0,174.0,3998.1220000000003,40507.0,40507.0
2009-05-01,13.964,141.0,141.0,3787.634,38375.0,38375.0
2009-06-01,42.953,433.0,433.0,4029.4680000000003,40824.0,40824.0
2009-07-01,60.587,613.0,613.0,4878.467000000001,49426.0,49426.0
2009-08-01,100.274,1017.0,1017.0,5941.167,60193.0,60193.0
2009-09-01,19.816000000000003,202.0,202.0,4078.866,41325.0,41325.0
2009-10-01,9.322000000000001,96.0,96.0,3653.9970000000003,37020.0,37020.0
2009-11-01,8.173,84.0,84.0,3652.101,37001.0,37001.0
2009-12-01,65.355,663.0,663.0,3810.165,38602.0,38602.0
2010-01-01,3.3360000000000003,34.0,34.0,4237.8460000000005,41858.0,41858.0
2010-02-01,0.928,11.0,11.0,4014.831,39657.0,39657.0
2010-03-01,0.601,6.0,6.0,4089.0980000000004,40390.0,40390.0
2010-04-01,0.5650000000000001,6.0,6.0,4391.8550000000005,43381.0,43381.0
2010-05-01,0.774,6.0,6.0,4759.691,47014.0,47014.0
2010-06-01,2.869,29.0,29.0,6235.525000000001,61591.0,61591.0
2010-07-01,5.681,57.0,57.0,8491.183,83872.0,83872.0
2010-08-01,3.096,29.0,29.0,7659.962,75661.0,75661.0
2010-09-01,1.4140000000000001,11.0,11.0,6910.624000000001,68260.0,68260.0
2010-10-01,0.332,6.0,6.0,5129.177000000001,50664.0,50664.0
2010-11-01,0.334,6.0,6.0,5401.722000000001,53356.0,53356.0
2010-12-01,1.999,17.0,17.0,4836.557,47773.0,47773.0
2011-01-01,92.674,906.0,906.0,6344.115,62109.0,62109.0
2011-02-01,23.11,228.0,228.0,5818.584,56964.0,56964.0
2011-03-01,16.748,162.0,162.0,7236.449,70845.0,70845.0
2011-04-01,9.694,96.0,96.0,6400.193,62658.0,62658.0
2011-05-01,15.553,150.0,150.0,6939.269,67935.0,67935.0
2011-06-01,49.53,486.0,486.0,8196.953,80248.0,80248.0
2011-07-01,89.382,876.0,876.0,11983.203,117316.0,117316.0
2011-08-01,32.142,312.0,312.0,10267.122,100515.0,100515.0
2011-09-01,16.705,162.0,162.0,8346.882,81716.0,81716.0
2011-10-01,12.068,120.0,120.0,7742.71,75801.0,75801.0
2011-11-01,8.524,84.0,84.0,6882.635,67381.0,67381.0
2011-12-01,12.011,120.0,120.0,7518.744,73609.0,73609.0
2012-01-01,0.0,0.0,0.0,4294.274,58000.0,58000.0
2012-02-01,0.0,0.0,0.0,4111.08,55526.0,55526.0
2012-03-01,0.0,0.0,0.0,3979.227,53745.0,53745.0
2012-04-01,0.0,0.0,0.0,4333.786,58534.0,58534.0
2012-05-01,0.0,0.0,0.0,5366.236,72478.0,72478.0
2012-06-01,0.0,0.0,0.0,6095.388,82327.0,82327.0
2012-07-01,0.0,0.0,0.0,7890.302,106569.0,106569.0
2012-08-01,0.0,0.0,0.0,6930.388,93604.0,93604.0
2012-09-01,0.0,0.0,0.0,5215.345,70440.0,70440.0
2012-10-01,0.0,0.0,0.0,4929.476,66579.0,66579.0
2012-11-01,0.0,0.0,0.0,4909.464,66309.0,66309.0
2012-12-01,0.0,0.0,0.0,4523.034,61090.0,61090.0
2013-01-01,0.0,0.0,0.0,8250.158,87281.0,87281.0
2013-02-01,0.0,0.0,0.0,8458.183,89482.0,89482.0
2013-03-01,0.0,0.0,0.0,8799.266,93090.0,93090.0
2013-04-01,0.0,0.0,0.0,7302.435,77255.0,77255.0
2013-05-01,0.0,0.0,0.0,8572.822,90695.0,90695.0
2013-06-01,0.0,0.0,0.0,9975.99,105539.0,105539.0
2013-07-01,0.0,0.0,0.0,14485.66,153249.0,153249.0
2013-08-01,0.0,0.0,0.0,10733.684,113555.0,113555.0
2013-09-01,0.0,0.0,0.0,8450.348,89399.0,89399.0
2013-10-01,0.0,0.0,0.0,7242.909,76625.0,76625.0
2013-11-01,0.0,0.0,0.0,7783.169,82341.0,82341.0
2013-12-01,0.0,0.0,0.0,9017.376,95398.0,95398.0
2014-01-01,3842.065,40504.0,40504.0,6619.371,69775.0,69775.0
2014-02-01,1368.48,14427.0,14427.0,7495.617,79010.0,79010.0
2014-03-01,1080.933,11394.0,11394.0,7962.036,83926.0,83926.0
2014-04-01,28.249,296.0,296.0,6588.438,69448.0,69448.0
2014-05-01,24.753,262.0,262.0,7098.004,74819.0,74819.0
2014-06-01,59.054,621.0,621.0,9333.198,98380.0,98380.0
2014-07-01,97.233,1026.0,1026.0,10937.562,115292.0,115292.0
2014-08-01,72.66,764.0,764.0,10013.274,105548.0,105548.0
2014-09-01,52.579,553.0,553.0,9333.375,98381.0,98381.0
2014-10-01,47.141,496.0,496.0,7864.374,82897.0,82897.0
2014-11-01,69.915,735.0,735.0,7406.799,78074.0,78074.0
2014-12-01,81.226,855.0,855.0,8062.664,84987.0,84987.0
2015-01-01,1003.302,10102.0,10102.0,9430.324,94975.0,94975.0
2015-02-01,3624.27,36501.0,36501.0,7886.846,79429.0,79429.0
2015-03-01,279.011,2811.0,2811.0,10828.672,109057.0,109057.0
2015-04-01,34.302,347.0,347.0,7875.48,79315.0,79315.0
2015-05-01,48.74,493.0,493.0,10761.657,108382.0,108382.0
2015-06-01,41.799,420.0,420.0,10620.219,106957.0,106957.0
2015-07-01,107.068,1081.0,1081.0,14060.937,141609.0,141609.0
2015-08-01,119.195,1198.0,1198.0,14158.256,142589.0,142589.0
2015-09-01,101.303,1019.0,1019.0,12808.555,128996.0,128996.0
2015-10-01,38.899,392.0,392.0,10660.753,107366.0,107366.0
2015-11-01,17.778,179.0,179.0,8665.474,87271.0,87271.0
2015-12-01,46.927,470.0,470.0,8367.233,84267.0,84267.0
2016-01-01,18.552,185.0,185.0,7800.584,78469.0,78469.0
2016-02-01,45.24,454.0,454.0,7402.119,74461.0,74461.0
2016-03-01,3.195,34.0,34.0,8098.99,81471.0,81471.0
2016-04-01,3.191,34.0,34.0,8527.257,85779.0,85779.0
2016-05-01,1.581,17.0,17.0,9638.496,96958.0,96958.0
2016-06-01,1.969,22.0,22.0,10941.453,110065.0,110065.0
