measured_on,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2012-01-01,254.456,2984.0,3789.0
2012-02-01,264.996,3107.0,3946.0
2012-03-01,294.122,3449.0,4380.0
2012-04-01,372.695,4370.0,5551.0
2012-05-01,353.481,4145.0,5265.0
2012-06-01,370.007,4338.0,5510.0
2012-07-01,508.735,5965.0,7577.0
2012-08-01,273.809,3210.0,4077.0
2012-09-01,188.83,2214.0,2812.0
2012-10-01,144.252,1691.0,2149.0
2012-11-01,145.325,1704.0,2164.0
2012-12-01,94.312,1106.0,1404.0
2013-01-01,367.75,4312.0,7205.0
2013-02-01,316.989,3717.0,6210.0
2013-03-01,513.359,6019.0,10058.0
2013-04-01,529.759,6211.0,10380.0
2013-05-01,653.504,7662.0,12804.0
2013-06-01,470.274,5514.0,9214.0
2013-07-01,670.231,7859.0,13132.0
2013-08-01,590.04,6918.0,11560.0
2013-09-01,354.159,4153.0,6939.0
2013-10-01,392.313,4600.0,7687.0
2013-11-01,382.025,4479.0,7485.0
2013-12-01,449.617,5272.0,8810.0
2014-01-01,585.922,6870.0,12903.0
2014-02-01,548.296,6429.0,12075.0
2014-03-01,423.891,4970.0,9335.0
2014-04-01,394.129,4621.0,8679.0
2014-05-01,412.721,4839.0,9089.0
2014-06-01,428.569,5025.0,9438.0
2014-07-01,273.4,3206.0,6021.0
2014-08-01,447.845,5251.0,9862.0
2014-09-01,365.213,4282.0,8043.0
2014-10-01,404.309,4741.0,8903.0
2014-11-01,330.374,3874.0,7276.0
2014-12-01,445.821,5227.0,9818.0
2015-01-01,401.144,4703.0,9542.0
2015-02-01,415.027,4866.0,9871.0
2015-03-01,405.586,4756.0,9647.0
2015-04-01,297.478,3488.0,7075.0
2015-05-01,341.604,4005.0,8124.0
2015-06-01,389.418,4566.0,9262.0
2015-07-01,472.144,5536.0,11230.0
2015-08-01,399.845,4688.0,9510.0
2015-09-01,395.802,4641.0,9413.0
2015-10-01,447.147,5243.0,10635.0
2015-11-01,411.562,4826.0,9789.0
2015-12-01,483.913,5674.0,11510.0
2016-01-01,306.677,4690.0,7303.0
2016-02-01,310.432,4748.0,7392.0
2016-03-01,353.322,5404.0,8414.0
2016-04-01,405.832,6207.0,9664.0
2016-05-01,417.878,6391.0,9951.0
2016-06-01,397.515,6079.0,9466.0
2016-07-01,447.513,6844.0,10657.0
2016-08-01,534.483,8174.0,12728.0
2016-09-01,319.872,4892.0,7617.0
2016-10-01,309.349,4731.0,7366.0
2016-11-01,320.816,4906.0,7640.0
2016-12-01,286.901,4388.0,6832.0
2017-01-01,175.733,2688.0,7751.0
2017-02-01,143.421,2193.0,6326.0
2017-03-01,226.852,3469.0,10006.0
2017-04-01,161.589,2471.0,7127.0
2017-05-01,188.852,2888.0,8330.0
2017-06-01,211.776,3239.0,9342.0
2017-07-01,252.396,3860.0,11134.0
2017-08-01,225.044,3442.0,9927.0
2017-09-01,197.987,3028.0,8733.0
2017-10-01,217.431,3325.0,9591.0
2017-11-01,183.799,2811.0,8108.0
2017-12-01,228.48,3494.0,10078.0
2018-01-01,106.179,1624.0,3278.0
2018-02-01,92.049,1408.0,2844.0
2018-03-01,122.069,1867.0,3771.0
2018-04-01,101.6,1554.0,3139.0
2018-05-01,110.919,1696.0,3426.0
2018-06-01,97.022,1484.0,2997.0
2018-07-01,106.955,1636.0,3304.0
2018-08-01,111.072,1699.0,3431.0
2018-09-01,92.317,1412.0,2852.0
2018-10-01,87.467,1338.0,2702.0
2018-11-01,77.812,1190.0,2403.0
2018-12-01,85.699,1311.0,2648.0
2019-01-01,139.866,2139.0,3388.0
2019-02-01,119.587,1829.0,2896.0
2019-03-01,128.144,1960.0,3103.0
2019-04-01,132.279,2023.0,3203.0
2019-05-01,125.281,1916.0,3033.0
2019-06-01,130.465,1995.0,3159.0
2019-07-01,178.098,2724.0,4312.0
2019-08-01,166.797,2551.0,4038.0
2019-09-01,132.335,2024.0,3205.0
2019-10-01,155.778,2382.0,3772.0
2019-11-01,141.369,2162.0,3423.0
2019-12-01,148.471,2271.0,3595.0
2020-01-01,222.879,3409.0,5955.0
2020-02-01,196.175,3000.0,5242.0
2020-03-01,186.671,2855.0,4987.0
2020-04-01,166.07,2540.0,4437.0
2020-05-01,168.273,2574.0,4496.0
2020-06-01,183.5,2806.0,4903.0
2020-07-01,246.905,3776.0,6597.0
2020-08-01,197.22,3016.0,5269.0
2020-09-01,170.925,2614.0,4567.0
2020-10-01,186.967,2859.0,4996.0
2020-11-01,142.971,2187.0,3821.0
2020-12-01,177.964,2722.0,4755.0
2021-01-01,186.431,2430.0,2430.0
2021-02-01,196.677,2565.0,2565.0
2021-03-01,128.179,1672.0,1672.0
2021-04-01,156.169,2037.0,2037.0
2021-05-01,135.324,1764.0,1764.0
2021-06-01,187.324,2443.0,2443.0
2021-07-01,201.231,2624.0,2624.0
2021-08-01,208.661,2720.0,2720.0
2021-09-01,166.913,2177.0,2177.0
2021-10-01,162.106,2113.0,2113.0
2021-11-01,177.487,2314.0,2314.0
2021-12-01,164.448,2144.0,2144.0
2022-01-01,142.152,2174.0,2903.0
2022-02-01,116.082,1775.0,2372.0
2022-03-01,119.117,1822.0,2434.0
2022-04-01,104.633,1600.0,2138.0
2022-05-01,98.855,1512.0,2019.0
2022-06-01,154.975,2370.0,3166.0
2022-07-01,207.231,3169.0,4233.0
2022-08-01,189.137,2893.0,3864.0
2022-09-01,167.181,2557.0,3415.0
2022-10-01,162.258,2482.0,3315.0
2022-11-01,110.409,1689.0,2256.0
2022-12-01,150.69,2305.0,3079.0
2023-01-01,23.814,364.0,1085.0
2023-02-01,23.28,356.0,1061.0
2023-03-01,25.992,397.0,1185.0
2023-04-01,25.249,386.0,1151.0
2023-05-01,23.17,354.0,1056.0
2023-06-01,26.534,406.0,1210.0
2023-07-01,32.287,494.0,1472.0
2023-08-01,31.191,477.0,1422.0
2023-09-01,28.451,435.0,1297.0
2023-10-01,25.075,383.0,1144.0
2023-11-01,24.341,372.0,1110.0
2023-12-01,28.776,440.0,1312.0
2024-01-01,0.0,0.0,0.0
2024-02-01,0.0,0.0,0.0
2024-03-01,0.0,0.0,0.0
2024-04-01,0.0,0.0,0.0
2024-05-01,0.0,0.0,0.0
2024-06-01,0.0,0.0,0.0
2024-07-01,0.0,0.0,0.0
2024-08-01,0.0,0.0,0.0
2024-09-01,0.0,0.0,0.0
