measured_on,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,Other Gases - Combustion (Gas) Turbine (including jet engine design) - Other Gases - Generation,Other Gases - Combustion (Gas) Turbine (including jet engine design) - Other Gases - Quantity Consumed For Electricity,Other Gases - Combustion (Gas) Turbine (including jet engine design) - Other Gases - Total Fuel Consumed
2003-01-01,3232.866,52068.0,52068.0,,,
2003-02-01,2982.7870000000003,48040.0,48040.0,,,
2003-03-01,3288.1620000000003,52959.0,52959.0,,,
2003-04-01,3109.568,50082.0,50082.0,,,
2003-05-01,3560.402,57343.0,57343.0,,,
2003-06-01,3709.583,59746.0,59746.0,,,
2003-07-01,4762.767,76708.0,76708.0,,,
2003-08-01,4474.453,72065.0,72065.0,,,
2003-09-01,4088.802,65853.0,65853.0,,,
2003-10-01,3847.9230000000002,61974.0,61974.0,,,
2003-11-01,3257.2670000000003,52461.0,52461.0,,,
2003-12-01,3458.4210000000003,55701.0,55701.0,,,
2004-01-01,5160.697,68961.0,68961.0,,,
2004-02-01,4668.017,62377.0,62377.0,,,
2004-03-01,4627.753000000001,61839.0,61839.0,,,
2004-04-01,4371.531,58415.0,58415.0,,,
2004-05-01,4804.339,64199.0,64199.0,,,
2004-06-01,4377.82,58499.0,58499.0,,,
2004-07-01,4925.544,65818.0,65818.0,,,
2004-08-01,4913.892,65663.0,65663.0,,,
2004-09-01,4786.151,63956.0,63956.0,,,
2004-10-01,4326.759,57817.0,57817.0,,,
2004-11-01,4677.463000000001,62503.0,62503.0,,,
2004-12-01,4767.034000000001,63700.0,63700.0,,,
2005-01-01,,,,2886.847,67105.46,67105.46
2005-02-01,,,,2329.072,54139.84,54139.84
2005-03-01,,,,2771.549,64425.34,64425.34
2005-04-01,,,,2923.8520000000003,67965.65,67965.65
2005-05-01,,,,3175.627,73818.21,73818.21
2005-06-01,,,,2997.4030000000002,69675.36,69675.36
2005-07-01,,,,3054.7490000000003,71008.39,71008.39
2005-08-01,,,,2907.117,67576.63,67576.63
2005-09-01,,,,2561.819,59550.1,59550.1
2005-10-01,,,,1822.054,42354.08,42354.08
2005-11-01,,,,1874.3580000000002,43569.91,43569.91
2005-12-01,,,,2478.5530000000003,57614.58,57614.58
2006-01-01,,,,2535.285,65394.0,65394.0
2006-02-01,,,,2437.583,62874.0,62874.0
2006-03-01,,,,2675.646,69015.0,69015.0
2006-04-01,,,,2547.956,65721.0,65721.0
2006-05-01,,,,2808.126,72432.0,72432.0
2006-06-01,,,,2560.2380000000003,66038.0,66038.0
2006-07-01,,,,2577.829,66492.0,66492.0
2006-08-01,,,,2809.58,72470.0,72470.0
2006-09-01,,,,2415.277,62299.0,62299.0
2006-10-01,,,,2627.07,67762.0,67762.0
2006-11-01,,,,2533.07,65337.0,65337.0
2006-12-01,,,,2431.34,62713.0,62713.0
2007-01-01,,,,1727.102,47659.0,47659.0
2007-02-01,,,,1694.854,46769.0,46769.0
2007-03-01,,,,2438.577,67292.0,67292.0
2007-04-01,,,,2414.445,66626.0,66626.0
2007-05-01,,,,2574.291,71037.0,71037.0
2007-06-01,,,,2542.429,70158.0,70158.0
2007-07-01,,,,2152.9190000000003,59409.0,59409.0
2007-08-01,,,,1731.435,47778.0,47778.0
2007-09-01,,,,2096.536,57854.0,57854.0
2007-10-01,,,,1486.9940000000001,41033.0,41033.0
2007-11-01,,,,1428.2160000000001,39412.0,39412.0
2007-12-01,,,,1371.202,37838.0,37838.0
2008-01-01,,,,3294.333,55035.0,55035.0
