measured_on,Black Liquor Generation,Black Liquor Quantity Consumed For Electricity,Black Liquor Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Residual Fuel Oil Generation,Residual Fuel Oil Quantity Consumed For Electricity,Residual Fuel Oil Total Fuel Consumed,Tire-Derived Fuels Generation,Tire-Derived Fuels Quantity Consumed For Electricity,Tire-Derived Fuels Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2001-01-01,3104.0,42863.0,182048.0,2375.53,33978.0,144309.0,1810.99,25313.0,107509.0,66.93,1057.0,4488.0,1951.64,16125.0,68484.0
2001-02-01,0.0,0.0,0.0,219.22,3439.0,12906.0,193.03,2963.0,11122.0,5.82,106.0,396.0,301.67,2732.0,10254.0
2001-03-01,3839.26,51839.0,123400.0,2385.23,33352.0,79394.0,2358.07,32216.0,76688.0,0.0,0.0,0.0,1719.81,13891.0,33066.0
2001-04-01,4285.46,58717.0,220146.0,2785.84,39527.0,148198.0,2200.93,30510.0,114389.0,37.83,599.0,2244.0,1414.26,11594.0,43470.0
2001-05-01,3901.34,52974.0,241574.0,2269.8,31927.0,145593.0,2228.09,30613.0,139602.0,35.89,564.0,2574.0,838.08,6808.0,31044.0
2001-06-01,3088.48,39379.0,84297.0,3459.02,45681.0,97788.0,635.35,8200.0,17553.0,0.0,0.0,0.0,703.25,5368.0,11490.0
