measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Black Liquor Generation,Black Liquor Quantity Consumed For Electricity,Black Liquor Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Hydroelectric Generation,Hydroelectric Quantity Consumed For Electricity,Hydroelectric Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Other Biomass Gas Generation,Other Biomass Gas Quantity Consumed For Electricity,Other Biomass Gas Total Fuel Consumed,Other Biomass Solids Generation,Other Biomass Solids Quantity Consumed For Electricity,Other Biomass Solids Total Fuel Consumed,Other Generation,Other Quantity Consumed For Electricity,Other Total Fuel Consumed,Residual Fuel Oil Generation,Residual Fuel Oil Quantity Consumed For Electricity,Residual Fuel Oil Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2001-01-01,2116.2670000000003,22902.0,261004.0,8723.176000000001,94402.0,1075850.0,,,,86.473,893.53,893.53,285.01,3084.0,35151.0,,,,,,,,,,2.556,28.0,315.0,1503.517,16271.0,185432.0
2001-02-01,1858.3280000000002,20111.0,229192.0,7659.96,82896.0,944721.0,,,,75.933,784.62,784.62,250.27200000000002,2708.0,30867.0,,,,,,,,,,2.244,24.0,277.0,1320.2630000000001,14288.0,162831.0
2001-03-01,1962.5020000000002,21238.0,242040.0,8089.362,87543.0,997681.0,,,,80.19,828.6,828.6,264.302,2860.0,32597.0,,,,,,,,,,2.37,26.0,292.0,1394.2740000000001,15089.0,171959.0
2001-04-01,2023.076,21894.0,249511.0,8339.046,90245.0,1028475.0,,,,82.665,854.18,854.18,272.46,2949.0,33603.0,,,,,,,,,,2.443,26.0,301.0,1437.309,15555.0,177267.0
2001-05-01,1572.7640000000001,17020.0,193973.0,6482.876,70158.0,799549.0,,,,64.265,664.05,664.05,211.81400000000002,2292.0,26123.0,,,,,,,,,,1.899,21.0,234.0,1117.382,12092.0,137809.0
2001-06-01,2022.577,21888.0,249449.0,8336.989,90223.0,1028221.0,,,,82.645,853.97,853.97,272.392,2948.0,33595.0,,,,,,,,,,2.443,26.0,301.0,1436.955,15551.0,177223.0
2001-07-01,1993.288,21571.0,245837.0,8216.262,88916.0,1013331.0,,,,81.44800000000001,841.6,841.6,268.44800000000004,2905.0,33108.0,,,,,,,,,,2.407,26.0,297.0,1416.146,15326.0,174657.0
2001-08-01,1932.381,20912.0,238325.0,7965.206,86199.0,982368.0,,,,78.959,815.88,815.88,260.245,2816.0,32097.0,,,,,,,,,,2.334,25.0,288.0,1372.874,14857.0,169320.0
2001-09-01,1908.584,20655.0,235390.0,7867.115000000001,85138.0,970270.0,,,,77.98700000000001,805.84,805.84,257.04,2782.0,31701.0,,,,,,,,,,2.305,25.0,284.0,1355.968,14674.0,167235.0
2001-10-01,1912.245,20694.0,235842.0,7882.206,85301.0,972132.0,,,,78.137,807.39,807.39,257.533,2787.0,31762.0,,,,,,,,,,2.309,25.0,285.0,1358.569,14702.0,167556.0
2001-11-01,1965.664,21272.0,242430.0,8102.395,87684.0,999288.0,,,,80.319,829.94,829.94,264.728,2865.0,32650.0,,,,,,,,,,2.374,26.0,293.0,1396.52,15113.0,172236.0
2001-12-01,2159.701,23372.0,266361.0,8902.208,96340.0,1097931.0,,,,88.248,911.87,911.87,290.86,3148.0,35872.0,,,,,,,,,,2.608,28.0,322.0,1534.375,16605.0,189238.0
2002-01-01,4474.0,30352.0,233940.0,1642.0,11141.0,85869.0,,,,1451.0,14761.02,14761.02,828.0,5618.0,43300.0,,,,,,,,,,20.0,134.0,1033.0,3220.0,21846.0,168381.0
