measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Solar Generation,Solar Quantity Consumed For Electricity,Solar Total Fuel Consumed
2019-01-01,19.498,197.0,197.0,26.547,236.0,236.0
2019-02-01,18.661,197.0,197.0,41.058,366.0,366.0
2019-03-01,24.074,255.0,255.0,58.318,519.0,519.0
2019-04-01,18.85,197.0,197.0,61.026,543.0,543.0
2019-05-01,16.904,180.0,180.0,62.889,560.0,560.0
2019-06-01,26.278,278.0,278.0,70.979,632.0,632.0
2019-07-01,20.361,215.0,215.0,85.544,762.0,762.0
2019-08-01,15.679,162.0,162.0,79.325,706.0,706.0
2019-09-01,17.349,180.0,180.0,57.341,511.0,511.0
2019-10-01,17.511,186.0,186.0,48.019,428.0,428.0
2019-11-01,22.217,232.0,232.0,28.577,254.0,254.0
2019-12-01,16.618,174.0,174.0,25.377,226.0,226.0
2020-01-01,31.943,331.0,331.0,29.169,256.0,256.0
2020-02-01,23.242,244.0,244.0,82.364,722.0,722.0
2020-03-01,26.637,278.0,278.0,88.493,776.0,776.0
2020-04-01,18.843,197.0,197.0,125.379,1099.0,1099.0
2020-05-01,30.332,313.0,313.0,142.618,1250.0,1250.0
2020-06-01,35.565,371.0,371.0,130.687,1146.0,1146.0
2020-07-01,39.28,412.0,412.0,161.06,1412.0,1412.0
2020-08-01,38.222,400.0,400.0,140.264,1230.0,1230.0
2020-09-01,21.212,220.0,220.0,94.02,824.0,824.0
2020-10-01,26.849,278.0,278.0,72.513,636.0,636.0
2020-11-01,29.425,307.0,307.0,48.761,427.0,427.0
2020-12-01,31.45,325.0,325.0,32.672,286.0,286.0
2021-01-01,22.692,226.0,226.0,67.275,595.0,595.0
2021-02-01,33.567,313.0,313.0,179.121,1584.0,1584.0
2021-03-01,20.525,191.0,191.0,214.317,1895.0,1895.0
2021-04-01,23.682,220.0,220.0,229.272,2028.0,2028.0
2021-05-01,39.77,371.0,371.0,267.717,2368.0,2368.0
2021-06-01,36.871,348.0,348.0,313.323,2771.0,2771.0
2021-07-01,25.023,232.0,232.0,323.841,2864.0,2864.0
2021-08-01,26.827,249.0,249.0,285.658,2526.0,2526.0
2021-09-01,23.835,220.0,220.0,231.834,2050.0,2050.0
2021-10-01,24.218,226.0,226.0,120.729,1068.0,1068.0
2021-11-01,33.74,313.0,313.0,96.509,854.0,854.0
2021-12-01,31.25,290.0,290.0,39.404,348.0,348.0
2022-01-01,20.525,203.0,203.0,109.15,372.0,372.0
2022-02-01,15.157,151.0,151.0,140.541,480.0,480.0
2022-03-01,16.464,162.0,162.0,182.332,622.0,622.0
2022-04-01,19.477,191.0,191.0,193.839,661.0,661.0
2022-05-01,17.307,168.0,168.0,270.647,923.0,923.0
2022-06-01,18.956,186.0,186.0,303.808,1037.0,1037.0
2022-07-01,16.457,162.0,162.0,332.214,1134.0,1134.0
2022-08-01,13.161,128.0,128.0,283.464,967.0,967.0
2022-09-01,11.282,110.0,110.0,219.266,748.0,748.0
2022-10-01,17.576,174.0,174.0,179.024,611.0,611.0
2022-11-01,16.268,162.0,162.0,101.86,348.0,348.0
2022-12-01,27.37,273.0,273.0,51.855,177.0,177.0
2023-01-01,18.045,209.0,209.0,50.0,171.0,171.0
2023-02-01,10.454,116.0,116.0,157.0,536.0,536.0
2023-03-01,18.685,209.0,209.0,169.0,577.0,577.0
2023-04-01,14.535,162.0,162.0,208.0,710.0,710.0
2023-05-01,22.711,255.0,255.0,259.0,884.0,884.0
2023-06-01,18.095,203.0,203.0,242.0,826.0,826.0
2023-07-01,17.06,191.0,191.0,260.0,887.0,887.0
2023-08-01,12.823,145.0,145.0,252.0,860.0,860.0
2023-09-01,15.151,168.0,168.0,180.0,614.0,614.0
2023-10-01,23.039,261.0,261.0,145.0,495.0,495.0
2023-11-01,13.607,151.0,151.0,145.0,495.0,495.0
2023-12-01,19.795,220.0,220.0,85.0,290.0,290.0
2024-01-01,19.537,209.0,209.0,67.0,229.0,229.0
2024-02-01,12.925,139.0,139.0,207.0,706.0,706.0
2024-03-01,19.208,203.0,203.0,234.0,798.0,798.0
2024-04-01,19.92,209.0,209.0,220.0,751.0,751.0
2024-05-01,19.429,209.0,209.0,267.0,911.0,911.0
2024-06-01,16.429,174.0,174.0,243.0,829.0,829.0
2024-07-01,16.494,174.0,174.0,262.0,894.0,894.0
2024-08-01,17.408,186.0,186.0,250.0,853.0,853.0
2024-09-01,19.515,209.0,209.0,246.0,839.0,839.0
2024-10-01,16.645,174.0,174.0,231.0,788.0,788.0
2024-11-01,21.115,226.0,226.0,95.0,324.0,324.0
2024-12-01,21.375,226.0,226.0,170.0,580.0,580.0
