measured_on,"Municiapl Landfill Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Municiapl Landfill Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Municiapl Landfill Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2020-01-01,91.463,1040.0,5882.0,197.139,2242.0,12679.0,,,,913.523,10390.0,58746.0
2020-02-01,93.787,1067.0,6032.0,166.308,1891.0,10696.0,,,,854.808,9722.0,54979.0
2020-03-01,100.0,1137.0,6431.0,142.913,1625.0,9192.0,,,,895.76,10188.0,57612.0
2020-04-01,104.221,1185.0,6703.0,122.881,1398.0,7903.0,,,,829.074,9429.0,53323.0
2020-05-01,107.164,1219.0,6892.0,113.549,1291.0,7303.0,,,,880.39,10013.0,56626.0
2020-06-01,103.998,1183.0,6688.0,175.286,1994.0,11273.0,,,,841.008,9565.0,54092.0
2020-07-01,109.649,1247.0,7052.0,255.639,2907.0,16442.0,,,,878.218,9988.0,56478.0
2020-08-01,115.972,1319.0,7459.0,179.107,2037.0,11520.0,,,,890.409,10127.0,57267.0
2020-09-01,97.791,1112.0,6290.0,120.987,1376.0,7781.0,,,,846.415,9627.0,54437.0
2020-10-01,101.784,1158.0,6546.0,134.459,1529.0,8648.0,,,,824.132,9373.0,53007.0
2020-11-01,98.762,1123.0,6352.0,104.189,1185.0,6701.0,,,,849.045,9656.0,54605.0
2020-12-01,94.302,1073.0,6065.0,160.427,1825.0,10318.0,,,,905.441,10298.0,58233.0
2021-01-01,92.602,1053.0,4601.0,759.889,8642.0,37756.0,,,,1706.14,19404.0,84768.0
2021-02-01,76.212,867.0,3787.0,592.297,6736.0,29429.0,,,,1721.349,19577.0,85531.0
2021-03-01,87.223,992.0,4334.0,487.972,5550.0,24246.0,,,,1829.216,20804.0,90891.0
2021-04-01,93.428,1063.0,4642.0,561.541,6387.0,27901.0,,,,1257.24,14299.0,62472.0
2021-05-01,95.686,1088.0,4755.0,506.126,5756.0,25148.0,,,,1811.82,20606.0,90025.0
2021-06-01,99.775,1135.0,4958.0,1014.214,11535.0,50393.0,,,,2019.523,22969.0,100343.0
2021-07-01,89.898,1022.0,4467.0,1176.57,13382.0,58460.0,,,,1969.609,22401.0,97863.0
