measured_on,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed"
2003-01-01,80.0,761.0,761.0,263956.0,2505088.0,2505088.0
2003-02-01,77.0,730.0,730.0,259772.0,2473617.0,2473617.0
2003-03-01,54.0,514.0,514.0,281191.0,2687927.0,2687927.0
2003-04-01,41.0,406.0,406.0,174760.0,1718580.0,1718580.0
2003-05-01,74.0,740.0,740.0,231653.0,2311052.0,2311052.0
2003-06-01,130.0,1328.0,1328.0,224211.0,2293040.0,2293040.0
2003-07-01,50.0,524.0,524.0,271659.0,2829580.0,2829580.0
2003-08-01,102.0,1022.0,1022.0,240990.0,2418358.0,2418358.0
2003-09-01,86.0,858.0,858.0,256776.0,2549183.0,2549183.0
2003-10-01,97.0,965.0,965.0,242446.0,2421438.0,2421438.0
2003-11-01,79.0,806.0,806.0,280163.0,2841152.0,2841152.0
2003-12-01,76.0,753.0,753.0,254956.0,2534865.0,2534865.0
2004-01-01,2287.0,22834.0,22834.0,275491.0,2750075.0,2750075.0
2004-02-01,1453.0,14885.0,14885.0,282383.0,2891993.0,2891993.0
2004-03-01,585.0,6055.0,6055.0,210117.0,2174852.0,2174852.0
2004-04-01,632.0,12261.0,12261.0,116624.0,2264194.0,2264194.0
2004-05-01,1597.0,15664.0,15664.0,193216.0,1895544.0,1895544.0
2004-06-01,1379.0,13717.0,13717.0,234717.0,2334911.0,2334911.0
2004-07-01,890.0,9033.0,9033.0,266153.0,2701603.0,2701603.0
2004-08-01,811.0,8409.0,8409.0,286615.0,2971816.0,2971816.0
2004-09-01,720.0,7924.0,7924.0,272137.0,2996394.0,2996394.0
2004-10-01,755.0,8123.0,8123.0,265161.0,2851155.0,2851155.0
2004-11-01,1611.0,16730.0,16730.0,250937.0,2606021.0,2606021.0
2004-12-01,1440.0,14358.0,14358.0,265850.0,2650728.0,2650728.0
2005-01-01,2173.0,22170.0,22170.0,296752.0,3028138.44,3028138.44
2005-02-01,1735.0,17319.0,17319.0,267415.0,2669399.55,2669399.55
2005-03-01,1341.0,13463.0,13463.0,307901.0,3091219.56,3091219.56
